General : Start date,"11/24/2025 10:42 AM"
General : End date,"11/24/2025 10:42 AM"
Specimen notes : Specimen note 1,"G6-3"
Test : Rate 1,"10.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-0.04909","6.39622"
"0.10000","-0.03981","7.31827"
"0.20000","-0.02122","129.64345"
"0.30000","-0.00232","344.10284"
"0.40000","0.01572","526.72925"
"0.50000","0.03319","686.66644"
"0.60000","0.05045","842.02551"
"0.70000","0.06741","986.57703"
"0.80000","0.08419","1130.27930"
"0.90000","0.10107","1267.54358"
"1.00000","0.11783","1396.50171"
"1.10000","0.13456","1515.81482"
"1.20000","0.15122","1631.51013"
"1.30000","0.16787","1740.70508"
"1.40000","0.18458","1842.96997"
"1.50000","0.20123","1943.26550"
"1.60000","0.21789","2038.89978"
"1.70000","0.23455","2132.59375"
"1.80000","0.25123","2224.91772"
"1.90000","0.26778","2313.76001"
"2.00000","0.28449","2404.95020"
"2.10000","0.30117","2492.96387"
"2.20000","0.31785","2583.32275"
"2.30000","0.33453","2672.55396"
"2.40000","0.35129","2762.96094"
"2.50000","0.36797","2855.80469"
"2.60000","0.38463","2945.05371"
"2.70000","0.40131","3034.55176"
"2.80000","0.41794","3125.77271"
"2.90000","0.43457","3214.30298"
"3.00000","0.45125","3305.41284"
"3.10000","0.46791","3396.12036"
"3.20000","0.48454","3484.87280"
"3.30000","0.50117","3575.53467"
"3.40000","0.51783","3665.25732"
"3.50000","0.53448","3756.97974"
"3.60000","0.55111","3848.50952"
"3.70000","0.56787","3939.62451"
"3.80000","0.58455","4030.06348"
"3.90000","0.60123","4122.46387"
"4.00000","0.61794","4214.36328"
"4.10000","0.63462","4308.79883"
"4.20000","0.65123","4401.41357"
"4.30000","0.66783","4494.77588"
"4.40000","0.68451","4589.14209"
"4.50000","0.70120","4682.76758"
"4.60000","0.71788","4780.07373"
"4.70000","0.73463","4877.50049"
"4.80000","0.75127","4971.09912"
"4.90000","0.76782","5068.03711"
"5.00000","0.78445","5164.08496"
"5.10000","0.80116","5263.40283"
"5.20000","0.81786","5363.64844"
"5.30000","0.83455","5460.96094"
"5.40000","0.85115","5560.83008"
"5.50000","0.86778","5659.97607"
"5.60000","0.88449","5758.58057"
"5.70000","0.90125","5860.82666"
"5.80000","0.91795","5961.29004"
"5.90000","0.93458","6061.72656"
"6.00000","0.95119","6164.84082"
"6.10000","0.96787","6267.25098"
"6.20000","0.98455","6369.74658"
"6.30000","1.00123","6472.24170"
"6.40000","1.01794","6575.47168"
"6.50000","1.03455","6680.40967"
"6.60000","1.05110","6782.40527"
"6.70000","1.06776","6886.02100"
"6.80000","1.08454","6990.94141"
"6.90000","1.10122","7092.88037"
"7.00000","1.11783","7197.26367"
"7.10000","1.13453","7300.13379"
"7.20000","1.15124","7403.53613"
"7.30000","1.16795","7507.19531"
"7.40000","1.18465","7607.68359"
"7.50000","1.20131","7708.65479"
"7.60000","1.21791","7809.92969"
"7.70000","1.23457","7911.10107"
"7.80000","1.25123","8014.13037"
"7.90000","1.26791","8113.81201"
"8.00000","1.28454","8214.88086"
"8.10000","1.30120","8315.77441"
"8.20000","1.31783","8413.56250"
"8.30000","1.33441","8513.29980"
"8.40000","1.35114","8612.81934"
"8.50000","1.36790","8710.18750"
"8.60000","1.38458","8808.85840"
"8.70000","1.40123","8905.66602"
"8.80000","1.41794","9004.87305"
"8.90000","1.43460","9102.98730"
