General : Start date,"11/24/2025 10:34 AM"
General : End date,"11/24/2025 10:34 AM"
Specimen notes : Specimen note 1,"G6-1"
Test : Rate 1,"10.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-0.05284","0.70008"
"0.10000","-0.04354","1.04164"
"0.20000","-0.02495","138.66011"
"0.30000","-0.00602","350.92212"
"0.40000","0.01202","541.62836"
"0.50000","0.02951","700.48846"
"0.60000","0.04667","844.48132"
"0.70000","0.06365","992.36450"
"0.80000","0.08046","1131.97437"
"0.90000","0.09732","1256.16553"
"1.00000","0.11410","1365.30005"
"1.10000","0.13080","1458.72925"
"1.20000","0.14746","1548.47888"
"1.30000","0.16409","1632.65686"
"1.40000","0.18085","1712.75757"
"1.50000","0.19751","1791.30615"
"1.60000","0.21414","1864.63367"
"1.70000","0.23082","1937.22937"
"1.80000","0.24750","2009.48291"
"1.90000","0.26403","2077.17920"
"2.00000","0.28076","2148.94165"
"2.10000","0.29749","2218.32837"
"2.20000","0.31410","2283.65820"
"2.30000","0.33075","2354.42480"
"2.40000","0.34749","2423.63306"
"2.50000","0.36422","2491.13672"
"2.60000","0.38087","2559.71948"
"2.70000","0.39756","2630.84399"
"2.80000","0.41419","2700.48779"
"2.90000","0.43079","2770.68018"
"3.00000","0.44752","2842.10547"
"3.10000","0.46421","2914.66675"
"3.20000","0.48084","2986.30127"
"3.30000","0.49744","3059.87402"
"3.40000","0.51407","3134.55713"
"3.50000","0.53073","3208.32739"
"3.60000","0.54736","3285.52466"
"3.70000","0.56412","3362.20483"
"3.80000","0.58082","3438.83521"
"3.90000","0.59748","3516.57935"
"4.00000","0.61414","3592.40088"
"4.10000","0.63084","3671.03296"
"4.20000","0.64747","3748.32983"
"4.30000","0.66413","3826.23364"
"4.40000","0.68081","3908.15332"
"4.50000","0.69744","3986.64966"
"4.60000","0.71412","4066.20093"
"4.70000","0.73083","4148.91895"
"4.80000","0.74754","4228.63574"
"4.90000","0.76412","4309.53271"
"5.00000","0.78070","4390.26709"
"5.10000","0.79740","4474.40137"
"5.20000","0.81409","4559.09521"
"5.30000","0.83079","4643.87939"
"5.40000","0.84745","4731.12256"
"5.50000","0.86408","4819.51514"
"5.60000","0.88073","4905.50439"
"5.70000","0.89747","4997.66211"
"5.80000","0.91417","5085.82227"
"5.90000","0.93085","5175.96191"
"6.00000","0.94749","5269.20654"
"6.10000","0.96414","5361.66309"
"6.20000","0.98082","5458.84424"
"6.30000","0.99748","5553.85449"
"6.40000","1.01416","5648.42871"
"6.50000","1.03084","5749.61084"
"6.60000","1.04745","5844.80029"
"6.70000","1.06400","5942.16748"
"6.80000","1.08073","6041.24561"
"6.90000","1.09749","6141.35498"
"7.00000","1.11410","6239.89404"
"7.10000","1.13078","6338.77881"
"7.20000","1.14749","6437.97656"
"7.30000","1.16419","6538.70117"
"7.40000","1.18087","6636.30811"
"7.50000","1.19755","6737.41260"
"7.60000","1.21419","6835.80713"
"7.70000","1.23084","6934.27783"
"7.80000","1.24752","7036.97217"
"7.90000","1.26415","7136.08545"
"8.00000","1.28081","7234.78809"
"8.10000","1.29744","7336.42676"
"8.20000","1.31410","7435.15039"
"8.30000","1.33070","7533.99365"
"8.40000","1.34738","7634.88477"
"8.50000","1.36412","7732.10449"
"8.60000","1.38082","7831.85938"
"8.70000","1.39748","7930.87354"
"8.80000","1.41421","8029.44238"
"8.90000","1.43087","8129.04834"
