General : Start date,"11/19/2025 9:34 AM"
General : End date,"11/19/2025 9:35 AM"
Specimen notes : Specimen note 1,"B13"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","8.34755"
"0.10000","0.00428","9.51397"
"0.20000","0.01348","16.82112"
"0.30000","0.02283","92.27329"
"0.40000","0.03210","208.18742"
"0.50000","0.04100","319.78290"
"0.60000","0.04969","428.83167"
"0.70000","0.05818","528.60480"
"0.80000","0.06667","617.73431"
"0.90000","0.07507","701.76508"
"1.00000","0.08338","784.91376"
"1.10000","0.09185","871.89923"
"1.20000","0.10011","957.05249"
"1.30000","0.10850","1039.32690"
"1.40000","0.11682","1111.48743"
"1.50000","0.12514","1179.55017"
"1.60000","0.13350","1243.59509"
"1.70000","0.14179","1308.27380"
"1.80000","0.15021","1368.52808"
"1.90000","0.15850","1428.72595"
"2.00000","0.16686","1486.01514"
"2.10000","0.17518","1542.73328"
"2.20000","0.18342","1600.84912"
"2.30000","0.19181","1656.97107"
"2.40000","0.20008","1709.54053"
"2.50000","0.20852","1766.42261"
"2.60000","0.21683","1819.45264"
"2.70000","0.22515","1873.91956"
"2.80000","0.23351","1928.94641"
"2.90000","0.24178","1982.58984"
"3.00000","0.25019","2037.71558"
"3.10000","0.25849","2089.58789"
"3.20000","0.26680","2142.68164"
"3.30000","0.27514","2197.85791"
"3.40000","0.28341","2250.95068"
"3.50000","0.29187","2305.07153"
"3.60000","0.30014","2356.07275"
"3.70000","0.30848","2411.95825"
"3.80000","0.31684","2465.58813"
"3.90000","0.32516","2517.57031"
"4.00000","0.33358","2572.82520"
"4.10000","0.34182","2624.62695"
"4.20000","0.35016","2681.49707"
"4.30000","0.35847","2737.12891"
"4.40000","0.36679","2795.59790"
"4.50000","0.37520","2855.33130"
"4.60000","0.38349","2912.93066"
"4.70000","0.39189","2970.94775"
"4.80000","0.40018","3029.74487"
"4.90000","0.40847","3089.60742"
"5.00000","0.41681","3148.30835"
"5.10000","0.42512","3207.86548"
"5.20000","0.43354","3269.01050"
"5.30000","0.44180","3328.39893"
"5.40000","0.45019","3391.36353"
"5.50000","0.45851","3451.03809"
"5.60000","0.46678","3511.27124"
"5.70000","0.47517","3571.55688"
"5.80000","0.48346","3632.11108"
"5.90000","0.49187","3694.33081"
"6.00000","0.50016","3755.24023"
"6.10000","0.50850","3817.69165"
"6.20000","0.51684","3880.40723"
"6.30000","0.52508","3941.41333"
"6.40000","0.53345","4007.41772"
"6.50000","0.54174","4070.56763"
"6.60000","0.55013","4135.82910"
"6.70000","0.55855","4199.33838"
"6.80000","0.56681","4262.41260"
"6.90000","0.57520","4327.58594"
"7.00000","0.58347","4390.99463"
"7.10000","0.59184","4456.84180"
"7.20000","0.60020","4519.44678"
"7.30000","0.60852","4582.05518"
"7.40000","0.61688","4646.08154"
"7.50000","0.62512","4710.84424"
"7.60000","0.63349","4774.44873"
"7.70000","0.64178","4836.13721"
"7.80000","0.65012","4901.67871"
"7.90000","0.65851","4965.79932"
"8.00000","0.66680","5028.80273"
"8.10000","0.67519","5094.85059"
"8.20000","0.68348","5158.12744"
"8.30000","0.69180","5219.73779"
"8.40000","0.70016","5283.54248"
"8.50000","0.70845","5348.59570"
"8.60000","0.71684","5413.22998"
"8.70000","0.72513","5474.81641"
"8.80000","0.73350","5540.05420"
"8.90000","0.74184","5602.32178"
"9.00000","0.75008","5666.43311"
"9.10000","0.75847","5732.30420"
"9.20000","0.76676","5796.44385"
"9.30000","0.77520","5861.54883"
"9.40000","0.78349","5924.18896"
"9.50000","0.79181","5989.68848"
"9.60000","0.80015","6055.11621"
"9.70000","0.80842","6119.47363"
"9.80000","0.81683","6185.12842"
"9.90000","0.82515","6248.86719"
"10.00000","0.83349","6317.27295"
"10.10000","0.84185","6384.75879"
"10.20000","0.85012","6450.48682"
"10.30000","0.85853","6518.24316"
"10.40000","0.86680","6583.96045"
"10.50000","0.87514","6650.88721"
"10.60000","0.88351","6718.28906"
"10.70000","0.89182","6786.44531"
"10.80000","0.90021","6852.92920"
"10.90000","0.90845","6917.40088"
"11.00000","0.91682","6984.30615"
"11.10000","0.92511","7049.08350"
"11.20000","0.93345","7117.16797"
"11.30000","0.94187","7183.69043"
"11.40000","0.95016","7250.04736"
"11.50000","0.95855","7318.47949"
"11.60000","0.96681","7383.74902"
"11.70000","0.97510","7452.39502"
"11.80000","0.98344","7518.32178"
"11.90000","0.99176","7585.14697"
"12.00000","1.00020","7651.70605"
"12.10000","1.00847","7717.03809"
"12.20000","1.01686","7787.20996"
"12.30000","1.02517","7853.63184"
"12.40000","1.03344","7920.47607"
"12.50000","1.04185","7986.85547"
"12.60000","1.05012","8051.72266"
"12.70000","1.05851","8120.94141"
"12.80000","1.06680","8187.89697"
"12.90000","1.07514","8255.13574"
"13.00000","1.08353","8321.55078"
"13.10000","1.09180","8387.76562"
"13.20000","1.10019","8456.78418"
"13.30000","1.10848","8523.56055"
"13.40000","1.11684","8593.23633"
"13.50000","1.12521","8659.37402"
"13.60000","1.13345","8724.92969"
"13.70000","1.14184","8793.90430"
"13.80000","1.15011","8861.13867"
"13.90000","1.15845","8930.78516"
"14.00000","1.16684","8997.45703"
"14.10000","1.17515","9065.00586"
"14.20000","1.18357","9131.69141"
"14.30000","1.19181","9198.31055"
"14.40000","1.20018","9267.27051"
"14.50000","1.20849","9332.37402"
"14.60000","1.21681","9398.97559"
"14.70000","1.22520","9465.95410"
"14.80000","1.23346","9533.73340"
"14.90000","1.24183","9602.12109"
"15.00000","1.25014","9666.56543"
"15.10000","1.25848","9733.61035"
"15.20000","1.26682","9800.29590"
"15.30000","1.27509","9867.19629"
"15.40000","1.28353","9936.06738"
"15.50000","1.29182","10001.94629"
"15.60000","1.30021","10070.37793"
"15.70000","1.30850","10135.08301"
"15.80000","1.31679","10202.20508"
"15.90000","1.32513","10270.32715"
"16.00000","1.33340","10336.51367"
"16.10000","1.34184","10405.25293"
"16.20000","1.35018","10469.22656"
"16.30000","1.35850","10536.70312"
"16.40000","1.36684","10602.21289"
"16.50000","1.37508","10669.37109"
"16.60000","1.38354","10736.10449"
"16.70000","1.39186","10801.20996"
"16.80000","1.40020","10869.12109"
"16.90000","1.40854","10935.18359"
"17.00000","1.41681","11000.92383"
"17.10000","1.42520","11070.41797"
"17.20000","1.43344","11135.66016"
"17.30000","1.44180","11202.57910"
"17.40000","1.45014","11267.97754"
"17.50000","1.45846","11336.58691"
"17.60000","1.46687","11402.79102"
"17.70000","1.47514","11467.91113"
"17.80000","1.48351","11532.59766"
"17.90000","1.49180","11596.45801"
"18.00000","1.50011","11665.15625"
