General : Start date,"11/19/2025 9:31 AM"
General : End date,"11/19/2025 9:32 AM"
Specimen notes : Specimen note 1,"B12"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","21.99302"
"0.10000","0.00428","22.92992"
"0.20000","0.01358","30.60290"
"0.30000","0.02285","108.54771"
"0.40000","0.03208","222.43452"
"0.50000","0.04105","336.71692"
"0.60000","0.04967","443.64514"
"0.70000","0.05818","537.07617"
"0.80000","0.06665","622.80994"
"0.90000","0.07499","710.49652"
"1.00000","0.08346","800.35223"
"1.10000","0.09177","887.07227"
"1.20000","0.10016","977.22021"
"1.30000","0.10848","1064.22375"
"1.40000","0.11672","1149.97388"
"1.50000","0.12511","1234.27173"
"1.60000","0.13340","1314.73511"
"1.70000","0.14182","1391.56213"
"1.80000","0.15016","1463.31372"
"1.90000","0.15847","1533.68579"
"2.00000","0.16684","1603.46948"
"2.10000","0.17510","1671.17114"
"2.20000","0.18349","1738.15527"
"2.30000","0.19181","1801.83813"
"2.40000","0.20013","1865.60120"
"2.50000","0.20847","1930.06995"
"2.60000","0.21676","1994.34204"
"2.70000","0.22517","2056.30713"
"2.80000","0.23346","2116.49243"
"2.90000","0.24180","2177.15234"
"3.00000","0.25014","2237.52808"
"3.10000","0.25846","2297.21045"
"3.20000","0.26688","2356.70508"
"3.30000","0.27512","2413.91357"
"3.40000","0.28351","2473.07910"
"3.50000","0.29180","2529.66089"
"3.60000","0.30011","2587.63550"
"3.70000","0.30850","2647.41992"
"3.80000","0.31679","2701.94922"
"3.90000","0.32521","2760.10962"
"4.00000","0.33350","2815.63403"
"4.10000","0.34179","2873.42920"
"4.20000","0.35016","2929.21851"
"4.30000","0.35845","2985.81372"
"4.40000","0.36686","3041.89331"
"4.50000","0.37513","3099.51929"
"4.60000","0.38347","3156.79761"
"4.70000","0.39181","3214.21631"
"4.80000","0.40010","3270.02808"
"4.90000","0.40847","3325.85938"
"5.00000","0.41676","3383.16968"
"5.10000","0.42517","3441.99048"
"5.20000","0.43349","3498.89209"
"5.30000","0.44180","3556.54883"
"5.40000","0.45014","3613.18408"
"5.50000","0.45841","3669.98901"
"5.60000","0.46678","3729.19434"
"5.70000","0.47509","3785.79907"
"5.80000","0.48348","3846.18164"
"5.90000","0.49185","3900.91235"
"6.00000","0.50011","3957.49585"
"6.10000","0.50850","4017.09595"
"6.20000","0.51679","4074.76270"
"6.30000","0.52516","4134.56055"
"6.40000","0.53353","4190.60596"
"6.50000","0.54182","4247.17725"
"6.60000","0.55021","4304.82861"
"6.70000","0.55847","4362.71973"
"6.80000","0.56681","4421.26611"
"6.90000","0.57510","4478.79883"
"7.00000","0.58342","4537.58350"
"7.10000","0.59184","4595.74072"
"7.20000","0.60013","4654.74951"
"7.30000","0.60849","4715.98389"
"7.40000","0.61678","4774.02734"
"7.50000","0.62512","4833.17432"
"7.60000","0.63349","4894.08203"
"7.70000","0.64178","4954.13623"
"7.80000","0.65017","5016.04736"
"7.90000","0.65843","5075.39502"
"8.00000","0.66680","5137.13232"
"8.10000","0.67514","5196.20605"
"8.20000","0.68341","5258.03223"
"8.30000","0.69180","5320.82031"
"8.40000","0.70009","5380.96973"
"8.50000","0.70853","5443.15527"
"8.60000","0.71682","5502.15820"
"8.70000","0.72513","5563.59521"
"8.80000","0.73348","5623.69922"
"8.90000","0.74174","5685.08301"
"9.00000","0.75013","5746.79053"
"9.10000","0.75845","5808.60693"
"9.20000","0.76679","5872.44580"
"9.30000","0.77515","5935.24951"
"9.40000","0.78342","5997.93555"
"9.50000","0.79183","6061.56885"
"9.60000","0.80010","6121.04102"
"9.70000","0.80847","6183.97949"
"9.80000","0.81681","6246.96143"
"9.90000","0.82512","6311.56787"
"10.00000","0.83354","6374.04150"
"10.10000","0.84180","6434.50342"
"10.20000","0.85017","6498.33398"
"10.30000","0.85846","6561.77490"
"10.40000","0.86677","6627.39502"
"10.50000","0.87519","6691.90527"
"10.60000","0.88348","6753.44971"
"10.70000","0.89187","6817.51123"
"10.80000","0.90014","6879.35254"
"10.90000","0.90840","6945.54688"
"11.00000","0.91677","7009.84912"
"11.10000","0.92506","7074.03711"
"11.20000","0.93350","7139.87598"
"11.30000","0.94179","7202.92480"
"11.40000","0.95018","7270.15381"
"11.50000","0.95850","7334.61963"
"11.60000","0.96676","7399.51270"
"11.70000","0.97515","7463.27197"
"11.80000","0.98342","7526.20166"
"11.90000","0.99181","7593.64014"
"12.00000","1.00012","7657.62939"
"12.10000","1.00847","7722.89355"
"12.20000","1.01683","7787.04443"
"12.30000","1.02510","7849.44971"
"12.40000","1.03346","7916.15381"
"12.50000","1.04178","7982.02539"
"12.60000","1.05017","8048.80762"
"12.70000","1.05851","8112.38232"
"12.80000","1.06680","8177.30225"
"12.90000","1.07517","8243.20508"
"13.00000","1.08343","8308.18066"
"13.10000","1.09177","8376.11816"
"13.20000","1.10014","8441.00488"
"13.30000","1.10848","8506.26465"
"13.40000","1.11687","8571.29492"
"13.50000","1.12511","8635.23730"
"13.60000","1.13350","8703.14941"
"13.70000","1.14179","8767.41113"
"13.80000","1.15013","8832.18457"
"13.90000","1.15852","8896.03223"
"14.00000","1.16681","8961.74609"
"14.10000","1.17515","9029.98926"
"14.20000","1.18344","9093.55566"
"14.30000","1.19181","9159.65527"
"14.40000","1.20015","9226.24707"
"14.50000","1.20839","9292.75684"
"14.60000","1.21683","9359.85449"
"14.70000","1.22515","9424.81250"
"14.80000","1.23351","9490.28613"
"14.90000","1.24180","9553.42090"
"15.00000","1.25009","9619.41406"
"15.10000","1.25843","9686.18359"
"15.20000","1.26672","9751.10254"
"15.30000","1.27514","9818.20117"
"15.40000","1.28348","9881.34277"
"15.50000","1.29182","9947.01367"
"15.60000","1.30016","10012.77930"
"15.70000","1.30840","10077.44043"
"15.80000","1.31684","10142.13086"
"15.90000","1.32516","10204.39746"
"16.00000","1.33350","10270.65332"
"16.10000","1.34184","10335.52441"
"16.20000","1.35013","10400.14453"
"16.30000","1.35852","10468.23242"
"16.40000","1.36676","10530.08398"
"16.50000","1.37510","10596.78027"
"16.60000","1.38344","10661.16113"
"16.70000","1.39178","10728.56250"
"16.80000","1.40017","10795.68555"
"16.90000","1.40847","10858.73730"
"17.00000","1.41686","10923.87695"
"17.10000","1.42515","10986.04590"
"17.20000","1.43349","11052.82520"
"17.30000","1.44185","11118.72656"
"17.40000","1.45012","11182.24609"
"17.50000","1.45851","11248.49512"
"17.60000","1.46677","11310.42285"
"17.70000","1.47509","11377.34180"
"17.80000","1.48343","11442.78418"
"17.90000","1.49175","11508.05762"
"18.00000","1.50021","11572.86719"
