General : Start date,"11/24/2025 10:26 AM"
General : End date,"11/24/2025 10:26 AM"
Specimen notes : Specimen note 1,"G4-3"
Test : Rate 1,"10.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-0.04674","4.47482"
"0.10000","-0.03777","5.31540"
"0.20000","-0.01910","111.39547"
"0.30000","-0.00008","320.02802"
"0.40000","0.01799","497.22638"
"0.50000","0.03553","655.36646"
"0.60000","0.05279","802.80780"
"0.70000","0.06975","940.15680"
"0.80000","0.08656","1061.89685"
"0.90000","0.10346","1176.64197"
"1.00000","0.12025","1287.61499"
"1.10000","0.13695","1391.14844"
"1.20000","0.15358","1492.06665"
"1.30000","0.17024","1591.08447"
"1.40000","0.18697","1684.57239"
"1.50000","0.20363","1779.44141"
"1.60000","0.22031","1869.72375"
"1.70000","0.23699","1961.56970"
"1.80000","0.25360","2049.02319"
"1.90000","0.27015","2135.23242"
"2.00000","0.28691","2223.53369"
"2.10000","0.30359","2309.65698"
"2.20000","0.32027","2395.36499"
"2.30000","0.33695","2482.22314"
"2.40000","0.35366","2570.77881"
"2.50000","0.37034","2657.99341"
"2.60000","0.38697","2745.81177"
"2.70000","0.40370","2833.55444"
"2.80000","0.42031","2921.92529"
"2.90000","0.43697","3010.48169"
"3.00000","0.45365","3098.38330"
"3.10000","0.47028","3185.27661"
"3.20000","0.48693","3270.89697"
"3.30000","0.50359","3361.25757"
"3.40000","0.52022","3448.39990"
"3.50000","0.53685","3534.49658"
"3.60000","0.55351","3621.31860"
"3.70000","0.57024","3706.07495"
"3.80000","0.58695","3791.11108"
"3.90000","0.60363","3875.59131"
"4.00000","0.62033","3958.08667"
"4.10000","0.63699","4042.18799"
"4.20000","0.65360","4126.13916"
"4.30000","0.67025","4209.17285"
"4.40000","0.68693","4292.86084"
"4.50000","0.70362","4374.97070"
"4.60000","0.72030","4460.78027"
"4.70000","0.73700","4547.62451"
"4.80000","0.75363","4629.63818"
"4.90000","0.77019","4714.03223"
"5.00000","0.78685","4795.56152"
"5.10000","0.80358","4880.45117"
"5.20000","0.82026","4964.99707"
"5.30000","0.83691","5049.41309"
"5.40000","0.85355","5134.77588"
"5.50000","0.87020","5219.71045"
"5.60000","0.88691","5304.74268"
"5.70000","0.90364","5391.10010"
"5.80000","0.92035","5475.62891"
"5.90000","0.93698","5562.47070"
"6.00000","0.95358","5647.51855"
"6.10000","0.97029","5735.25488"
"6.20000","0.98695","5823.29834"
"6.30000","1.00363","5911.57617"
"6.40000","1.02033","6000.83740"
"6.50000","1.03691","6091.11328"
"6.60000","1.05347","6178.63477"
"6.70000","1.07015","6268.56006"
"6.80000","1.08696","6357.42383"
"6.90000","1.10361","6442.55225"
"7.00000","1.12022","6531.55518"
"7.10000","1.13690","6617.58398"
"7.20000","1.15363","6703.66748"
"7.30000","1.17034","6791.73535"
"7.40000","1.18702","6875.63965"
"7.50000","1.20368","6963.24609"
"7.60000","1.22026","7046.74854"
"7.70000","1.23696","7132.73828"
"7.80000","1.25365","7219.88086"
"7.90000","1.27033","7304.50244"
"8.00000","1.28696","7389.61719"
"8.10000","1.30359","7476.75000"
"8.20000","1.32020","7559.44922"
"8.30000","1.33683","7645.70996"
"8.40000","1.35356","7728.88525"
"8.50000","1.37031","7812.96289"
"8.60000","1.38697","7898.44336"
"8.70000","1.40363","7980.80566"
"8.80000","1.42031","8064.87061"
"8.90000","1.43696","8146.54980"
