General : Start date,"11/13/2025 4:08 PM"
General : End date,"11/13/2025 4:08 PM"
Specimen notes : Specimen note 1,"14 - 0.3 inch extension"
Test : Rate 1,"0.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-7.63341","-0.04500"
"0.10000","-7.63341","-0.60910"
"0.20000","-7.63341","-1.45134"
"0.30000","-7.63341","-0.60205"
"0.40000","-7.63341","-1.07370"
"0.50000","-7.63341","-0.94208"
"0.60000","-7.63341","-0.84336"
"0.70000","-7.63341","-0.53232"
"0.80000","-7.63341","-0.36779"
"0.90000","-7.63341","-0.70076"
"1.00000","-7.63341","-0.84257"
"1.10000","-7.63341","-0.66316"
"1.20000","-7.63341","-0.38816"
"1.26600","-7.63341","-0.86295"
