General : Start date,"11/19/2025 10:32 AM"
General : End date,"11/19/2025 10:33 AM"
Specimen notes : Specimen note 1,"T4-3"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"17.20000","1.43344","9841.03125"
"17.30000","1.44180","9885.24512"
"17.40000","1.45007","9929.76758"
"17.50000","1.45848","9975.59277"
"17.60000","1.46682","10019.94336"
"17.70000","1.47517","10066.46680"
"17.80000","1.48351","10110.22754"
"17.90000","1.49177","10153.45117"
"18.00000","1.50021","10197.66309"
"18.10000","1.50850","10242.21289"
"18.20000","1.51687","10288.06543"
"18.30000","1.52518","10330.76074"
"18.40000","1.53345","10374.21973"
"18.50000","1.54179","10417.91992"
"18.60000","1.55003","10461.75098"
"18.70000","1.55845","10507.39258"
"18.80000","1.56681","10550.84766"
"18.90000","1.57518","10595.18652"
"19.00000","1.58357","10636.79883"
"19.10000","1.59181","10678.62891"
"19.20000","1.60022","10723.41992"
"19.30000","1.60849","10765.02832"
"19.40000","1.61683","10807.47363"
"19.50000","1.62522","10848.61914"
"19.60000","1.63351","10890.20703"
"19.70000","1.64190","10933.70215"
"19.80000","1.65014","10974.91016"
"19.90000","1.65851","11016.52246"
"20.00000","1.66682","11055.97852"
"20.10000","1.67511","11098.39258"
"20.20000","1.68356","11141.14844"
"20.30000","1.69180","11181.60156"
"20.40000","1.70014","11223.10254"
"20.50000","1.70843","11263.89551"
"20.60000","1.71674","11305.55762"
"20.70000","1.72513","11346.22461"
"20.80000","1.73340","11387.43555"
"20.90000","1.74184","11429.95312"
"21.00000","1.75016","11469.59375"
"21.10000","1.75847","11509.87891"
"21.20000","1.76681","11550.65430"
"21.30000","1.77505","11590.71191"
"21.40000","1.78349","11630.25000"
"21.50000","1.79181","11668.84570"
"21.60000","1.80020","11709.82227"
"21.70000","1.80859","11746.64551"
"21.80000","1.81683","11784.79199"
"21.90000","1.82520","11822.34863"
"22.00000","1.83346","11859.71094"
"22.10000","1.84188","11898.35938"
"22.20000","1.85022","11937.36816"
"22.30000","1.85851","11976.10645"
"22.40000","1.86687","12013.89844"
"22.50000","1.87511","12051.62012"
"22.60000","1.88351","12089.45801"
"22.70000","1.89180","12124.44141"
"22.80000","1.90016","12163.52734"
"22.90000","1.90853","12201.22168"
"23.00000","1.91682","12238.84277"
"23.10000","1.92526","12275.84570"
"23.20000","1.93347","12309.98730"
"23.30000","1.94184","12347.04297"
"23.40000","1.95010","12380.34375"
"23.50000","1.95840","12414.88184"
"23.60000","1.96684","12450.79590"
"23.70000","1.97513","12485.77539"
"23.80000","1.98357","12522.50684"
"23.90000","1.99186","12555.87793"
"24.00000","2.00015","12591.76758"
"24.10000","2.00849","12624.69336"
"24.20000","2.01675","12656.88672"
"24.30000","2.02520","12692.67383"
"24.40000","2.03351","12726.01953"
"24.50000","2.04185","12761.80469"
"24.60000","2.05019","12794.13574"
"24.70000","2.05848","12826.66016"
"24.80000","2.06687","12858.58887"
"24.90000","2.07516","12890.55469"
"25.00000","2.08356","12924.84668"
"25.10000","2.09190","12954.60156"
"25.20000","2.10019","12985.06836"
"25.30000","2.10855","13015.61426"
"25.40000","2.11682","13045.10645"
"25.50000","2.12518","13078.30371"
"25.60000","2.13350","13107.40527"
"25.70000","2.14181","13137.75000"
"25.80000","2.15018","13167.56445"
"25.90000","2.15845","13195.67578"
"26.00000","2.16684","13226.34863"
"26.10000","2.17510","13255.16113"
"26.20000","2.18349","13284.44824"
"26.30000","2.19188","13311.65723"
"26.40000","2.20017","13338.32031"
"26.50000","2.20856","13366.06152"
"26.60000","2.21680","13389.90039"
"26.70000","2.22515","13418.30469"
"26.80000","2.23344","13443.25879"
"26.90000","2.24173","13468.94824"
"27.00000","2.25017","13494.79590"
"27.10000","2.25846","13520.49121"
"27.20000","2.26687","13546.67578"
"27.30000","2.27516","13568.45312"
"27.40000","2.28348","13592.27441"
"27.50000","2.29185","13616.56348"
"27.60000","2.30016","13640.80176"
"27.70000","2.30858","13665.22168"
"27.80000","2.31684","13685.63770"
"27.90000","2.32516","13706.83496"
"28.00000","2.33347","13726.32129"
"28.10000","2.34171","13746.75781"
"28.20000","2.35013","13767.57324"
"28.30000","2.35842","13785.36230"
"28.40000","2.36689","13803.31641"
"28.50000","2.37520","13817.76953"
"28.60000","2.38352","13832.18652"
"28.70000","2.39188","13846.83105"
"28.80000","2.40015","13858.06250"
"28.90000","2.40851","13870.00098"
"29.00000","2.41685","13871.45410"
"29.00600","2.41736","13466.84570"
"29.00800","2.41754","13027.46191"
"29.01000","2.41771","12461.55273"
"29.01200","2.41789","11812.23438"
"29.01400","2.41809","11100.02148"
"29.01600","2.41829","10339.58594"
"29.01800","2.41849","9550.21387"
"29.02000","2.41869","8752.77051"
"29.02200","2.41890","7962.61865"
