General : Start date,"11/19/2025 10:40 AM"
General : End date,"11/19/2025 10:40 AM"
Specimen notes : Specimen note 1,"T6-2"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.07975"
"0.10000","0.00403","7.68410"
"0.20000","0.01378","126.60711"
"0.30000","0.02341","217.11307"
"0.40000","0.03248","283.48376"
"0.50000","0.04115","353.97495"
"0.60000","0.04979","425.99756"
"0.70000","0.05821","501.23663"
"0.80000","0.06665","586.75262"
"0.90000","0.07499","665.42047"
"1.00000","0.08336","748.51117"
"1.10000","0.09185","828.81775"
"1.20000","0.10014","908.85657"
"1.30000","0.10853","991.60022"
"1.40000","0.11685","1073.78137"
"1.50000","0.12519","1159.07251"
"1.60000","0.13353","1244.94568"
"1.70000","0.14182","1329.14172"
"1.80000","0.15023","1413.90100"
"1.90000","0.15847","1496.73779"
"2.00000","0.16686","1583.24072"
"2.10000","0.17518","1669.19617"
"2.20000","0.18347","1753.88245"
"2.30000","0.19184","1837.65015"
"2.40000","0.20013","1919.98010"
"2.50000","0.20852","2005.67859"
"2.60000","0.21678","2087.16895"
"2.70000","0.22510","2171.65088"
"2.80000","0.23344","2249.31299"
"2.90000","0.24170","2326.60669"
"3.00000","0.25014","2403.22144"
"3.10000","0.25849","2480.17920"
"3.20000","0.26680","2555.06958"
"3.30000","0.27514","2628.97095"
"3.40000","0.28341","2699.86230"
"3.50000","0.29185","2772.03369"
"3.60000","0.30011","2841.31934"
"3.70000","0.30848","2912.65894"
"3.80000","0.31684","2980.81030"
"3.90000","0.32516","3047.00073"
"4.00000","0.33358","3113.18115"
"4.10000","0.34184","3178.44067"
"4.20000","0.35021","3245.03247"
"4.30000","0.35847","3307.45923"
"4.40000","0.36681","3370.51440"
"4.50000","0.37523","3432.43604"
"4.60000","0.38352","3494.19556"
"4.70000","0.39191","3557.64697"
"4.80000","0.40018","3617.34180"
"4.90000","0.40847","3676.62085"
"5.00000","0.41681","3733.91699"
"5.10000","0.42512","3793.13721"
"5.20000","0.43356","3853.49951"
"5.30000","0.44183","3909.22900"
"5.40000","0.45019","3967.85742"
"5.50000","0.45849","4023.08789"
"5.60000","0.46678","4080.70166"
"5.70000","0.47514","4136.28711"
"5.80000","0.48341","4191.44873"
"5.90000","0.49182","4248.67773"
"6.00000","0.50016","4303.31982"
"6.10000","0.50848","4357.70508"
"6.20000","0.51689","4412.51025"
"6.30000","0.52511","4466.06934"
"6.40000","0.53348","4521.55859"
"6.50000","0.54177","4573.71680"
"6.60000","0.55016","4628.81738"
"6.70000","0.55857","4682.14551"
"6.80000","0.56686","4734.52344"
"6.90000","0.57523","4786.69043"
"7.00000","0.58349","4837.29150"
"7.10000","0.59186","4890.70312"
"7.20000","0.60020","4942.45557"
"7.30000","0.60852","4994.74609"
"7.40000","0.61691","5047.21533"
"7.50000","0.62515","5098.25928"
"7.60000","0.63351","5150.04248"
"7.70000","0.64180","5202.11572"
"7.80000","0.65014","5256.03418"
"7.90000","0.65851","5310.67188"
"8.00000","0.66678","5363.84277"
"8.10000","0.67517","5416.91357"
"8.20000","0.68346","5467.97754"
"8.30000","0.69180","5522.87061"
"8.40000","0.70014","5575.04980"
"8.50000","0.70845","5627.64014"
"8.60000","0.71689","5679.61572"
"8.70000","0.72519","5730.59473"
"8.80000","0.73353","5781.24805"
"8.90000","0.74182","5832.03809"
"9.00000","0.75011","5883.90430"
"9.10000","0.75845","5935.59912"
"9.20000","0.76671","5984.70020"
"9.30000","0.77518","6037.91699"
"9.40000","0.78352","6087.55518"
"9.50000","0.79183","6138.71777"
"9.60000","0.80018","6188.23340"
"9.70000","0.80844","6237.22803"
"9.80000","0.81688","6288.83984"
"9.90000","0.82520","6338.72754"
"10.00000","0.83354","6389.77881"
"10.10000","0.84183","6438.27490"
"10.20000","0.85009","6487.00439"
"10.30000","0.85846","6535.99072"
"10.40000","0.86672","6585.22021"
"10.50000","0.87512","6635.89551"
"10.60000","0.88348","6684.31299"
"10.70000","0.89182","6733.58789"
"10.80000","0.90024","6780.85400"
"10.90000","0.90848","6828.35352"
"11.00000","0.91687","6878.16455"
"11.10000","0.92518","6926.57471"
"11.20000","0.93350","6975.99121"
"11.30000","0.94187","7024.01465"
"11.40000","0.95016","7072.60010"
"11.50000","0.95857","7122.37744"
"11.60000","0.96681","7169.73633"
"11.70000","0.97515","7219.24756"
"11.80000","0.98349","7267.29053"
"11.90000","0.99178","7315.01416"
"12.00000","1.00023","7366.12207"
"12.10000","1.00847","7413.28369"
"12.20000","1.01681","7461.50537"
"12.30000","1.02510","7508.73975"
"12.40000","1.03339","7557.58740"
"12.50000","1.04180","7606.15234"
"12.60000","1.05009","7653.40088"
"12.70000","1.05851","7703.64404"
"12.80000","1.06680","7750.61719"
"12.90000","1.07512","7799.22168"
"13.00000","1.08348","7845.15869"
"13.10000","1.09172","7894.25098"
"13.20000","1.10014","7944.00146"
"13.30000","1.10845","7990.63818"
"13.40000","1.11684","8039.66211"
"13.50000","1.12526","8086.30811"
"13.60000","1.13350","8134.08496"
"13.70000","1.14187","8182.40869"
"13.80000","1.15013","8228.66113"
"13.90000","1.15852","8278.22852"
"14.00000","1.16686","8323.72559"
"14.10000","1.17515","8372.02344"
"14.20000","1.18354","8420.74316"
"14.30000","1.19183","8466.15723"
"14.40000","1.20020","8514.51465"
"14.50000","1.20849","8559.60645"
"14.60000","1.21683","8607.59082"
"14.70000","1.22520","8654.63867"
"14.80000","1.23346","8701.26172"
"14.90000","1.24188","8749.53027"
"15.00000","1.25014","8794.76367"
"15.10000","1.25846","8842.04785"
"15.20000","1.26677","8888.54883"
"15.30000","1.27509","8937.49121"
"15.40000","1.28351","8984.17285"
"15.50000","1.29182","9030.61621"
"15.60000","1.30024","9078.74121"
"15.70000","1.30853","9123.47852"
"15.80000","1.31679","9170.76660"
"15.90000","1.32516","9216.57910"
"16.00000","1.33340","9262.08984"
"16.10000","1.34184","9310.57422"
"16.20000","1.35018","9354.75879"
"16.30000","1.35850","9402.97266"
"16.40000","1.36686","9449.33008"
"16.50000","1.37515","9494.93555"
"16.60000","1.38354","9542.82031"
"16.70000","1.39186","9588.57812"
"16.80000","1.40023","9635.91797"
"16.90000","1.40857","9682.00977"
"17.00000","1.41683","9727.72461"
"17.10000","1.42522","9774.27930"
"17.20000","1.43346","9819.40430"
"17.30000","1.44185","9869.15723"
"17.40000","1.45017","9914.56445"
"17.50000","1.45848","9961.25293"
"17.60000","1.46685","10006.79688"
"17.70000","1.47511","10052.63672"
"17.80000","1.48348","10100.17285"
"17.90000","1.49177","10146.43555"
"18.00000","1.50014","10192.57129"
