General : Start date,"11/24/2025 10:23 AM"
General : End date,"11/24/2025 10:23 AM"
Specimen notes : Specimen note 1,"G4-4"
Test : Rate 1,"10.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-2.94463"
"0.10000","0.00970","-1.18514"
"0.20000","0.02815","116.97634"
"0.30000","0.04694","331.89011"
"0.40000","0.06499","522.55255"
"0.50000","0.08242","689.21826"
"0.60000","0.09958","846.74805"
"0.70000","0.11662","995.84161"
"0.80000","0.13348","1130.34131"
"0.90000","0.15023","1252.35791"
"1.00000","0.16694","1356.25073"
"1.10000","0.18370","1452.15857"
"1.20000","0.20033","1543.70447"
"1.30000","0.21696","1629.00671"
"1.40000","0.23366","1714.15784"
"1.50000","0.25030","1792.11890"
"1.60000","0.26688","1866.02307"
"1.70000","0.28358","1938.49268"
"1.80000","0.30031","2010.31750"
"1.90000","0.31700","2077.18677"
"2.00000","0.33365","2148.18506"
"2.10000","0.35038","2218.75342"
"2.20000","0.36707","2288.06445"
"2.30000","0.38372","2357.31909"
"2.40000","0.40040","2427.05688"
"2.50000","0.41706","2495.12695"
"2.60000","0.43366","2563.00293"
"2.70000","0.45037","2633.16455"
"2.80000","0.46700","2702.41064"
"2.90000","0.48366","2771.76880"
"3.00000","0.50031","2845.87012"
"3.10000","0.51695","2914.56299"
"3.20000","0.53360","2981.34375"
"3.30000","0.55021","3049.62061"
"3.40000","0.56696","3116.92139"
"3.50000","0.58367","3184.57568"
"3.60000","0.60035","3254.12305"
"3.70000","0.61703","3321.49194"
"3.80000","0.63371","3394.76318"
"3.90000","0.65032","3466.11060"
"4.00000","0.66695","3537.27612"
"4.10000","0.68366","3611.45166"
"4.20000","0.70031","3683.02124"
"4.30000","0.71702","3756.72949"
"4.40000","0.73373","3832.89038"
"4.50000","0.75041","3906.55322"
"4.60000","0.76694","3981.66992"
"4.70000","0.78354","4058.72168"
"4.80000","0.80028","4135.16699"
"4.90000","0.81696","4214.05957"
"5.00000","0.83364","4290.33936"
"5.10000","0.85027","4369.23633"
"5.20000","0.86693","4449.78418"
"5.30000","0.88361","4529.66699"
"5.40000","0.90034","4610.90576"
"5.50000","0.91707","4692.30127"
"5.60000","0.93370","4773.39795"
"5.70000","0.95031","4856.50635"
"5.80000","0.96699","4939.44678"
"5.90000","0.98367","5021.70557"
"6.00000","1.00030","5107.60693"
"6.10000","1.01706","5191.10596"
"6.20000","1.03369","5278.55371"
"6.30000","1.05022","5363.48535"
"6.40000","1.06685","5450.96973"
"6.50000","1.08363","5537.63574"
"6.60000","1.10034","5623.73193"
"6.70000","1.11697","5713.32471"
"6.80000","1.13365","5803.17139"
"6.90000","1.15036","5894.17090"
"7.00000","1.16706","5983.41797"
"7.10000","1.18375","6070.63379"
"7.20000","1.20043","6160.42139"
"7.30000","1.21703","6248.75439"
"7.40000","1.23369","6338.07764"
"7.50000","1.25032","6428.61865"
"7.60000","1.26700","6517.10547"
"7.70000","1.28368","6606.32568"
"7.80000","1.30031","6696.49609"
"7.90000","1.31692","6784.57080"
"8.00000","1.33353","6871.59619"
"8.10000","1.35023","6959.63135"
"8.20000","1.36701","7045.26660"
"8.30000","1.38370","7132.80371"
"8.40000","1.40035","7219.39062"
"8.50000","1.41703","7306.60645"
"8.60000","1.43369","7394.28174"
"8.70000","1.45029","7477.06348"
"8.80000","1.46695","7564.03369"
"8.90000","1.48366","7650.67334"
