General : Start date,"11/19/2025 10:56 AM"
General : End date,"11/19/2025 10:57 AM"
Specimen notes : Specimen note 1,"G4-1"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.43831"
"0.10000","0.00443","0.60904"
"0.20000","0.01368","4.68641"
"0.30000","0.02293","65.09187"
"0.40000","0.03213","102.20104"
"0.50000","0.04110","130.39722"
"0.60000","0.04977","170.59674"
"0.70000","0.05826","227.46063"
"0.80000","0.06665","292.09464"
"0.90000","0.07497","359.00275"
"1.00000","0.08343","426.98639"
"1.10000","0.09182","497.15952"
"1.20000","0.10011","569.77124"
"1.30000","0.10853","641.68579"
"1.40000","0.11685","711.23297"
"1.50000","0.12524","779.11871"
"1.60000","0.13355","845.23718"
"1.70000","0.14189","916.67389"
"1.80000","0.15023","989.06470"
"1.90000","0.15852","1062.78479"
"2.00000","0.16686","1136.12744"
"2.10000","0.17518","1209.85388"
"2.20000","0.18352","1284.89868"
"2.30000","0.19186","1358.95569"
"2.40000","0.20013","1433.65344"
"2.50000","0.20854","1506.97107"
"2.60000","0.21681","1579.32104"
"2.70000","0.22517","1650.42017"
"2.80000","0.23351","1719.47314"
"2.90000","0.24183","1789.39087"
"3.00000","0.25027","1857.66589"
"3.10000","0.25854","1922.67822"
"3.20000","0.26693","1988.33459"
"3.30000","0.27519","2051.40967"
"3.40000","0.28343","2115.91919"
"3.50000","0.29177","2177.40649"
"3.60000","0.30006","2237.16479"
"3.70000","0.30850","2296.04517"
"3.80000","0.31682","2355.11328"
"3.90000","0.32519","2413.16772"
"4.00000","0.33353","2470.81738"
"4.10000","0.34179","2527.64062"
"4.20000","0.35023","2583.65063"
"4.30000","0.35852","2639.93408"
"4.40000","0.36691","2696.31396"
"4.50000","0.37523","2748.98120"
"4.60000","0.38344","2804.36694"
"4.70000","0.39181","2856.87085"
"4.80000","0.40005","2911.45044"
"4.90000","0.40849","2967.28809"
"5.00000","0.41683","3020.88477"
"5.10000","0.42520","3074.32910"
"5.20000","0.43359","3126.66040"
"5.30000","0.44185","3176.24609"
"5.40000","0.45022","3227.50928"
"5.50000","0.45851","3277.58276"
"5.60000","0.46685","3328.14160"
"5.70000","0.47519","3376.46753"
"5.80000","0.48351","3424.93701"
"5.90000","0.49192","3476.04224"
"6.00000","0.50016","3524.91064"
"6.10000","0.50850","3575.14502"
"6.20000","0.51684","3623.67554"
"6.30000","0.52513","3673.35376"
"6.40000","0.53355","3723.71973"
"6.50000","0.54182","3772.81567"
"6.60000","0.55016","3822.35620"
"6.70000","0.55842","3867.77588"
"6.80000","0.56674","3917.46729"
"6.90000","0.57515","3966.42725"
"7.00000","0.58347","4016.69897"
"7.10000","0.59189","4066.66064"
"7.20000","0.60013","4113.25732"
"7.30000","0.60847","4163.06982"
"7.40000","0.61683","4210.52295"
"7.50000","0.62510","4260.18848"
"7.60000","0.63351","4310.07422"
"7.70000","0.64178","4356.23486"
"7.80000","0.65019","4404.81787"
"7.90000","0.65856","4452.58301"
"8.00000","0.66688","4500.54541"
"8.10000","0.67524","4550.14111"
"8.20000","0.68348","4597.07471"
"8.30000","0.69187","4644.62061"
"8.40000","0.70019","4692.77832"
"8.50000","0.70853","4741.55713"
"8.60000","0.71689","4790.41357"
"8.70000","0.72516","4838.52832"
"8.80000","0.73358","4885.49463"
"8.90000","0.74182","4932.07520"
"9.00000","0.75016","4978.32764"
"9.10000","0.75855","5026.83057"
"9.20000","0.76684","5073.85596"
"9.30000","0.77525","5120.21094"
"9.40000","0.78349","5164.97266"
"9.50000","0.79183","5211.54053"
"9.60000","0.80013","5258.17041"
"9.70000","0.80839","5305.67822"
"9.80000","0.81681","5352.12793"
"9.90000","0.82510","5398.19873"
"10.00000","0.83356","5445.93506"
"10.10000","0.84188","5491.04199"
"10.20000","0.85014","5537.92285"
"10.30000","0.85851","5584.02979"
"10.40000","0.86677","5628.87061"
"10.50000","0.87519","5675.46777"
"10.60000","0.88351","5720.38721"
"10.70000","0.89187","5768.47266"
"10.80000","0.90021","5812.79199"
"10.90000","0.90848","5857.05469"
"11.00000","0.91689","5901.73730"
"11.10000","0.92521","5945.40332"
"11.20000","0.93358","5991.89551"
"11.30000","0.94189","6035.57568"
"11.40000","0.95018","6079.74463"
"11.50000","0.95855","6123.29004"
"11.60000","0.96681","6166.39160"
"11.70000","0.97520","6212.58301"
"11.80000","0.98349","6256.60547"
"11.90000","0.99183","6300.67578"
"12.00000","1.00018","6343.78564"
"12.10000","1.00844","6385.43799"
"12.20000","1.01686","6428.95850"
"12.30000","1.02512","6472.18457"
"12.40000","1.03349","6515.85156"
"12.50000","1.04188","6558.84082"
"12.60000","1.05019","6600.76758"
"12.70000","1.05859","6644.81055"
"12.80000","1.06683","6684.76660"
"12.90000","1.07514","6728.95020"
"13.00000","1.08343","6771.54736"
"13.10000","1.09172","6813.90039"
"13.20000","1.10016","6856.75146"
"13.30000","1.10848","6898.87842"
"13.40000","1.11687","6942.80957"
"13.50000","1.12516","6983.97314"
"13.60000","1.13350","7025.54150"
"13.70000","1.14189","7068.65576"
"13.80000","1.15018","7112.89502"
"13.90000","1.15860","7157.57178"
"14.00000","1.16686","7199.40576"
"14.10000","1.17518","7242.20215"
"14.20000","1.18347","7283.40381"
"14.30000","1.19173","7325.93066"
"14.40000","1.20015","7370.21191"
"14.50000","1.20844","7412.28613"
"14.60000","1.21688","7455.25195"
"14.70000","1.22522","7495.52783"
"14.80000","1.23354","7539.70752"
"14.90000","1.24190","7581.54639"
"15.00000","1.25014","7623.13330"
"15.10000","1.25853","7665.58496"
"15.20000","1.26688","7707.57959"
"15.30000","1.27522","7751.07129"
"15.40000","1.28358","7793.99854"
"15.50000","1.29182","7837.30762"
"15.60000","1.30021","7879.31592"
"15.70000","1.30848","7920.37158"
"15.80000","1.31684","7963.17285"
"15.90000","1.32521","8004.93799"
"16.00000","1.33350","8048.82520"
"16.10000","1.34189","8090.83203"
"16.20000","1.35008","8130.84912"
"16.30000","1.35845","8174.37549"
"16.40000","1.36679","8215.85254"
"16.50000","1.37513","8258.59863"
"16.60000","1.38352","8300.98730"
"16.70000","1.39181","8340.70117"
"16.80000","1.40017","8383.38184"
"16.90000","1.40847","8424.82520"
"17.00000","1.41678","8467.75293"
"17.10000","1.42512","8510.07031"
"17.20000","1.43344","8551.01660"
"17.30000","1.44188","8592.45801"
"17.40000","1.45022","8634.05078"
"17.50000","1.45856","8676.00293"
"17.60000","1.46687","8716.54590"
"17.70000","1.47517","8758.72656"
"17.80000","1.48356","8801.52148"
"17.90000","1.49182","8842.22949"
"18.00000","1.50021","8883.90918"
"18.10000","1.50853","8925.20410"
