General : Start date,"11/19/2025 10:54 AM"
General : End date,"11/19/2025 10:54 AM"
Specimen notes : Specimen note 1,"G8-4"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"17.20000","1.43666","9480.04590"
"17.30000","1.44503","9530.16797"
"17.40000","1.45332","9579.21484"
"17.50000","1.46168","9631.02246"
"17.60000","1.46995","9678.63477"
"17.70000","1.47834","9730.33301"
"17.80000","1.48668","9780.07715"
"17.90000","1.49497","9831.84668"
"18.00000","1.50339","9882.19336"
"18.10000","1.51168","9931.27539"
"18.20000","1.52004","9983.30566"
"18.30000","1.52826","10033.44043"
"18.40000","1.53657","10085.65527"
"18.50000","1.54494","10135.05566"
"18.60000","1.55323","10186.29102"
"18.70000","1.56167","10238.08008"
"18.80000","1.56996","10287.27539"
"18.90000","1.57830","10338.77441"
"19.00000","1.58659","10387.04004"
"19.10000","1.59491","10437.23926"
"19.20000","1.60335","10489.29004"
"19.30000","1.61167","10536.91797"
"19.40000","1.62006","10588.91602"
"19.50000","1.62832","10638.46680"
"19.60000","1.63664","10689.25195"
"19.70000","1.64500","10738.45410"
"19.80000","1.65332","10788.22656"
"19.90000","1.66173","10841.66504"
"20.00000","1.67000","10890.90625"
"20.10000","1.67834","10941.59277"
"20.20000","1.68671","10990.52441"
"20.30000","1.69497","11040.43164"
"20.40000","1.70336","11091.94043"
"20.50000","1.71163","11141.07129"
"20.60000","1.71999","11192.11523"
"20.70000","1.72831","11241.86035"
"20.80000","1.73660","11290.29980"
"20.90000","1.74499","11341.24219"
"21.00000","1.75325","11390.43652"
"21.10000","1.76165","11442.14844"
"21.20000","1.76999","11490.32617"
"21.30000","1.77833","11540.24121"
"21.40000","1.78672","11588.73340"
"21.50000","1.79498","11638.18066"
"21.60000","1.80332","11689.61914"
"21.70000","1.81159","11738.87598"
"21.80000","1.81993","11788.35059"
"21.90000","1.82830","11836.43555"
"22.00000","1.83659","11887.76074"
"22.10000","1.84500","11939.12305"
"22.20000","1.85327","11985.49805"
"22.30000","1.86163","12035.13184"
"22.40000","1.86997","12083.51953"
"22.50000","1.87831","12134.13477"
"22.60000","1.88676","12184.43457"
"22.70000","1.89497","12232.89160"
"22.80000","1.90334","12282.69727"
"22.90000","1.91160","12329.93848"
"23.00000","1.91989","12380.03418"
"23.10000","1.92828","12429.25391"
"23.20000","1.93657","12479.05957"
"23.30000","1.94504","12530.14355"
"23.40000","1.95333","12578.88379"
"23.50000","1.96167","12628.58789"
"23.60000","1.97001","12676.87695"
"23.70000","1.97830","12725.57031"
"23.80000","1.98669","12774.92676"
"23.90000","1.99498","12821.66699"
"24.00000","2.00335","12871.56836"
"24.10000","2.01169","12920.47461"
"24.20000","2.01995","12969.66406"
"24.30000","2.02835","13017.22949"
"24.40000","2.03661","13064.05078"
"24.50000","2.04500","13113.93262"
"24.60000","2.05332","13161.17676"
"24.70000","2.06166","13211.11816"
"24.80000","2.06997","13258.13965"
"24.90000","2.07821","13304.02930"
"25.00000","2.08660","13351.35352"
"25.10000","2.09489","13398.63379"
"25.20000","2.10326","13449.79004"
"25.30000","2.11165","13499.02734"
"25.40000","2.11994","13547.24902"
"25.50000","2.12833","13595.40527"
"25.60000","2.13660","13641.89258"
"25.70000","2.14496","13689.60449"
"25.80000","2.15325","13736.16016"
"25.90000","2.16160","13783.40723"
"26.00000","2.17004","13829.87500"
"26.10000","2.17830","13875.58398"
"26.20000","2.18672","13925.16504"
"26.30000","2.19501","13970.91602"
"26.40000","2.20330","14017.42383"
"26.50000","2.21169","14064.97461"
"26.60000","2.21995","14110.55176"
"26.70000","2.22837","14157.49023"
"26.80000","2.23666","14202.17578"
"26.90000","2.24500","14250.81055"
"27.00000","2.25334","14295.04883"
