General : Start date,"11/19/2025 10:46 AM"
General : End date,"11/19/2025 10:47 AM"
Specimen notes : Specimen note 1,"G8-1"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.93332"
"0.10000","0.00403","2.96457"
"0.20000","0.01341","7.14769"
"0.30000","0.02283","80.13934"
"0.40000","0.03210","169.43657"
"0.50000","0.04095","228.23534"
"0.60000","0.04967","291.14755"
"0.70000","0.05821","358.69641"
"0.80000","0.06670","439.30383"
"0.90000","0.07514","527.30463"
"1.00000","0.08343","607.75623"
"1.10000","0.09182","687.97040"
"1.20000","0.10006","761.92480"
"1.30000","0.10838","835.78674"
"1.40000","0.11674","911.14331"
"1.50000","0.12511","992.83728"
"1.60000","0.13358","1075.11169"
"1.70000","0.14184","1158.14368"
"1.80000","0.15021","1242.52209"
"1.90000","0.15852","1325.11389"
"2.00000","0.16684","1408.76160"
"2.10000","0.17525","1491.99158"
"2.20000","0.18349","1577.45667"
"2.30000","0.19186","1663.09717"
"2.40000","0.20013","1746.24023"
"2.50000","0.20847","1829.12109"
"2.60000","0.21681","1912.09192"
"2.70000","0.22512","1995.04089"
"2.80000","0.23356","2078.18164"
"2.90000","0.24185","2156.08423"
"3.00000","0.25025","2236.18701"
"3.10000","0.25856","2311.15454"
"3.20000","0.26683","2388.84473"
"3.30000","0.27519","2462.51392"
"3.40000","0.28346","2535.70215"
"3.50000","0.29190","2606.30127"
"3.60000","0.30019","2674.94629"
"3.70000","0.30850","2742.93530"
"3.80000","0.31687","2810.75610"
"3.90000","0.32511","2876.49854"
"4.00000","0.33350","2943.12305"
"4.10000","0.34184","3006.46997"
"4.20000","0.35018","3071.83569"
"4.30000","0.35852","3135.74976"
"4.40000","0.36671","3198.42285"
"4.50000","0.37513","3261.79053"
"4.60000","0.38342","3321.47656"
"4.70000","0.39184","3382.97412"
"4.80000","0.40018","3444.98535"
"4.90000","0.40847","3505.41577"
"5.00000","0.41683","3563.53638"
"5.10000","0.42510","3621.30322"
"5.20000","0.43351","3679.85938"
"5.30000","0.44180","3737.58960"
"5.40000","0.45014","3795.54248"
"5.50000","0.45854","3851.92310"
"5.60000","0.46685","3907.02271"
"5.70000","0.47524","3962.62476"
"5.80000","0.48353","4016.02124"
"5.90000","0.49185","4071.14331"
"6.00000","0.50019","4123.65137"
"6.10000","0.50845","4176.38574"
"6.20000","0.51689","4229.35645"
"6.30000","0.52519","4282.67871"
"6.40000","0.53353","4335.95801"
"6.50000","0.54184","4388.65186"
"6.60000","0.55018","4441.01123"
"6.70000","0.55855","4492.40771"
"6.80000","0.56684","4542.44922"
"6.90000","0.57523","4595.19971"
"7.00000","0.58354","4645.25244"
"7.10000","0.59186","4695.82812"
"7.20000","0.60020","4745.91455"
"7.30000","0.60844","4794.80762"
"7.40000","0.61681","4847.07324"
"7.50000","0.62512","4897.29053"
"7.60000","0.63346","4948.79395"
"7.70000","0.64188","4999.20898"
"7.80000","0.65017","5048.98438"
"7.90000","0.65856","5101.44092"
"8.00000","0.66680","5151.67090"
"8.10000","0.67514","5204.23535"
"8.20000","0.68348","5253.15918"
"8.30000","0.69182","5303.69336"
"8.40000","0.70026","5356.47949"
"8.50000","0.70850","5406.55908"
"8.60000","0.71687","5458.50195"
"8.70000","0.72519","5506.81348"
"8.80000","0.73350","5557.92432"
"8.90000","0.74192","5607.90137"
"9.00000","0.75021","5658.52783"
"9.10000","0.75860","5710.24512"
"9.20000","0.76686","5757.82910"
"9.30000","0.77518","5808.79736"
"9.40000","0.78352","5858.52539"
"9.50000","0.79181","5910.84717"
"9.60000","0.80023","5962.00830"
"9.70000","0.80847","6012.25586"
"9.80000","0.81683","6062.39844"
"9.90000","0.82515","6112.65430"
"10.00000","0.83346","6164.80225"
"10.10000","0.84185","6217.82764"
"10.20000","0.85014","6268.15771"
"10.30000","0.85859","6319.64062"
"10.40000","0.86690","6369.67188"
"10.50000","0.87519","6420.63818"
"10.60000","0.88351","6473.25049"
"10.70000","0.89175","6523.09521"
"10.80000","0.90014","6575.89502"
"10.90000","0.90843","6626.42920"
"11.00000","0.91682","6678.42871"
"11.10000","0.92521","6729.74365"
"11.20000","0.93348","6780.97168"
"11.30000","0.94187","6833.49756"
"11.40000","0.95016","6883.89258"
"11.50000","0.95855","6937.25781"
"11.60000","0.96691","6990.20996"
"11.70000","0.97520","7042.72217"
"11.80000","0.98357","7094.22656"
"11.90000","0.99178","7144.00244"
"12.00000","1.00012","7195.41602"
"12.10000","1.00842","7247.45166"
"12.20000","1.01676","7302.07178"
"12.30000","1.02520","7353.61670"
"12.40000","1.03351","7405.65967"
"12.50000","1.04193","7457.46484"
"12.60000","1.05019","7508.04932"
"12.70000","1.05853","7562.79834"
"12.80000","1.06685","7614.64111"
"12.90000","1.07517","7666.70117"
"13.00000","1.08358","7718.72852"
"13.10000","1.09185","7770.87354"
"13.20000","1.10021","7824.61182"
"13.30000","1.10853","7874.11182"
"13.40000","1.11682","7927.62793"
"13.50000","1.12521","7978.67920"
"13.60000","1.13347","8028.96338"
"13.70000","1.14189","8082.00781"
"13.80000","1.15018","8133.12012"
"13.90000","1.15845","8184.98291"
"14.00000","1.16679","8235.15527"
"14.10000","1.17508","8287.20898"
"14.20000","1.18349","8340.73438"
"14.30000","1.19178","8391.93359"
"14.40000","1.20018","8445.27051"
"14.50000","1.20852","8495.03223"
"14.60000","1.21678","8544.65820"
"14.70000","1.22517","8597.03320"
"14.80000","1.23341","8648.96582"
"14.90000","1.24180","8702.48730"
"15.00000","1.25017","8753.08594"
"15.10000","1.25851","8805.63770"
"15.20000","1.26693","8857.37793"
"15.30000","1.27517","8908.05469"
"15.40000","1.28353","8960.89453"
"15.50000","1.29185","9010.53613"
"15.60000","1.30019","9062.53125"
"15.70000","1.30855","9113.03516"
"15.80000","1.31684","9165.39551"
"15.90000","1.32523","9217.22168"
"16.00000","1.33350","9266.04688"
"16.10000","1.34187","9316.50879"
"16.20000","1.35021","9366.74902"
"16.30000","1.35847","9418.56543"
"16.40000","1.36691","9471.44043"
"16.50000","1.37518","9521.75293"
"16.60000","1.38359","9574.44238"
"16.70000","1.39188","9623.40137"
"16.80000","1.40015","9675.02246"
"16.90000","1.40849","9726.83691"
"17.00000","1.41676","9777.16406"
"17.10000","1.42515","9828.89062"
"17.20000","1.43346","9877.89258"
"17.30000","1.44183","9929.32324"
"17.40000","1.45027","9981.65723"
"17.50000","1.45846","10031.43457"
"17.60000","1.46682","10082.16602"
"17.70000","1.47511","10131.61914"
"17.80000","1.48351","10182.76855"
"17.90000","1.49190","10233.06543"
"18.00000","1.50016","10284.85254"
