General : Start date,"11/19/2025 10:34 AM"
General : End date,"11/19/2025 10:35 AM"
Specimen notes : Specimen note 1,"T4-4"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","1.14477"
"0.10000","0.00398","12.74629"
"0.20000","0.01386","129.25734"
"0.30000","0.02343","239.38559"
"0.40000","0.03246","332.20401"
"0.50000","0.04122","407.81522"
"0.60000","0.04977","481.70065"
"0.70000","0.05823","555.38013"
"0.80000","0.06675","632.69824"
"0.90000","0.07502","710.28662"
"1.00000","0.08343","786.27850"
"1.10000","0.09177","859.58978"
"1.20000","0.10009","938.56708"
"1.30000","0.10850","1020.67773"
"1.40000","0.11679","1103.11597"
"1.50000","0.12516","1187.53589"
"1.60000","0.13338","1268.20215"
"1.70000","0.14172","1352.10913"
"1.80000","0.15011","1434.30981"
"1.90000","0.15845","1517.09985"
"2.00000","0.16686","1600.27649"
"2.10000","0.17508","1680.55261"
"2.20000","0.18347","1758.48572"
"2.30000","0.19179","1834.82617"
"2.40000","0.20008","1913.26685"
"2.50000","0.20847","1991.77026"
"2.60000","0.21678","2066.39136"
"2.70000","0.22522","2142.56812"
"2.80000","0.23351","2213.34814"
"2.90000","0.24183","2283.36865"
"3.00000","0.25022","2354.44971"
"3.10000","0.25846","2422.47241"
"3.20000","0.26685","2490.05908"
"3.30000","0.27514","2555.46851"
"3.40000","0.28351","2621.12720"
"3.50000","0.29190","2685.71509"
"3.60000","0.30016","2748.43286"
"3.70000","0.30855","2810.27417"
"3.80000","0.31677","2869.86206"
"3.90000","0.32514","2930.38403"
"4.00000","0.33348","2990.50977"
"4.10000","0.34182","3050.66919"
"4.20000","0.35021","3109.06470"
"4.30000","0.35847","3164.44482"
"4.40000","0.36684","3220.65552"
"4.50000","0.37510","3275.64990"
"4.60000","0.38342","3330.83374"
"4.70000","0.39178","3385.79492"
"4.80000","0.40008","3439.52783"
"4.90000","0.40849","3494.12598"
"5.00000","0.41681","3546.80835"
"5.10000","0.42515","3600.60400"
"5.20000","0.43346","3652.41431"
"5.30000","0.44175","3703.73364"
"5.40000","0.45017","3754.57886"
"5.50000","0.45846","3802.91235"
"5.60000","0.46688","3854.80005"
"5.70000","0.47519","3903.47949"
"5.80000","0.48348","3952.50366"
"5.90000","0.49187","4002.32031"
"6.00000","0.50016","4049.88525"
"6.10000","0.50858","4100.75488"
"6.20000","0.51687","4147.63623"
"6.30000","0.52519","4196.78857"
"6.40000","0.53353","4243.91943"
"6.50000","0.54177","4290.48486"
"6.60000","0.55018","4339.73047"
"6.70000","0.55847","4387.48438"
"6.80000","0.56681","4436.48975"
"6.90000","0.57515","4483.36035"
"7.00000","0.58342","4529.54492"
"7.10000","0.59184","4577.00049"
"7.20000","0.60010","4623.14258"
"7.30000","0.60849","4671.96631"
"7.40000","0.61683","4717.88574"
"7.50000","0.62517","4763.81787"
"7.60000","0.63356","4810.40039"
"7.70000","0.64180","4856.58545"
"7.80000","0.65014","4904.53076"
"7.90000","0.65841","4949.51367"
"8.00000","0.66672","4995.62207"
"8.10000","0.67512","5041.72266"
"8.20000","0.68343","5087.84668"
"8.30000","0.69187","5134.21875"
"8.40000","0.70014","5179.09326"
"8.50000","0.70848","5225.72607"
"8.60000","0.71682","5270.94434"
"8.70000","0.72513","5317.95703"
"8.80000","0.73358","5365.13867"
"8.90000","0.74184","5409.62988"
"9.00000","0.75018","5454.56982"
"9.10000","0.75845","5499.24316"
"9.20000","0.76671","5544.97559"
"9.30000","0.77510","5592.24023"
"9.40000","0.78342","5638.24805"
"9.50000","0.79186","5686.32764"
"9.60000","0.80018","5731.74951"
"9.70000","0.80852","5777.54639"
"9.80000","0.81688","5824.27832"
"9.90000","0.82512","5870.43555"
"10.00000","0.83354","5916.98535"
"10.10000","0.84183","5962.05811"
"10.20000","0.85019","6009.89014"
"10.30000","0.85853","6056.76758"
"10.40000","0.86677","6103.03906"
"10.50000","0.87519","6149.63330"
"10.60000","0.88346","6194.95166"
"10.70000","0.89182","6242.60693"
"10.80000","0.90016","6288.49561"
"10.90000","0.90848","6338.12598"
"11.00000","0.91682","6384.08887"
"11.10000","0.92506","6428.22754"
"11.20000","0.93345","6475.17090"
"11.30000","0.94177","6522.07666"
"11.40000","0.95011","6571.30615"
"11.50000","0.95850","6615.05225"
"11.60000","0.96676","6661.02246"
"11.70000","0.97515","6706.87988"
"11.80000","0.98342","6751.91211"
"11.90000","0.99178","6798.79346"
"12.00000","1.00010","6845.48486"
"12.10000","1.00839","6891.18750"
"12.20000","1.01686","6938.87158"
"12.30000","1.02517","6983.09180"
"12.40000","1.03356","7030.86426"
"12.50000","1.04185","7074.73096"
"12.60000","1.05012","7120.78564"
"12.70000","1.05851","7166.44727"
"12.80000","1.06677","7211.20850"
"12.90000","1.07519","7257.04736"
"13.00000","1.08351","7303.17969"
"13.10000","1.09182","7349.62012"
"13.20000","1.10019","7394.40332"
"13.30000","1.10845","7438.09570"
"13.40000","1.11684","7484.24170"
"13.50000","1.12516","7529.52783"
"13.60000","1.13353","7576.55566"
"13.70000","1.14187","7621.06396"
"13.80000","1.15018","7666.27197"
"13.90000","1.15855","7710.66602"
"14.00000","1.16676","7755.15820"
"14.10000","1.17510","7802.14209"
"14.20000","1.18342","7847.05225"
"14.30000","1.19173","7892.08691"
"14.40000","1.20015","7938.52734"
"14.50000","1.20844","7982.62744"
"14.60000","1.21691","8030.86035"
"14.70000","1.22515","8074.02930"
"14.80000","1.23344","8118.93945"
"14.90000","1.24180","8163.85742"
"15.00000","1.25012","8208.50098"
"15.10000","1.25853","8254.99316"
"15.20000","1.26677","8299.75195"
"15.30000","1.27517","8344.43457"
"15.40000","1.28353","8389.08496"
"15.50000","1.29185","8433.69531"
"15.60000","1.30024","8480.74707"
"15.70000","1.30850","8524.67676"
"15.80000","1.31689","8571.55273"
"15.90000","1.32518","8615.81055"
"16.00000","1.33347","8659.92871"
"16.10000","1.34184","8705.07324"
"16.20000","1.35011","8750.28711"
"16.30000","1.35852","8795.89355"
"16.40000","1.36684","8839.69629"
"16.50000","1.37515","8884.22754"
"16.60000","1.38349","8927.27344"
"16.70000","1.39173","8971.89258"
"16.80000","1.40015","9017.10645"
"16.90000","1.40847","9060.01758"
"17.00000","1.41688","9105.58594"
"17.10000","1.42522","9148.23535"
"17.20000","1.43349","9192.83887"
"17.30000","1.44183","9237.60742"
"17.40000","1.45004","9280.77441"
"17.50000","1.45843","9325.41895"
"17.60000","1.46677","9369.66895"
"17.70000","1.47511","9415.43945"
"17.80000","1.48351","9459.73340"
"17.90000","1.49180","9502.37695"
"18.00000","1.50019","9547.69043"
