General : Start date,"11/19/2025 10:28 AM"
General : End date,"11/19/2025 10:28 AM"
Specimen notes : Specimen note 1,"T4-1"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-7.22321"
"0.10000","0.00451","-7.08299"
"0.20000","0.01386","49.60778"
"0.30000","0.02321","165.22110"
"0.40000","0.03233","257.30865"
"0.50000","0.04110","337.93488"
"0.60000","0.04969","419.18936"
"0.70000","0.05823","494.91498"
"0.80000","0.06662","568.73462"
"0.90000","0.07512","641.45831"
"1.00000","0.08341","712.04590"
"1.10000","0.09175","780.43689"
"1.20000","0.10006","850.00836"
"1.30000","0.10840","924.16492"
"1.40000","0.11690","1002.35089"
"1.50000","0.12516","1079.17712"
"1.60000","0.13350","1158.27356"
"1.70000","0.14184","1237.03540"
"1.80000","0.15011","1314.97864"
"1.90000","0.15850","1393.22107"
"2.00000","0.16681","1468.49939"
"2.10000","0.17520","1543.77832"
"2.20000","0.18349","1617.36389"
"2.30000","0.19184","1691.93005"
"2.40000","0.20018","1764.93103"
"2.50000","0.20842","1834.74219"
"2.60000","0.21681","1905.14954"
"2.70000","0.22510","1975.06104"
"2.80000","0.23349","2045.35486"
"2.90000","0.24185","2113.56177"
"3.00000","0.25012","2182.00049"
"3.10000","0.25849","2248.44580"
"3.20000","0.26673","2313.38989"
"3.30000","0.27507","2381.37817"
"3.40000","0.28343","2447.88452"
"3.50000","0.29177","2512.40405"
"3.60000","0.30019","2577.99854"
"3.70000","0.30845","2639.64941"
"3.80000","0.31682","2703.11865"
"3.90000","0.32511","2763.83594"
"4.00000","0.33343","2824.74194"
"4.10000","0.34182","2884.63989"
"4.20000","0.35013","2940.54956"
"4.30000","0.35855","2998.49146"
"4.40000","0.36684","3054.56006"
"4.50000","0.37515","3111.02295"
"4.60000","0.38354","3165.69165"
"4.70000","0.39181","3220.61523"
"4.80000","0.40023","3277.69507"
"4.90000","0.40849","3331.92163"
"5.00000","0.41686","3389.03784"
"5.10000","0.42517","3443.30029"
"5.20000","0.43344","3498.12354"
"5.30000","0.44183","3552.87085"
"5.40000","0.45012","3607.46118"
"5.50000","0.45849","3664.43164"
"5.60000","0.46678","3717.12891"
"5.70000","0.47509","3771.57715"
"5.80000","0.48348","3827.12549"
"5.90000","0.49175","3880.43774"
"6.00000","0.50016","3937.15991"
"6.10000","0.50845","3989.72559"
"6.20000","0.51684","4044.71167"
"6.30000","0.52524","4097.66797"
"6.40000","0.53345","4151.16162"
"6.50000","0.54182","4206.66650"
"6.60000","0.55006","4258.22266"
"6.70000","0.55842","4313.43359"
"6.80000","0.56679","4366.92529"
"6.90000","0.57513","4421.07520"
"7.00000","0.58352","4476.72900"
"7.10000","0.59176","4529.80420"
"7.20000","0.60015","4584.29199"
"7.30000","0.60847","4636.88281"
"7.40000","0.61681","4691.54395"
"7.50000","0.62522","4745.77100"
"7.60000","0.63349","4797.30078"
"7.70000","0.64183","4850.93896"
"7.80000","0.65007","4902.85742"
"7.90000","0.65836","4955.69873"
"8.00000","0.66678","5008.02148"
"8.10000","0.67509","5061.34229"
"8.20000","0.68351","5113.96289"
"8.30000","0.69182","5165.02100"
"8.40000","0.70016","5216.63281"
"8.50000","0.70850","5269.50635"
"8.60000","0.71677","5321.92529"
"8.70000","0.72519","5374.12842"
"8.80000","0.73345","5423.69873"
"8.90000","0.74184","5476.56787"
"9.00000","0.75018","5526.31738"
"9.10000","0.75847","5578.76611"
"9.20000","0.76684","5627.94824"
"9.30000","0.77510","5678.58496"
"9.40000","0.78347","5730.30469"
"9.50000","0.79178","5780.43359"
"9.60000","0.80013","5832.28418"
"9.70000","0.80847","5880.32422"
"9.80000","0.81671","5930.13037"
"9.90000","0.82510","5979.23242"
"10.00000","0.83339","6027.39795"
"10.10000","0.84178","6079.22949"
"10.20000","0.85014","6128.37402"
"10.30000","0.85841","6178.56738"
"10.40000","0.86680","6228.06738"
"10.50000","0.87509","6276.30518"
"10.60000","0.88346","6327.26172"
"10.70000","0.89175","6376.90479"
"10.80000","0.90011","6426.34570"
"10.90000","0.90853","6474.29980"
"11.00000","0.91682","6523.72168"
"11.10000","0.92521","6573.00732"
"11.20000","0.93350","6620.78955"
"11.30000","0.94182","6670.08887"
"11.40000","0.95016","6719.08789"
"11.50000","0.95847","6766.65527"
"11.60000","0.96689","6815.57715"
"11.70000","0.97515","6862.58691"
"11.80000","0.98352","6912.96240"
"11.90000","0.99183","6959.87354"
"12.00000","1.00010","7008.48828"
"12.10000","1.00849","7056.46582"
"12.20000","1.01678","7104.91016"
"12.30000","1.02520","7155.30811"
"12.40000","1.03351","7202.89258"
"12.50000","1.04180","7250.14941"
"12.60000","1.05014","7296.40625"
"12.70000","1.05838","7346.04004"
"12.80000","1.06677","7394.46436"
"12.90000","1.07512","7440.93750"
"13.00000","1.08346","7488.04639"
"13.10000","1.09182","7534.46240"
"13.20000","1.10011","7580.96143"
"13.30000","1.10850","7631.06934"
"13.40000","1.11677","7675.87549"
"13.50000","1.12508","7723.83887"
"13.60000","1.13345","7769.05566"
"13.70000","1.14179","7817.18701"
"13.80000","1.15021","7865.41846"
"13.90000","1.15847","7911.89648"
"14.00000","1.16686","7958.46729"
"14.10000","1.17515","8004.08936"
"14.20000","1.18349","8051.10059"
"14.30000","1.19188","8097.97949"
"14.40000","1.20015","8145.09814"
"14.50000","1.20857","8193.47559"
"14.60000","1.21683","8237.82324"
"14.70000","1.22515","8284.99023"
"14.80000","1.23349","8330.70898"
"14.90000","1.24178","8378.11035"
"15.00000","1.25017","8424.77930"
"15.10000","1.25846","8469.66602"
"15.20000","1.26682","8515.28223"
"15.30000","1.27514","8558.96973"
"15.40000","1.28343","8605.75391"
"15.50000","1.29180","8652.86621"
"15.60000","1.30009","8697.60938"
"15.70000","1.30853","8745.88184"
"15.80000","1.31684","8791.33691"
"15.90000","1.32513","8839.08105"
"16.00000","1.33347","8883.32324"
"16.10000","1.34171","8928.80176"
"16.20000","1.35013","8975.18164"
"16.30000","1.35842","9018.49023"
"16.40000","1.36679","9067.03906"
"16.50000","1.37518","9113.01855"
"16.60000","1.38342","9158.99609"
"16.70000","1.39183","9204.22461"
"16.80000","1.40010","9246.65137"
"16.90000","1.40849","9292.03418"
"17.00000","1.41686","9335.98633"
"17.10000","1.42517","9381.73340"
"17.20000","1.43351","9425.71875"
"17.30000","1.44175","9469.67188"
"17.40000","1.45009","9515.45801"
"17.50000","1.45838","9560.70605"
"17.60000","1.46675","9608.15234"
"17.70000","1.47517","9653.66992"
"17.80000","1.48348","9697.58594"
"17.90000","1.49187","9742.57227"
"18.00000","1.50014","9786.18066"
