General : Start date,"11/19/2025 10:30 AM"
General : End date,"11/19/2025 10:31 AM"
Specimen notes : Specimen note 1,"T4-2"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-6.40358"
"0.10000","0.00438","-8.34239"
"0.20000","0.01383","44.88046"
"0.30000","0.02333","161.51292"
"0.40000","0.03241","266.42874"
"0.50000","0.04115","354.03156"
"0.60000","0.04979","438.56284"
"0.70000","0.05821","515.27386"
"0.80000","0.06667","592.70245"
"0.90000","0.07499","660.71588"
"1.00000","0.08331","733.21320"
"1.10000","0.09172","801.66681"
"1.20000","0.10009","878.20160"
"1.30000","0.10850","956.01483"
"1.40000","0.11674","1038.24927"
"1.50000","0.12514","1117.25793"
"1.60000","0.13345","1197.62024"
"1.70000","0.14177","1278.19946"
"1.80000","0.15008","1362.11658"
"1.90000","0.15845","1443.27942"
"2.00000","0.16691","1526.79932"
"2.10000","0.17520","1607.75757"
"2.20000","0.18349","1690.07837"
"2.30000","0.19184","1773.54980"
"2.40000","0.20010","1855.90259"
"2.50000","0.20852","1939.90820"
"2.60000","0.21683","2018.34888"
"2.70000","0.22520","2102.13672"
"2.80000","0.23354","2178.01099"
"2.90000","0.24180","2260.18921"
"3.00000","0.25019","2335.19629"
"3.10000","0.25843","2412.44312"
"3.20000","0.26680","2486.08447"
"3.30000","0.27512","2562.30103"
"3.40000","0.28348","2634.89160"
"3.50000","0.29187","2709.95679"
"3.60000","0.30014","2780.29126"
"3.70000","0.30850","2854.15161"
"3.80000","0.31679","2922.79248"
"3.90000","0.32506","2996.98511"
"4.00000","0.33345","3064.04932"
"4.10000","0.34174","3134.21826"
"4.20000","0.35018","3201.32373"
"4.30000","0.35847","3268.08618"
"4.40000","0.36679","3335.68042"
"4.50000","0.37515","3402.38037"
"4.60000","0.38342","3467.26733"
"4.70000","0.39186","3531.97339"
"4.80000","0.40018","3594.57910"
"4.90000","0.40854","3658.41650"
"5.00000","0.41686","3720.70898"
"5.10000","0.42515","3781.75537"
"5.20000","0.43354","3845.15332"
"5.30000","0.44183","3903.21167"
"5.40000","0.45022","3967.25977"
"5.50000","0.45854","4028.36011"
"5.60000","0.46683","4090.65747"
"5.70000","0.47519","4148.29297"
"5.80000","0.48343","4207.83203"
"5.90000","0.49185","4267.82129"
"6.00000","0.50014","4328.64062"
"6.10000","0.50848","4386.85547"
"6.20000","0.51682","4446.01709"
"6.30000","0.52508","4503.35205"
"6.40000","0.53350","4561.84131"
"6.50000","0.54177","4618.47217"
"6.60000","0.55016","4678.12891"
"6.70000","0.55850","4733.30957"
"6.80000","0.56684","4789.28369"
"6.90000","0.57523","4842.84180"
"7.00000","0.58347","4898.27002"
"7.10000","0.59181","4954.77930"
"7.20000","0.60007","5008.19873"
"7.30000","0.60839","5063.06299"
"7.40000","0.61681","5117.29102"
"7.50000","0.62512","5170.46484"
"7.60000","0.63351","5225.41113"
"7.70000","0.64178","5277.40723"
"7.80000","0.65012","5332.08105"
"7.90000","0.65851","5384.28857"
"8.00000","0.66680","5435.80518"
"8.10000","0.67522","5490.99316"
"8.20000","0.68346","5541.60547"
"8.30000","0.69180","5594.47754"
"8.40000","0.70009","5644.40869"
"8.50000","0.70835","5696.58643"
"8.60000","0.71679","5748.61670"
"8.70000","0.72508","5800.56885"
"8.80000","0.73353","5852.90381"
"8.90000","0.74184","5902.47900"
"9.00000","0.75018","5953.32861"
"9.10000","0.75855","6004.32178"
"9.20000","0.76679","6055.96875"
"9.30000","0.77518","6108.08691"
"9.40000","0.78347","6157.69824"
"9.50000","0.79183","6209.91748"
"9.60000","0.80020","6259.92188"
"9.70000","0.80847","6311.89258"
"9.80000","0.81686","6362.77051"
"9.90000","0.82512","6411.06738"
"10.00000","0.83349","6461.15234"
"10.10000","0.84183","6511.55469"
"10.20000","0.85012","6561.63330"
"10.30000","0.85848","6610.91895"
"10.40000","0.86672","6659.07715"
"10.50000","0.87509","6709.15674"
"10.60000","0.88341","6757.71533"
"10.70000","0.89177","6809.50342"
"10.80000","0.90016","6859.65039"
"10.90000","0.90843","6909.13037"
"11.00000","0.91682","6958.06494"
"11.10000","0.92508","7004.96826"
"11.20000","0.93345","7055.98242"
"11.30000","0.94177","7104.96094"
"11.40000","0.95008","7154.05518"
"11.50000","0.95855","7202.87988"
"11.60000","0.96684","7249.18262"
"11.70000","0.97520","7300.24365"
"11.80000","0.98349","7348.39941"
"11.90000","0.99181","7396.03711"
"12.00000","1.00018","7443.37744"
"12.10000","1.00847","7490.12598"
"12.20000","1.01688","7539.57178"
"12.30000","1.02517","7587.53320"
"12.40000","1.03349","7635.74902"
"12.50000","1.04185","7682.04834"
"12.60000","1.05012","7729.43408"
"12.70000","1.05853","7776.73291"
"12.80000","1.06683","7825.35010"
"12.90000","1.07514","7874.77783"
"13.00000","1.08351","7922.41406"
"13.10000","1.09180","7969.65234"
"13.20000","1.10016","8017.54834"
"13.30000","1.10840","8063.66895"
"13.40000","1.11674","8112.47510"
"13.50000","1.12508","8159.73193"
"13.60000","1.13342","8208.12402"
"13.70000","1.14192","8256.58301"
"13.80000","1.15016","8301.21094"
"13.90000","1.15855","8348.69531"
"14.00000","1.16679","8394.73145"
"14.10000","1.17510","8441.13867"
"14.20000","1.18347","8486.67871"
"14.30000","1.19178","8531.93652"
"14.40000","1.20020","8581.36133"
"14.50000","1.20847","8628.83789"
"14.60000","1.21683","8675.86035"
"14.70000","1.22520","8720.93555"
"14.80000","1.23351","8767.57910"
"14.90000","1.24193","8815.56641"
"15.00000","1.25017","8862.29102"
"15.10000","1.25856","8908.95996"
"15.20000","1.26685","8953.09180"
"15.30000","1.27514","8998.29980"
"15.40000","1.28351","9045.55957"
"15.50000","1.29177","9091.60742"
"15.60000","1.30019","9138.67773"
"15.70000","1.30848","9183.91797"
"15.80000","1.31679","9229.14453"
"15.90000","1.32513","9274.83594"
"16.00000","1.33340","9321.44434"
"16.10000","1.34184","9367.20117"
"16.20000","1.35013","9412.30176"
"16.30000","1.35852","9459.64941"
"16.40000","1.36689","9503.42285"
"16.50000","1.37513","9548.71289"
"16.60000","1.38349","9594.77344"
"16.70000","1.39173","9638.48145"
"16.80000","1.40010","9685.16602"
"16.90000","1.40844","9729.91797"
"17.00000","1.41678","9776.16309"
"17.10000","1.42517","9821.68066"
"17.20000","1.43344","9866.70020"
"17.30000","1.44183","9913.20508"
"17.40000","1.45014","9954.79980"
"17.50000","1.45851","9999.41992"
"17.60000","1.46690","10045.04297"
"17.70000","1.47514","10089.24707"
"17.80000","1.48351","10132.84277"
"17.90000","1.49175","10175.00781"
"18.00000","1.50006","10220.37305"
