General : Start date,"11/19/2025 9:54 AM"
General : End date,"11/19/2025 9:55 AM"
Specimen notes : Specimen note 1,"B24"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","19.52619"
"0.10000","0.00428","19.20188"
"0.20000","0.01366","25.80166"
"0.30000","0.02293","80.09223"
"0.40000","0.03208","203.73181"
"0.50000","0.04102","319.13364"
"0.60000","0.04967","429.38721"
"0.70000","0.05821","532.61572"
"0.80000","0.06667","623.45923"
"0.90000","0.07499","712.72437"
"1.00000","0.08346","805.54980"
"1.10000","0.09177","894.35663"
"1.20000","0.10011","982.35114"
"1.30000","0.10850","1066.25098"
"1.40000","0.11679","1150.18152"
"1.50000","0.12521","1231.64600"
"1.60000","0.13350","1306.33130"
"1.70000","0.14187","1379.51086"
"1.80000","0.15018","1445.97314"
"1.90000","0.15845","1513.70081"
"2.00000","0.16686","1581.20483"
"2.10000","0.17513","1645.17932"
"2.20000","0.18355","1709.52588"
"2.30000","0.19186","1769.83496"
"2.40000","0.20018","1831.45776"
"2.50000","0.20854","1890.38342"
"2.60000","0.21678","1948.40430"
"2.70000","0.22517","2007.24695"
"2.80000","0.23346","2061.41382"
"2.90000","0.24180","2117.35181"
"3.00000","0.25017","2172.98022"
"3.10000","0.25846","2228.20703"
"3.20000","0.26683","2283.49951"
"3.30000","0.27507","2334.88599"
"3.40000","0.28348","2389.60278"
"3.50000","0.29185","2443.04175"
"3.60000","0.30016","2496.84033"
"3.70000","0.30853","2550.93604"
"3.80000","0.31679","2604.50049"
"3.90000","0.32516","2659.01025"
"4.00000","0.33345","2712.58008"
"4.10000","0.34174","2764.89429"
"4.20000","0.35016","2817.51538"
"4.30000","0.35847","2868.21973"
"4.40000","0.36689","2921.59253"
"4.50000","0.37515","2972.85986"
"4.60000","0.38347","3027.09497"
"4.70000","0.39184","3079.69507"
"4.80000","0.40013","3132.48438"
"4.90000","0.40857","3189.16113"
"5.00000","0.41683","3242.61108"
"5.10000","0.42520","3296.99585"
"5.20000","0.43351","3350.23511"
"5.30000","0.44175","3403.02954"
"5.40000","0.45017","3456.68726"
"5.50000","0.45843","3510.12915"
"5.60000","0.46685","3564.64453"
"5.70000","0.47517","3617.69678"
"5.80000","0.48348","3674.86133"
"5.90000","0.49185","3729.89990"
"6.00000","0.50011","3785.63135"
"6.10000","0.50855","3842.06812"
"6.20000","0.51684","3898.02710"
"6.30000","0.52519","3957.16382"
"6.40000","0.53353","4015.20361"
"6.50000","0.54177","4072.67847"
"6.60000","0.55016","4131.46143"
"6.70000","0.55842","4189.75488"
"6.80000","0.56681","4250.81055"
"6.90000","0.57518","4309.67822"
"7.00000","0.58349","4369.48389"
"7.10000","0.59189","4429.22949"
"7.20000","0.60010","4488.88477"
"7.30000","0.60847","4550.94141"
"7.40000","0.61676","4610.22314"
"7.50000","0.62510","4670.58057"
"7.60000","0.63351","4730.01318"
"7.70000","0.64178","4789.42285"
"7.80000","0.65017","4852.26123"
"7.90000","0.65848","4912.19043"
"8.00000","0.66683","4974.41699"
"8.10000","0.67517","5035.57080"
"8.20000","0.68343","5098.14990"
"8.30000","0.69187","5162.58740"
"8.40000","0.70016","5223.97510"
"8.50000","0.70853","5287.33154"
"8.60000","0.71682","5349.36279"
"8.70000","0.72511","5411.79443"
"8.80000","0.73350","5475.74609"
"8.90000","0.74177","5538.20459"
"9.00000","0.75018","5603.21240"
"9.10000","0.75850","5665.05371"
"9.20000","0.76681","5727.94482"
"9.30000","0.77518","5791.05713"
"9.40000","0.78339","5853.97607"
"9.50000","0.79183","5918.71582"
"9.60000","0.80013","5980.45557"
"9.70000","0.80849","6045.38623"
"9.80000","0.81688","6106.73877"
"9.90000","0.82515","6172.06787"
"10.00000","0.83351","6234.97900"
"10.10000","0.84178","6297.33594"
"10.20000","0.85014","6362.47168"
"10.30000","0.85851","6424.28613"
"10.40000","0.86677","6489.97119"
"10.50000","0.87517","6555.79346"
"10.60000","0.88343","6618.56689"
"10.70000","0.89182","6683.11426"
"10.80000","0.90014","6747.07227"
"10.90000","0.90850","6813.90625"
"11.00000","0.91687","6879.08008"
"11.10000","0.92516","6942.35498"
"11.20000","0.93355","7005.20703"
"11.30000","0.94182","7066.67822"
"11.40000","0.95013","7132.70312"
"11.50000","0.95847","7196.53369"
"11.60000","0.96676","7259.35498"
"11.70000","0.97523","7323.98779"
"11.80000","0.98349","7385.45654"
"11.90000","0.99186","7449.53320"
"12.00000","1.00018","7513.72119"
"12.10000","1.00847","7579.61963"
"12.20000","1.01683","7642.59766"
"12.30000","1.02512","7705.00000"
"12.40000","1.03354","7771.11426"
"12.50000","1.04180","7835.54980"
"12.60000","1.05012","7900.30811"
"12.70000","1.05846","7964.48193"
"12.80000","1.06675","8026.88135"
"12.90000","1.07517","8091.07129"
"13.00000","1.08348","8154.67529"
"13.10000","1.09187","8221.58789"
"13.20000","1.10024","8283.23340"
"13.30000","1.10848","8345.37891"
"13.40000","1.11687","8407.93066"
"13.50000","1.12511","8468.88086"
"13.60000","1.13347","8534.43555"
"13.70000","1.14179","8597.23340"
"13.80000","1.15016","8662.43359"
"13.90000","1.15855","8725.06152"
"14.00000","1.16679","8789.29395"
"14.10000","1.17515","8856.11816"
"14.20000","1.18347","8918.08789"
"14.30000","1.19183","8982.24609"
"14.40000","1.20025","9045.19141"
"14.50000","1.20852","9107.59473"
"14.60000","1.21691","9173.04102"
"14.70000","1.22515","9235.82129"
"14.80000","1.23349","9300.04297"
"14.90000","1.24178","9361.60742"
"15.00000","1.25007","9425.23047"
"15.10000","1.25853","9491.65137"
"15.20000","1.26680","9553.86426"
"15.30000","1.27519","9619.12988"
"15.40000","1.28351","9679.54102"
"15.50000","1.29182","9742.11523"
"15.60000","1.30021","9806.70996"
"15.70000","1.30845","9870.48730"
"15.80000","1.31687","9936.31934"
"15.90000","1.32518","9997.59180"
"16.00000","1.33347","10061.49609"
"16.10000","1.34182","10123.38477"
"16.20000","1.35006","10187.89746"
"16.30000","1.35847","10251.66406"
"16.40000","1.36679","10314.64746"
"16.50000","1.37518","10380.35645"
"16.60000","1.38352","10441.17773"
"16.70000","1.39178","10504.52148"
"16.80000","1.40015","10567.84961"
"16.90000","1.40844","10629.24707"
"17.00000","1.41683","10693.09082"
"17.10000","1.42515","10754.50293"
"17.20000","1.43349","10818.18652"
"17.30000","1.44185","10881.03027"
"17.40000","1.45012","10943.79395"
"17.50000","1.45853","11008.52344"
"17.60000","1.46682","11069.39062"
"17.70000","1.47514","11133.62402"
"17.80000","1.48351","11196.91992"
"17.90000","1.49182","11259.91895"
"18.00000","1.50021","11323.56836"
