General : Start date,"11/19/2025 9:45 AM"
General : End date,"11/19/2025 9:45 AM"
Specimen notes : Specimen note 1,"B21"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","7.37898"
"0.10000","0.00411","10.05023"
"0.20000","0.01343","12.15276"
"0.30000","0.02275","77.63280"
"0.40000","0.03195","173.02768"
"0.50000","0.04085","275.99762"
"0.60000","0.04962","378.31030"
"0.70000","0.05813","477.30627"
"0.80000","0.06665","570.95032"
"0.90000","0.07504","657.54578"
"1.00000","0.08333","741.15900"
"1.10000","0.09175","831.84039"
"1.20000","0.10004","923.20721"
"1.30000","0.10843","1020.55499"
"1.40000","0.11679","1116.75989"
"1.50000","0.12511","1215.15576"
"1.60000","0.13350","1310.56482"
"1.70000","0.14174","1403.23596"
"1.80000","0.15018","1496.49219"
"1.90000","0.15845","1585.43994"
"2.00000","0.16676","1676.09253"
"2.10000","0.17515","1763.20410"
"2.20000","0.18347","1847.54895"
"2.30000","0.19189","1929.52417"
"2.40000","0.20013","2010.83032"
"2.50000","0.20847","2092.86279"
"2.60000","0.21683","2172.21924"
"2.70000","0.22512","2249.83496"
"2.80000","0.23354","2326.95337"
"2.90000","0.24180","2400.20044"
"3.00000","0.25019","2474.78760"
"3.10000","0.25849","2547.37500"
"3.20000","0.26675","2618.43970"
"3.30000","0.27514","2688.46631"
"3.40000","0.28341","2756.18530"
"3.50000","0.29182","2825.63525"
"3.60000","0.30014","2891.42163"
"3.70000","0.30848","2957.72974"
"3.80000","0.31684","3022.51904"
"3.90000","0.32511","3086.22314"
"4.00000","0.33353","3149.67896"
"4.10000","0.34179","3213.27637"
"4.20000","0.35013","3275.90405"
"4.30000","0.35850","3337.92334"
"4.40000","0.36676","3398.36621"
"4.50000","0.37515","3459.02319"
"4.60000","0.38344","3519.33789"
"4.70000","0.39181","3581.52246"
"4.80000","0.40015","3640.42139"
"4.90000","0.40849","3699.26025"
"5.00000","0.41686","3757.44409"
"5.10000","0.42510","3815.59180"
"5.20000","0.43346","3874.31543"
"5.30000","0.44175","3930.18994"
"5.40000","0.45009","3987.13306"
"5.50000","0.45849","4043.91211"
"5.60000","0.46678","4099.44629"
"5.70000","0.47517","4155.86182"
"5.80000","0.48346","4210.13672"
"5.90000","0.49182","4265.09814"
"6.00000","0.50014","4321.28027"
"6.10000","0.50843","4376.39014"
"6.20000","0.51689","4433.18750"
"6.30000","0.52513","4490.03076"
"6.40000","0.53350","4545.72900"
"6.50000","0.54179","4601.61328"
"6.60000","0.55011","4656.99316"
"6.70000","0.55850","4713.80469"
"6.80000","0.56679","4768.47510"
"6.90000","0.57520","4825.10742"
"7.00000","0.58352","4879.35791"
"7.10000","0.59184","4936.32275"
"7.20000","0.60018","4992.02441"
"7.30000","0.60839","5046.51123"
"7.40000","0.61681","5103.39111"
"7.50000","0.62512","5157.67676"
"7.60000","0.63349","5214.56836"
"7.70000","0.64180","5270.18799"
"7.80000","0.65009","5328.72363"
"7.90000","0.65848","5386.07178"
"8.00000","0.66675","5442.84473"
"8.10000","0.67514","5502.62402"
"8.20000","0.68348","5559.76074"
"8.30000","0.69180","5618.01611"
"8.40000","0.70021","5677.98779"
"8.50000","0.70848","5734.85547"
"8.60000","0.71684","5794.41992"
"8.70000","0.72513","5851.93896"
"8.80000","0.73348","5913.81934"
"8.90000","0.74184","5973.83398"
"9.00000","0.75013","6033.13086"
"9.10000","0.75855","6093.29590"
"9.20000","0.76681","6151.53516"
"9.30000","0.77518","6211.62500"
"9.40000","0.78347","6270.70068"
"9.50000","0.79176","6333.14844"
"9.60000","0.80018","6394.04492"
"9.70000","0.80844","6452.56885"
"9.80000","0.81683","6514.37061"
"9.90000","0.82517","6575.41309"
"10.00000","0.83346","6637.79297"
"10.10000","0.84183","6698.65967"
"10.20000","0.85012","6759.75391"
"10.30000","0.85853","6821.90039"
"10.40000","0.86683","6881.80713"
"10.50000","0.87512","6945.49463"
"10.60000","0.88348","7006.95166"
"10.70000","0.89175","7067.88281"
"10.80000","0.90014","7130.01855"
"10.90000","0.90845","7191.05029"
"11.00000","0.91682","7255.70850"
"11.10000","0.92516","7317.26953"
"11.20000","0.93345","7377.76611"
"11.30000","0.94184","7439.13818"
"11.40000","0.95011","7499.95801"
"11.50000","0.95847","7565.04395"
"11.60000","0.96679","7627.98633"
"11.70000","0.97515","7692.66016"
"11.80000","0.98352","7753.58545"
"11.90000","0.99178","7816.17529"
"12.00000","1.00015","7880.96338"
"12.10000","1.00844","7944.36572"
"12.20000","1.01681","8008.90771"
"12.30000","1.02520","8071.60938"
"12.40000","1.03346","8133.15869"
"12.50000","1.04185","8198.83398"
"12.60000","1.05012","8260.83398"
"12.70000","1.05848","8324.75000"
"12.80000","1.06677","8387.00488"
"12.90000","1.07506","8449.42871"
"13.00000","1.08351","8512.81152"
"13.10000","1.09180","8575.67285"
"13.20000","1.10019","8641.23828"
"13.30000","1.10850","8702.06250"
"13.40000","1.11679","8764.92090"
"13.50000","1.12516","8828.65820"
"13.60000","1.13342","8892.42676"
"13.70000","1.14182","8958.79102"
"13.80000","1.15013","9021.55469"
"13.90000","1.15845","9085.91699"
"14.00000","1.16681","9148.78223"
"14.10000","1.17508","9214.84375"
"14.20000","1.18347","9280.57031"
"14.30000","1.19178","9342.77441"
"14.40000","1.20018","9410.01562"
"14.50000","1.20852","9472.09082"
"14.60000","1.21676","9536.05664"
"14.70000","1.22515","9600.88184"
"14.80000","1.23341","9663.62109"
"14.90000","1.24180","9727.18262"
"15.00000","1.25014","9790.00781"
"15.10000","1.25846","9854.97656"
"15.20000","1.26682","9917.91602"
"15.30000","1.27509","9981.61719"
"15.40000","1.28353","10048.92188"
"15.50000","1.29180","10110.32715"
"15.60000","1.30014","10174.33301"
"15.70000","1.30850","10238.98535"
"15.80000","1.31679","10302.77734"
"15.90000","1.32521","10367.53516"
"16.00000","1.33342","10429.60840"
"16.10000","1.34179","10493.23633"
"16.20000","1.35013","10555.88379"
"16.30000","1.35845","10621.75488"
"16.40000","1.36686","10685.60742"
"16.50000","1.37515","10748.28027"
"16.60000","1.38354","10811.58105"
"16.70000","1.39183","10872.60645"
"16.80000","1.40007","10937.12402"
"16.90000","1.40847","11000.97559"
"17.00000","1.41678","11064.49023"
"17.10000","1.42517","11129.12402"
"17.20000","1.43344","11190.83105"
"17.30000","1.44180","11256.31055"
"17.40000","1.45014","11319.45801"
"17.50000","1.45841","11383.35449"
"17.60000","1.46680","11447.24414"
"17.70000","1.47511","11509.47852"
"17.80000","1.48348","11575.71191"
"17.90000","1.49185","11637.74023"
"18.00000","1.50014","11701.89160"
