General : Start date,"11/19/2025 9:47 AM"
General : End date,"11/19/2025 9:48 AM"
Specimen notes : Specimen note 1,"B22"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"17.20000","1.43349","12051.18750"
"17.30000","1.44180","12114.00488"
"17.40000","1.45009","12177.90918"
"17.50000","1.45853","12242.25488"
"17.60000","1.46680","12303.83105"
"17.70000","1.47519","12367.09180"
"17.80000","1.48346","12427.26562"
"17.90000","1.49172","12491.54492"
"18.00000","1.50011","12555.29980"
"18.10000","1.50845","12617.38867"
"18.20000","1.51687","12682.09473"
"18.30000","1.52513","12742.86328"
"18.40000","1.53347","12807.76758"
"18.50000","1.54182","12870.64062"
"18.60000","1.55008","12933.30664"
"18.70000","1.55847","12996.99707"
"18.80000","1.56679","13058.61328"
"18.90000","1.57513","13125.06152"
"19.00000","1.58347","13186.40820"
"19.10000","1.59176","13248.81152"
"19.20000","1.60017","13311.60352"
"19.30000","1.60844","13372.30762"
"19.40000","1.61681","13437.46484"
"19.50000","1.62515","13498.33496"
"19.60000","1.63349","13563.44043"
"19.70000","1.64188","13625.45020"
"19.80000","1.65014","13685.77441"
"19.90000","1.65848","13748.32227"
"20.00000","1.66677","13809.42871"
"20.10000","1.67509","13874.52344"
"20.20000","1.68348","13936.80762"
"20.30000","1.69177","13998.23242"
"20.40000","1.70019","14061.57422"
"20.50000","1.70845","14123.72168"
"20.60000","1.71682","14188.63867"
"20.70000","1.72513","14248.88672"
"20.80000","1.73342","14312.01074"
"20.90000","1.74184","14375.24902"
"21.00000","1.75011","14438.53125"
"21.10000","1.75847","14501.71191"
"21.20000","1.76676","14561.92090"
"21.30000","1.77510","14623.66602"
"21.40000","1.78349","14685.84570"
"21.50000","1.79173","14748.31445"
"21.60000","1.80017","14813.27148"
"21.70000","1.80852","14872.96094"
"21.80000","1.81686","14935.04199"
"21.90000","1.82520","14996.36328"
"22.00000","1.83344","15058.74121"
"22.10000","1.84180","15122.25684"
"22.20000","1.85007","15182.66309"
"22.30000","1.85846","15248.23145"
"22.40000","1.86682","15308.29492"
"22.50000","1.87511","15370.91406"
"22.60000","1.88351","15433.98340"
"22.70000","1.89175","15494.08398"
"22.80000","1.90016","15557.55762"
"22.90000","1.90850","15616.97754"
"23.00000","1.91684","15679.04395"
"23.10000","1.92521","15740.15137"
"23.20000","1.93345","15800.80957"
"23.30000","1.94184","15862.54199"
"23.40000","1.95008","15921.98633"
"23.50000","1.95842","15985.87598"
"23.60000","1.96681","16049.12891"
"23.70000","1.97510","16111.63867"
"23.80000","1.98352","16173.92578"
"23.90000","1.99178","16231.86914"
"24.00000","2.00015","16293.45410"
"24.10000","2.00846","16353.63281"
"24.20000","2.01673","16417.58398"
"24.30000","2.02515","16479.62695"
"24.40000","2.03344","16539.44141"
"24.50000","2.04183","16602.49414"
"24.60000","2.05012","16661.18750"
"24.70000","2.05843","16724.01953"
"24.80000","2.06680","16783.56836"
"24.90000","2.07509","16843.56836"
"25.00000","2.08351","16904.87500"
"25.10000","2.09182","16964.44727"
"25.20000","2.10014","17027.18750"
"25.30000","2.10845","17085.93164"
"25.40000","2.11672","17146.59570"
"25.50000","2.12513","17209.12695"
"25.60000","2.13345","17268.62891"
"25.70000","2.14181","17332.02539"
"25.80000","2.15013","17391.86328"
"25.90000","2.15842","17453.02148"
"26.00000","2.16681","17514.72266"
"26.10000","2.17508","17574.15625"
"26.20000","2.18349","17636.72852"
"26.30000","2.19181","17697.61914"
