General : Start date,"11/24/2025 10:37 AM"
General : End date,"11/24/2025 10:38 AM"
Specimen notes : Specimen note 1,"G6-2"
Test : Rate 1,"10.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"17.20000","2.80970","15040.12207"
"17.30000","2.82635","15097.24902"
"17.40000","2.84306","15153.76465"
"17.50000","2.85972","15209.21777"
"17.60000","2.87632","15264.84180"
"17.70000","2.89298","15319.58105"
"17.80000","2.90958","15371.28711"
"17.90000","2.92619","15424.52441"
"18.00000","2.94297","15474.78320"
"18.10000","2.95970","15525.64941"
"18.20000","2.97636","15576.33008"
"18.30000","2.99304","15624.69922"
"18.40000","3.00972","15672.61035"
"18.50000","3.02638","15716.15918"
"18.60000","3.04301","15760.75684"
"18.70000","3.05967","15807.98145"
"18.80000","3.07630","15851.06543"
"18.90000","3.09298","15894.16406"
"19.00000","3.10969","15933.35547"
"19.10000","3.12642","15973.57520"
"19.20000","3.14302","16012.11426"
"19.30000","3.15960","16049.96484"
"19.40000","3.17628","16086.02148"
"19.50000","3.19294","16123.31250"
"19.60000","3.20965","16158.24414"
"19.70000","3.22633","16192.71680"
"19.80000","3.24296","16224.21777"
"19.90000","3.25964","16254.73242"
"20.00000","3.27632","16286.06348"
"20.10000","3.29305","16314.47949"
"20.20000","3.30971","16341.39746"
"20.30000","3.32637","16368.96875"
"20.40000","3.34300","16394.34180"
"20.50000","3.35968","16422.92383"
"20.60000","3.37631","16446.28516"
"20.70000","3.39302","16469.12891"
"20.80000","3.40970","16492.46289"
"20.90000","3.42633","16512.61914"
"21.00000","3.44288","16531.36328"
"21.10000","3.45964","16552.43555"
"21.20000","3.47635","16569.14844"
"21.30000","3.49298","16586.37305"
"21.40000","3.50966","16602.85547"
"21.50000","3.52642","16617.22656"
"21.60000","3.54307","16628.66992"
"21.70000","3.55978","16637.19922"
"21.80000","3.57641","16642.18945"
"21.90000","3.59307","16637.92188"
"21.93800","3.59939","16256.49805"
"21.94000","3.59972","15789.66699"
"21.94200","3.60007","15150.78516"
"21.94400","3.60042","14399.17578"
"21.94600","3.60078","13567.55762"
"21.94800","3.60116","12673.37695"
"21.95000","3.60153","11738.00781"
"21.95200","3.60191","10785.68848"
"21.95400","3.60229","9835.57812"
