General : Start date,"11/24/2025 10:49 AM"
General : End date,"11/24/2025 10:49 AM"
Specimen notes : Specimen note 1,"G6-4"
Test : Rate 1,"10.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-0.05554","28.41016"
"0.10000","-0.04626","29.58838"
"0.20000","-0.02779","139.16315"
"0.30000","-0.00887","347.17056"
"0.40000","0.00925","538.11029"
"0.50000","0.02679","704.28638"
"0.60000","0.04395","863.19653"
"0.70000","0.06093","1015.27710"
"0.80000","0.07774","1163.28015"
"0.90000","0.09457","1305.51917"
"1.00000","0.11140","1435.69470"
"1.10000","0.12811","1547.41345"
"1.20000","0.14476","1648.56201"
"1.30000","0.16142","1742.32812"
"1.40000","0.17813","1829.63586"
"1.50000","0.19483","1914.14465"
"1.60000","0.21147","1995.88257"
"1.70000","0.22810","2075.20190"
"1.80000","0.24478","2152.70117"
"1.90000","0.26133","2229.25439"
"2.00000","0.27801","2302.89209"
"2.10000","0.29480","2377.24731"
"2.20000","0.31143","2446.59741"
"2.30000","0.32808","2517.39380"
"2.40000","0.34479","2586.82471"
"2.50000","0.36152","2657.36328"
"2.60000","0.37820","2728.15552"
"2.70000","0.39486","2796.92773"
"2.80000","0.41149","2866.50879"
"2.90000","0.42812","2935.50098"
"3.00000","0.44480","3003.28369"
"3.10000","0.46151","3073.65698"
"3.20000","0.47814","3141.20605"
"3.30000","0.49477","3212.26782"
"3.40000","0.51140","3283.94629"
"3.50000","0.52801","3353.82227"
"3.60000","0.54466","3428.45142"
"3.70000","0.56140","3501.65747"
"3.80000","0.57813","3572.98096"
"3.90000","0.59478","3646.93286"
"4.00000","0.61144","3718.58301"
"4.10000","0.62815","3792.93677"
"4.20000","0.64480","3868.18018"
"4.30000","0.66141","3941.55225"
"4.40000","0.67809","4017.51587"
"4.50000","0.69475","4093.00562"
"4.60000","0.71143","4169.56348"
"4.70000","0.72811","4249.02393"
"4.80000","0.74484","4327.34082"
"4.90000","0.76145","4404.95068"
"5.00000","0.77805","4484.31396"
"5.10000","0.79471","4563.39600"
"5.20000","0.81139","4644.80322"
"5.30000","0.82807","4725.29590"
"5.40000","0.84473","4807.18945"
"5.50000","0.86138","4892.25293"
"5.60000","0.87806","4973.80566"
"5.70000","0.89475","5060.24268"
"5.80000","0.91145","5144.70020"
"5.90000","0.92816","5228.85938"
"6.00000","0.94479","5318.15918"
"6.10000","0.96147","5404.39502"
"6.20000","0.97815","5492.91895"
"6.30000","0.99478","5580.81055"
"6.40000","1.01146","5668.40234"
"6.50000","1.02812","5759.36816"
"6.60000","1.04475","5847.21094"
"6.70000","1.06131","5937.10303"
"6.80000","1.07804","6029.61475"
"6.90000","1.09477","6120.46289"
"7.00000","1.11140","6212.41162"
"7.10000","1.12808","6305.84375"
"7.20000","1.14484","6400.83008"
"7.30000","1.16152","6495.56592"
"7.40000","1.17818","6590.82227"
"7.50000","1.19483","6685.03271"
"7.60000","1.21149","6781.42236"
"7.70000","1.22815","6877.17432"
"7.80000","1.24485","6975.60986"
"7.90000","1.26148","7072.89600"
"8.00000","1.27809","7169.26953"
"8.10000","1.29472","7267.72119"
"8.20000","1.31140","7364.45020"
"8.30000","1.32803","7459.26074"
"8.40000","1.34469","7559.40283"
"8.50000","1.36144","7655.06543"
"8.60000","1.37813","7750.53711"
"8.70000","1.39478","7847.10645"
"8.80000","1.41149","7943.14062"
"8.90000","1.42817","8041.44434"
