General : Start date,"11/19/2025 9:28 AM"
General : End date,"11/19/2025 9:29 AM"
Specimen notes : Specimen note 1,"B11"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","32.86604"
"0.10000","0.00418","33.54130"
"0.20000","0.01351","40.01026"
"0.30000","0.02288","123.47618"
"0.40000","0.03210","219.23531"
"0.50000","0.04102","323.16721"
"0.60000","0.04972","416.02869"
"0.70000","0.05811","494.57513"
"0.80000","0.06660","571.30890"
"0.90000","0.07502","642.22931"
"1.00000","0.08341","707.63257"
"1.10000","0.09182","767.99963"
"1.20000","0.10009","821.24445"
"1.30000","0.10848","870.01624"
"1.40000","0.11677","912.27283"
"1.50000","0.12514","953.36780"
"1.60000","0.13350","992.92572"
"1.70000","0.14174","1029.65576"
"1.80000","0.15018","1066.11243"
"1.90000","0.15847","1098.67981"
"2.00000","0.16681","1132.46985"
"2.10000","0.17515","1164.72144"
"2.20000","0.18347","1196.67773"
"2.30000","0.19186","1228.75696"
"2.40000","0.20015","1258.82776"
"2.50000","0.20854","1289.25879"
"2.60000","0.21683","1318.08630"
"2.70000","0.22510","1346.04590"
"2.80000","0.23349","1375.59729"
"2.90000","0.24178","1403.28979"
"3.00000","0.25022","1432.72595"
"3.10000","0.25856","1459.69067"
"3.20000","0.26685","1487.22498"
"3.30000","0.27517","1516.16211"
"3.40000","0.28343","1544.14282"
"3.50000","0.29182","1574.36462"
"3.60000","0.30014","1601.24243"
"3.70000","0.30850","1630.19446"
"3.80000","0.31684","1658.98218"
"3.90000","0.32511","1686.06604"
"4.00000","0.33353","1716.13818"
"4.10000","0.34177","1743.42493"
"4.20000","0.35016","1771.85291"
"4.30000","0.35850","1800.90540"
"4.40000","0.36684","1829.41333"
"4.50000","0.37520","1858.47827"
"4.60000","0.38349","1886.69690"
"4.70000","0.39184","1915.91235"
"4.80000","0.40010","1945.79590"
"4.90000","0.40842","1976.33826"
"5.00000","0.41678","2005.23840"
"5.10000","0.42510","2034.50317"
"5.20000","0.43354","2064.98828"
"5.30000","0.44180","2093.76636"
"5.40000","0.45014","2124.78198"
"5.50000","0.45851","2156.28247"
"5.60000","0.46680","2188.09985"
"5.70000","0.47524","2220.31226"
"5.80000","0.48351","2250.86890"
"5.90000","0.49187","2281.75513"
"6.00000","0.50016","2312.81494"
"6.10000","0.50845","2344.41577"
"6.20000","0.51682","2376.67432"
"6.30000","0.52508","2407.37256"
"6.40000","0.53350","2440.82983"
"6.50000","0.54179","2473.10400"
"6.60000","0.55016","2506.94263"
"6.70000","0.55852","2540.68896"
"6.80000","0.56679","2575.42700"
"6.90000","0.57518","2609.92188"
"7.00000","0.58344","2642.88574"
"7.10000","0.59181","2676.89917"
"7.20000","0.60015","2712.02246"
"7.30000","0.60844","2744.54102"
"7.40000","0.61683","2779.38013"
"7.50000","0.62510","2814.68140"
"7.60000","0.63349","2851.21338"
"7.70000","0.64183","2886.82788"
"7.80000","0.65017","2922.83008"
"7.90000","0.65854","2958.53101"
"8.00000","0.66678","2993.49829"
"8.10000","0.67514","3032.52197"
"8.20000","0.68343","3069.33203"
"8.30000","0.69177","3106.04248"
"8.40000","0.70016","3144.35547"
"8.50000","0.70843","3181.49780"
"8.60000","0.71684","3222.66699"
"8.70000","0.72511","3260.61206"
"8.80000","0.73350","3300.83447"
"8.90000","0.74182","3341.43628"
"9.00000","0.75011","3382.49048"
"9.10000","0.75855","3427.24536"
"9.20000","0.76684","3469.39087"
"9.30000","0.77520","3513.50146"
"9.40000","0.78349","3555.35327"
"9.50000","0.79178","3598.63013"
"9.60000","0.80018","3643.82861"
"9.70000","0.80844","3687.85815"
"9.80000","0.81686","3733.54590"
"9.90000","0.82517","3776.29761"
"10.00000","0.83349","3823.33984"
"10.10000","0.84183","3868.45581"
"10.20000","0.85004","3914.06348"
"10.30000","0.85848","3961.45874"
"10.40000","0.86677","4007.04395"
"10.50000","0.87517","4055.14771"
"10.60000","0.88348","4101.74854"
"10.70000","0.89177","4149.38086"
"10.80000","0.90019","4197.63184"
"10.90000","0.90845","4243.22803"
"11.00000","0.91684","4294.03271"
"11.10000","0.92516","4342.81396"
"11.20000","0.93345","4392.17188"
"11.30000","0.94182","4444.64307"
"11.40000","0.95011","4494.50635"
"11.50000","0.95850","4545.26074"
"11.60000","0.96679","4595.64990"
"11.70000","0.97513","4649.12451"
"11.80000","0.98347","4702.34570"
"11.90000","0.99178","4753.76660"
"12.00000","1.00023","4807.44971"
"12.10000","1.00849","4857.91357"
"12.20000","1.01681","4913.05273"
"12.30000","1.02515","4965.72021"
"12.40000","1.03344","5019.23096"
"12.50000","1.04188","5074.26221"
"12.60000","1.05017","5126.81006"
"12.70000","1.05853","5182.28662"
"12.80000","1.06683","5235.04297"
"12.90000","1.07514","5291.70654"
"13.00000","1.08351","5347.19336"
"13.10000","1.09180","5400.32861"
"13.20000","1.10021","5456.82910"
"13.30000","1.10848","5513.14746"
"13.40000","1.11679","5570.32178"
"13.50000","1.12516","5624.89014"
"13.60000","1.13345","5679.76123"
"13.70000","1.14182","5735.90479"
"13.80000","1.15011","5792.27637"
"13.90000","1.15850","5851.59082"
"14.00000","1.16684","5907.23730"
"14.10000","1.17515","5962.47021"
"14.20000","1.18352","6020.91797"
"14.30000","1.19176","6077.50635"
"14.40000","1.20012","6136.45850"
"14.50000","1.20844","6194.84863"
"14.60000","1.21678","6254.45410"
"14.70000","1.22517","6312.69824"
"14.80000","1.23344","6370.88135"
"14.90000","1.24183","6431.56152"
"15.00000","1.25012","6490.29150"
"15.10000","1.25851","6549.86133"
"15.20000","1.26688","6608.12842"
"15.30000","1.27517","6667.58740"
"15.40000","1.28356","6729.80469"
"15.50000","1.29180","6788.69580"
"15.60000","1.30016","6851.24561"
"15.70000","1.30845","6911.20166"
"15.80000","1.31674","6972.30713"
"15.90000","1.32516","7034.56934"
"16.00000","1.33342","7094.73633"
"16.10000","1.34184","7157.67432"
"16.20000","1.35016","7217.14941"
"16.30000","1.35847","7279.14258"
"16.40000","1.36684","7340.21045"
"16.50000","1.37513","7403.10791"
"16.60000","1.38354","7466.51270"
"16.70000","1.39183","7527.11963"
"16.80000","1.40017","7590.26709"
"16.90000","1.40849","7650.15625"
"17.00000","1.41676","7711.84766"
"17.10000","1.42515","7776.00928"
"17.20000","1.43346","7837.23975"
"17.30000","1.44188","7901.60303"
"17.40000","1.45019","7962.27295"
"17.50000","1.45843","8025.19336"
"17.60000","1.46677","8087.66797"
"17.70000","1.47506","8150.57910"
"17.80000","1.48346","8215.75879"
"17.90000","1.49180","8277.78027"
"18.00000","1.50011","8342.04395"
"18.10000","1.50850","8406.90820"
