General : Start date,"11/19/2025 9:39 AM"
General : End date,"11/19/2025 9:40 AM"
Specimen notes : Specimen note 1,"B14"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","21.44342"
"0.10000","0.00431","22.62159"
"0.20000","0.01363","28.03772"
"0.30000","0.02291","91.48181"
"0.40000","0.03200","214.31142"
"0.50000","0.04100","330.92432"
"0.60000","0.04962","441.28677"
"0.70000","0.05818","552.03625"
"0.80000","0.06670","651.44427"
"0.90000","0.07504","743.33594"
"1.00000","0.08346","839.46252"
"1.10000","0.09175","934.94666"
"1.20000","0.10011","1034.89673"
"1.30000","0.10850","1130.79297"
"1.40000","0.11679","1228.36011"
"1.50000","0.12519","1324.99744"
"1.60000","0.13343","1419.75549"
"1.70000","0.14179","1515.66895"
"1.80000","0.15011","1611.22192"
"1.90000","0.15840","1706.43347"
"2.00000","0.16684","1799.26282"
"2.10000","0.17510","1887.60437"
"2.20000","0.18352","1977.81348"
"2.30000","0.19181","2061.28345"
"2.40000","0.20010","2144.45776"
"2.50000","0.20849","2223.81567"
"2.60000","0.21678","2302.13989"
"2.70000","0.22517","2380.50293"
"2.80000","0.23344","2457.35254"
"2.90000","0.24180","2534.88770"
"3.00000","0.25017","2610.43164"
"3.10000","0.25843","2685.41284"
"3.20000","0.26683","2758.69214"
"3.30000","0.27512","2831.36646"
"3.40000","0.28351","2904.31030"
"3.50000","0.29187","2975.95703"
"3.60000","0.30016","3046.43799"
"3.70000","0.30853","3117.20947"
"3.80000","0.31679","3188.47217"
"3.90000","0.32516","3263.00562"
"4.00000","0.33348","3333.88037"
"4.10000","0.34182","3405.76929"
"4.20000","0.35018","3475.07373"
"4.30000","0.35845","3545.39502"
"4.40000","0.36684","3617.36499"
"4.50000","0.37510","3685.75684"
"4.60000","0.38349","3755.31177"
"4.70000","0.39184","3824.36768"
"4.80000","0.40013","3893.65967"
"4.90000","0.40852","3965.19482"
"5.00000","0.41678","4034.49463"
"5.10000","0.42517","4104.97656"
"5.20000","0.43349","4172.87158"
"5.30000","0.44175","4240.76514"
"5.40000","0.45019","4311.55859"
"5.50000","0.45846","4380.78857"
"5.60000","0.46685","4450.73633"
"5.70000","0.47514","4519.43262"
"5.80000","0.48348","4588.80859"
"5.90000","0.49180","4660.47461"
"6.00000","0.50006","4730.83252"
"6.10000","0.50850","4802.08691"
"6.20000","0.51684","4870.08594"
"6.30000","0.52519","4940.60156"
"6.40000","0.53348","5008.30859"
"6.50000","0.54174","5078.83203"
"6.60000","0.55018","5148.43164"
"6.70000","0.55850","5214.81396"
"6.80000","0.56689","5284.94824"
"6.90000","0.57520","5352.84473"
"7.00000","0.58347","5424.16504"
"7.10000","0.59184","5494.80322"
"7.20000","0.60010","5563.55225"
"7.30000","0.60847","5633.43555"
"7.40000","0.61678","5702.92383"
"7.50000","0.62512","5774.27686"
"7.60000","0.63354","5845.64697"
"7.70000","0.64180","5915.16846"
"7.80000","0.65019","5984.80908"
"7.90000","0.65846","6053.87109"
"8.00000","0.66680","6126.95508"
"8.10000","0.67514","6197.80664"
"8.20000","0.68346","6267.11182"
"8.30000","0.69187","6336.58936"
"8.40000","0.70011","6404.35742"
"8.50000","0.70848","6473.70947"
"8.60000","0.71677","6542.57617"
"8.70000","0.72511","6613.16748"
"8.80000","0.73353","6683.31104"
"8.90000","0.74182","6751.25098"
"9.00000","0.75021","6820.92285"
"9.10000","0.75845","6889.89307"
"9.20000","0.76674","6961.23975"
"9.30000","0.77513","7030.22852"
"9.40000","0.78344","7098.90332"
"9.50000","0.79186","7169.01416"
"9.60000","0.80013","7237.91650"
"9.70000","0.80847","7308.82959"
"9.80000","0.81683","7377.44482"
"9.90000","0.82512","7446.42920"
"10.00000","0.83351","7515.02295"
"10.10000","0.84178","7583.99902"
"10.20000","0.85019","7654.59668"
"10.30000","0.85853","7720.23926"
"10.40000","0.86683","7788.90039"
"10.50000","0.87517","7854.43506"
"10.60000","0.88343","7920.89453"
"10.70000","0.89182","7991.10400"
"10.80000","0.90014","8058.55859"
"10.90000","0.90850","8127.86230"
"11.00000","0.91689","8194.90625"
"11.10000","0.92511","8260.47363"
"11.20000","0.93350","8329.43066"
"11.30000","0.94174","8397.71582"
"11.40000","0.95011","8465.82422"
"11.50000","0.95850","8532.55859"
"11.60000","0.96679","8599.51953"
"11.70000","0.97518","8668.12793"
"11.80000","0.98344","8735.20996"
"11.90000","0.99181","8803.05957"
"12.00000","1.00015","8868.33691"
"12.10000","1.00847","8936.23633"
"12.20000","1.01686","9004.25391"
"12.30000","1.02512","9071.26660"
"12.40000","1.03351","9138.58594"
"12.50000","1.04183","9204.80859"
"12.60000","1.05014","9273.15039"
"12.70000","1.05848","9339.66895"
"12.80000","1.06675","9407.44824"
"12.90000","1.07517","9478.28320"
"13.00000","1.08348","9542.40625"
"13.10000","1.09185","9610.61621"
"13.20000","1.10019","9675.03027"
"13.30000","1.10843","9741.39453"
"13.40000","1.11682","9809.17188"
"13.50000","1.12511","9875.49023"
"13.60000","1.13353","9942.86328"
"13.70000","1.14184","10007.22461"
"13.80000","1.15013","10072.81543"
"13.90000","1.15852","10138.66797"
"14.00000","1.16676","10204.12695"
"14.10000","1.17515","10269.56641"
"14.20000","1.18347","10333.60449"
"14.30000","1.19181","10399.66504"
"14.40000","1.20018","10465.42676"
"14.50000","1.20841","10531.13086"
"14.60000","1.21683","10596.99414"
"14.70000","1.22512","10661.78320"
"14.80000","1.23346","10727.61133"
"14.90000","1.24183","10794.02539"
"15.00000","1.25012","10859.68652"
"15.10000","1.25853","10925.78125"
"15.20000","1.26677","10987.80371"
"15.30000","1.27517","11054.32715"
"15.40000","1.28346","11119.49414"
"15.50000","1.29175","11185.21289"
"15.60000","1.30016","11250.58203"
"15.70000","1.30845","11313.99902"
"15.80000","1.31687","11380.89844"
"15.90000","1.32513","11444.38281"
"16.00000","1.33342","11511.99121"
"16.10000","1.34182","11577.75781"
"16.20000","1.35016","11643.20703"
"16.30000","1.35855","11710.07129"
"16.40000","1.36684","11773.46680"
"16.50000","1.37520","11840.75586"
"16.60000","1.38349","11904.65430"
"16.70000","1.39176","11970.11133"
"16.80000","1.40015","12035.44336"
"16.90000","1.40841","12099.55273"
"17.00000","1.41683","12167.69043"
"17.10000","1.42515","12232.12891"
"17.20000","1.43346","12297.16602"
"17.30000","1.44185","12361.70801"
"17.40000","1.45012","12425.39258"
"17.50000","1.45851","12492.13867"
"17.60000","1.46680","12556.69043"
"17.70000","1.47514","12622.98340"
"17.80000","1.48351","12686.21387"
"17.90000","1.49177","12750.76855"
"18.00000","1.50016","12817.04883"
