General : Start date,"11/19/2025 10:04 AM"
General : End date,"11/19/2025 10:04 AM"
Specimen notes : Specimen note 1,"B33"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","4.78062"
"0.10000","0.00396","7.16202"
"0.20000","0.01328","10.38006"
"0.30000","0.02268","79.87323"
"0.40000","0.03200","205.00668"
"0.50000","0.04092","321.95563"
"0.60000","0.04967","433.21033"
"0.70000","0.05818","532.72412"
"0.80000","0.06662","622.29944"
"0.90000","0.07504","712.20300"
"1.00000","0.08338","802.68542"
"1.10000","0.09185","897.37213"
"1.20000","0.10016","989.34845"
"1.30000","0.10850","1082.15356"
"1.40000","0.11690","1174.56543"
"1.50000","0.12511","1265.19824"
"1.60000","0.13353","1358.22815"
"1.70000","0.14182","1446.18188"
"1.80000","0.15021","1532.76245"
"1.90000","0.15855","1614.47839"
"2.00000","0.16684","1693.97253"
"2.10000","0.17520","1772.43298"
"2.20000","0.18344","1848.11536"
"2.30000","0.19181","1923.92957"
"2.40000","0.20015","1996.94397"
"2.50000","0.20852","2069.81885"
"2.60000","0.21688","2141.59546"
"2.70000","0.22512","2210.07251"
"2.80000","0.23349","2279.43945"
"2.90000","0.24180","2344.43555"
"3.00000","0.25017","2410.05591"
"3.10000","0.25854","2472.77051"
"3.20000","0.26680","2536.59790"
"3.30000","0.27522","2598.69458"
"3.40000","0.28351","2660.39941"
"3.50000","0.29185","2720.05615"
"3.60000","0.30019","2781.10010"
"3.70000","0.30848","2842.28784"
"3.80000","0.31692","2902.32837"
"3.90000","0.32519","2961.13257"
"4.00000","0.33360","3021.46216"
"4.10000","0.34187","3079.07959"
"4.20000","0.35016","3138.70166"
"4.30000","0.35852","3199.11426"
"4.40000","0.36681","3258.08374"
"4.50000","0.37523","3318.50024"
"4.60000","0.38357","3376.06104"
"4.70000","0.39186","3435.20801"
"4.80000","0.40020","3494.16553"
"4.90000","0.40847","3550.89380"
"5.00000","0.41688","3609.24927"
"5.10000","0.42520","3664.95142"
"5.20000","0.43354","3723.51074"
"5.30000","0.44185","3780.55151"
"5.40000","0.45012","3838.75806"
"5.50000","0.45851","3897.81567"
"5.60000","0.46678","3954.78564"
"5.70000","0.47517","4013.68408"
"5.80000","0.48348","4073.44556"
"5.90000","0.49180","4135.28516"
"6.00000","0.50019","4196.86230"
"6.10000","0.50848","4255.58887"
"6.20000","0.51687","4318.12109"
"6.30000","0.52513","4379.89795"
"6.40000","0.53345","4443.38135"
"6.50000","0.54184","4506.27490"
"6.60000","0.55016","4568.31055"
"6.70000","0.55857","4632.59326"
"6.80000","0.56684","4693.85352"
"6.90000","0.57518","4759.33203"
"7.00000","0.58352","4823.96387"
"7.10000","0.59184","4888.33105"
"7.20000","0.60025","4952.99512"
"7.30000","0.60852","5014.89844"
"7.40000","0.61688","5082.77783"
"7.50000","0.62515","5146.50537"
"7.60000","0.63344","5211.18066"
"7.70000","0.64185","5276.05859"
"7.80000","0.65012","5339.61670"
"7.90000","0.65854","5406.02832"
"8.00000","0.66683","5470.98438"
"8.10000","0.67517","5534.92969"
"8.20000","0.68353","5597.30078"
"8.30000","0.69182","5660.84033"
"8.40000","0.70024","5726.92139"
"8.50000","0.70850","5790.21973"
"8.60000","0.71687","5855.85254"
"8.70000","0.72521","5919.82324"
"8.80000","0.73350","5984.30127"
"8.90000","0.74187","6047.99414"
"9.00000","0.75011","6113.26709"
"9.10000","0.75847","6180.36133"
"9.20000","0.76684","6243.63477"
"9.30000","0.77518","6309.00098"
"9.40000","0.78354","6372.32715"
"9.50000","0.79178","6436.39502"
"9.60000","0.80018","6503.16846"
"9.70000","0.80844","6566.11475"
"9.80000","0.81681","6630.79639"
"9.90000","0.82517","6693.84229"
"10.00000","0.83346","6758.03857"
"10.10000","0.84185","6825.66406"
"10.20000","0.85014","6889.54541"
"10.30000","0.85853","6955.91113"
"10.40000","0.86685","7019.37305"
"10.50000","0.87514","7084.26904"
"10.60000","0.88356","7152.12695"
"10.70000","0.89185","7217.13281"
"10.80000","0.90021","7283.99219"
"10.90000","0.90850","7347.63525"
"11.00000","0.91682","7414.31494"
"11.10000","0.92518","7482.08154"
"11.20000","0.93348","7548.73535"
"11.30000","0.94192","7616.79346"
"11.40000","0.95023","7679.90869"
"11.50000","0.95852","7745.81445"
"11.60000","0.96686","7812.56104"
"11.70000","0.97508","7880.18799"
"11.80000","0.98352","7947.87646"
"11.90000","0.99181","8010.98877"
"12.00000","1.00020","8078.31934"
"12.10000","1.00852","8142.92822"
"12.20000","1.01683","8212.28516"
"12.30000","1.02517","8277.18359"
"12.40000","1.03344","8342.58789"
"12.50000","1.04183","8408.67578"
"12.60000","1.05017","8474.39746"
"12.70000","1.05846","8541.26172"
"12.80000","1.06685","8608.82520"
"12.90000","1.07514","8674.25879"
"13.00000","1.08353","8740.81152"
"13.10000","1.09182","8805.39160"
"13.20000","1.10016","8875.59082"
"13.30000","1.10853","8941.26074"
"13.40000","1.11684","9008.02051"
"13.50000","1.12526","9074.02539"
"13.60000","1.13353","9138.93164"
"13.70000","1.14187","9206.81543"
"13.80000","1.15016","9273.40332"
"13.90000","1.15847","9338.66699"
"14.00000","1.16691","9405.77637"
"14.10000","1.17518","9470.56738"
"14.20000","1.18354","9538.16992"
"14.30000","1.19186","9603.84277"
"14.40000","1.20018","9672.10938"
"14.50000","1.20857","9736.48535"
"14.60000","1.21683","9801.84473"
"14.70000","1.22522","9869.59375"
"14.80000","1.23349","9935.19434"
"14.90000","1.24183","10003.99414"
"15.00000","1.25017","10069.17090"
"15.10000","1.25848","10134.58789"
"15.20000","1.26688","10199.85059"
"15.30000","1.27512","10264.76172"
"15.40000","1.28351","10331.84277"
"15.50000","1.29185","10396.77441"
"15.60000","1.30016","10460.86230"
"15.70000","1.30853","10524.10938"
"15.80000","1.31677","10587.92285"
"15.90000","1.32513","10656.62695"
"16.00000","1.33347","10720.92773"
"16.10000","1.34184","10787.48438"
"16.20000","1.35023","10851.18555"
"16.30000","1.35847","10916.54590"
"16.40000","1.36684","10982.53027"
"16.50000","1.37515","11047.49219"
"16.60000","1.38352","11115.69141"
"16.70000","1.39188","11179.39844"
"16.80000","1.40017","11243.54590"
"16.90000","1.40857","11309.96484"
"17.00000","1.41683","11372.91699"
"17.10000","1.42517","11439.39746"
"17.20000","1.43346","11501.92285"
"17.30000","1.44178","11567.23730"
"17.40000","1.45019","11633.28223"
"17.50000","1.45848","11698.40723"
"17.60000","1.46690","11765.14648"
"17.70000","1.47519","11826.91797"
"17.80000","1.48351","11890.83105"
"17.90000","1.49187","11955.87402"
"18.00000","1.50014","12021.64355"
