General : Start date,"11/19/2025 10:06 AM"
General : End date,"11/19/2025 10:07 AM"
Specimen notes : Specimen note 1,"B34"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","3.47343"
"0.10000","0.00456","4.32416"
"0.20000","0.01381","10.19229"
"0.30000","0.02301","57.88463"
"0.40000","0.03223","138.46074"
"0.50000","0.04107","251.35503"
"0.60000","0.04972","360.83231"
"0.70000","0.05823","466.42334"
"0.80000","0.06662","565.37390"
"0.90000","0.07514","665.16809"
"1.00000","0.08346","763.03058"
"1.10000","0.09177","858.66589"
"1.20000","0.10011","955.06116"
"1.30000","0.10840","1056.04602"
"1.40000","0.11679","1158.29065"
"1.50000","0.12516","1260.63464"
"1.60000","0.13350","1364.05029"
"1.70000","0.14187","1468.03479"
"1.80000","0.15013","1572.68103"
"1.90000","0.15855","1677.55908"
"2.00000","0.16679","1779.50916"
"2.10000","0.17515","1881.91833"
"2.20000","0.18355","1983.21960"
"2.30000","0.19186","2085.58716"
"2.40000","0.20023","2182.48779"
"2.50000","0.20849","2277.13989"
"2.60000","0.21686","2369.51416"
"2.70000","0.22517","2458.94849"
"2.80000","0.23349","2548.74219"
"2.90000","0.24188","2638.45239"
"3.00000","0.25017","2725.31348"
"3.10000","0.25856","2812.90137"
"3.20000","0.26683","2895.16016"
"3.30000","0.27514","2980.80469"
"3.40000","0.28348","3063.36108"
"3.50000","0.29177","3144.69312"
"3.60000","0.30021","3224.79053"
"3.70000","0.30850","3301.04224"
"3.80000","0.31687","3380.38232"
"3.90000","0.32516","3457.71094"
"4.00000","0.33345","3533.25146"
"4.10000","0.34184","3607.09473"
"4.20000","0.35016","3679.43115"
"4.30000","0.35852","3752.90479"
"4.40000","0.36684","3826.15039"
"4.50000","0.37515","3899.24268"
"4.60000","0.38354","3969.11206"
"4.70000","0.39181","4038.29102"
"4.80000","0.40020","4111.33936"
"4.90000","0.40849","4180.89648"
"5.00000","0.41686","4253.11816"
"5.10000","0.42525","4322.78613"
"5.20000","0.43351","4391.36426"
"5.30000","0.44190","4460.68408"
"5.40000","0.45017","4530.96387"
"5.50000","0.45854","4602.10986"
"5.60000","0.46688","4671.29297"
"5.70000","0.47522","4740.99121"
"5.80000","0.48361","4809.32129"
"5.90000","0.49185","4878.64990"
"6.00000","0.50021","4947.99902"
"6.10000","0.50845","5013.50879"
"6.20000","0.51679","5081.61230"
"6.30000","0.52519","5147.93115"
"6.40000","0.53348","5214.35303"
"6.50000","0.54184","5284.57471"
"6.60000","0.55013","5352.76758"
"6.70000","0.55850","5422.06152"
"6.80000","0.56684","5491.55469"
"6.90000","0.57510","5560.64551"
"7.00000","0.58354","5631.82129"
"7.10000","0.59181","5702.88135"
"7.20000","0.60020","5774.45312"
"7.30000","0.60852","5842.93896"
"7.40000","0.61678","5912.41064"
"7.50000","0.62515","5984.62061"
"7.60000","0.63341","6055.39990"
"7.70000","0.64185","6128.56055"
"7.80000","0.65019","6198.39209"
"7.90000","0.65854","6271.20801"
"8.00000","0.66688","6344.46729"
"8.10000","0.67514","6414.94336"
"8.20000","0.68353","6487.22803"
"8.30000","0.69185","6557.54199"
"8.40000","0.70021","6629.48242"
"8.50000","0.70855","6700.00391"
"8.60000","0.71682","6771.93799"
"8.70000","0.72521","6844.10693"
"8.80000","0.73345","6913.63574"
"8.90000","0.74182","6986.64355"
"9.00000","0.75016","7055.25000"
"9.10000","0.75850","7128.88379"
"9.20000","0.76689","7200.70801"
"9.30000","0.77515","7270.87207"
"9.40000","0.78354","7342.31934"
"9.50000","0.79183","7411.50000"
"9.60000","0.80018","7483.85107"
"9.70000","0.80857","7554.81445"
"9.80000","0.81683","7624.74219"
"9.90000","0.82522","7694.88428"
"10.00000","0.83349","7763.36279"
"10.10000","0.84180","7835.53271"
"10.20000","0.85014","7906.67334"
"10.30000","0.85846","7978.08398"
"10.40000","0.86690","8049.67529"
"10.50000","0.87519","8118.49756"
"10.60000","0.88353","8190.20117"
"10.70000","0.89180","8258.98145"
"10.80000","0.90009","8330.80566"
"10.90000","0.90850","8402.01855"
"11.00000","0.91677","8469.54492"
"11.10000","0.92521","8538.40625"
"11.20000","0.93350","8608.60156"
"11.30000","0.94182","8678.60840"
"11.40000","0.95021","8748.06543"
"11.50000","0.95847","8815.33789"
"11.60000","0.96686","8884.94434"
"11.70000","0.97515","8954.73730"
"11.80000","0.98352","9026.67773"
"11.90000","0.99188","9093.73438"
"12.00000","1.00015","9161.65918"
"12.10000","1.00854","9231.75293"
"12.20000","1.01681","9300.16211"
"12.30000","1.02517","9370.45996"
"12.40000","1.03351","9439.46777"
"12.50000","1.04185","9508.61230"
"12.60000","1.05024","9575.78125"
"12.70000","1.05848","9642.69141"
"12.80000","1.06683","9712.58496"
"12.90000","1.07512","9778.65723"
"13.00000","1.08348","9847.43359"
"13.10000","1.09187","9912.79590"
"13.20000","1.10016","9978.37305"
"13.30000","1.10855","10047.89453"
"13.40000","1.11682","10113.79102"
"13.50000","1.12513","10182.11426"
"13.60000","1.13350","10248.51855"
"13.70000","1.14179","10318.06250"
"13.80000","1.15021","10387.76758"
"13.90000","1.15847","10454.50684"
"14.00000","1.16686","10523.81250"
"14.10000","1.17518","10588.07715"
"14.20000","1.18349","10653.89551"
"14.30000","1.19186","10720.05762"
"14.40000","1.20012","10786.44727"
"14.50000","1.20857","10854.14941"
"14.60000","1.21688","10919.21191"
"14.70000","1.22522","10983.83594"
"14.80000","1.23356","11048.79688"
"14.90000","1.24183","11114.50781"
"15.00000","1.25022","11181.40625"
"15.10000","1.25848","11245.23145"
"15.20000","1.26688","11312.65332"
"15.30000","1.27522","11375.72559"
"15.40000","1.28348","11442.99023"
"15.50000","1.29190","11509.58496"
"15.60000","1.30016","11573.26953"
"15.70000","1.30855","11640.04004"
"15.80000","1.31687","11704.91699"
"15.90000","1.32516","11770.62891"
"16.00000","1.33350","11834.89746"
"16.10000","1.34176","11899.22949"
"16.20000","1.35021","11966.20020"
"16.30000","1.35847","12029.69727"
"16.40000","1.36679","12095.63281"
"16.50000","1.37518","12161.10742"
"16.60000","1.38347","12225.45215"
"16.70000","1.39188","12290.28223"
"16.80000","1.40015","12351.90137"
"16.90000","1.40849","12416.78613"
"17.00000","1.41681","12482.46875"
"17.10000","1.42510","12548.74316"
"17.20000","1.43354","12614.13672"
"17.30000","1.44185","12676.35254"
"17.40000","1.45022","12742.34668"
"17.50000","1.45851","12806.94141"
"17.60000","1.46680","12873.43848"
"17.70000","1.47519","12939.61816"
"17.80000","1.48351","13003.90820"
"17.90000","1.49195","13069.48926"
"18.00000","1.50019","13132.92871"
