General : Start date,"11/19/2025 9:58 AM"
General : End date,"11/19/2025 9:59 AM"
Specimen notes : Specimen note 1,"B31"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"17.20000","1.43354","10468.27246"
"17.30000","1.44183","10528.54785"
"17.40000","1.45019","10590.36523"
"17.50000","1.45843","10650.47266"
"17.60000","1.46677","10715.05078"
"17.70000","1.47514","10774.95312"
"17.80000","1.48343","10835.78418"
"17.90000","1.49185","10898.68359"
"18.00000","1.50011","10960.51270"
"18.10000","1.50848","11024.51758"
"18.20000","1.51679","11086.78613"
"18.30000","1.52513","11149.69141"
"18.40000","1.53352","11212.21680"
"18.50000","1.54179","11275.22070"
"18.60000","1.55018","11338.87207"
"18.70000","1.55852","11398.52734"
"18.80000","1.56684","11460.37012"
"18.90000","1.57520","11520.99512"
"19.00000","1.58344","11581.65527"
"19.10000","1.59183","11646.05664"
"19.20000","1.60015","11707.71387"
"19.30000","1.60852","11771.49121"
"19.40000","1.61688","11830.48438"
"19.50000","1.62515","11891.24023"
"19.60000","1.63351","11953.98242"
"19.70000","1.64175","12014.59961"
"19.80000","1.65012","12077.64551"
"19.90000","1.65848","12138.95605"
"20.00000","1.66680","12201.61133"
"20.10000","1.67519","12263.76562"
"20.20000","1.68343","12324.94727"
"20.30000","1.69182","12386.14062"
"20.40000","1.70011","12446.29297"
"20.50000","1.70845","12510.15527"
"20.60000","1.71682","12572.98242"
"20.70000","1.72511","12633.84180"
"20.80000","1.73352","12697.91602"
"20.90000","1.74181","12757.52148"
"21.00000","1.75016","12818.99805"
"21.10000","1.75847","12879.37012"
"21.20000","1.76676","12941.32324"
"21.30000","1.77520","13003.18555"
"21.40000","1.78349","13062.04785"
"21.50000","1.79191","13124.16895"
"21.60000","1.80020","13182.95312"
"21.70000","1.80846","13245.15234"
"21.80000","1.81683","13308.12109"
"21.90000","1.82510","13368.56445"
"22.00000","1.83354","13430.77441"
"22.10000","1.84183","13488.90820"
"22.20000","1.85014","13552.25586"
"22.30000","1.85851","13612.29688"
"22.40000","1.86677","13673.28613"
"22.50000","1.87516","13735.41699"
"22.60000","1.88348","13794.42383"
"22.70000","1.89182","13857.16797"
"22.80000","1.90016","13918.27637"
"22.90000","1.90843","13980.72949"
"23.00000","1.91682","14041.49805"
"23.10000","1.92508","14100.34180"
"23.20000","1.93347","14162.15918"
"23.30000","1.94181","14222.71582"
"23.40000","1.95016","14284.21484"
"23.50000","1.95857","14344.70996"
"23.60000","1.96681","14404.77539"
"23.70000","1.97518","14467.15625"
"23.80000","1.98344","14527.44336"
"23.90000","1.99176","14592.19629"
"24.00000","2.00017","14653.01953"
"24.10000","2.00846","14713.80762"
"24.20000","2.01688","14775.11328"
"24.30000","2.02512","14833.83887"
"24.40000","2.03346","14895.24805"
"24.50000","2.04180","14956.47168"
"24.60000","2.05012","15019.18750"
"24.70000","2.05856","15080.71973"
"24.80000","2.06685","15141.08301"
"24.90000","2.07521","15203.98145"
"25.00000","2.08351","15263.00000"
"25.10000","2.09177","15322.71777"
"25.20000","2.10014","15384.30859"
"25.30000","2.10843","15444.01172"
