General : Start date,"11/19/2025 10:51 AM"
General : End date,"11/19/2025 10:52 AM"
Specimen notes : Specimen note 1,"G8-3"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","8.55482"
"0.10000","0.00413","8.86346"
"0.20000","0.01351","17.58927"
"0.30000","0.02283","97.33972"
"0.40000","0.03215","163.85771"
"0.50000","0.04110","207.86670"
"0.60000","0.04967","267.68073"
"0.70000","0.05823","343.81363"
"0.80000","0.06662","421.05188"
"0.90000","0.07509","500.07062"
"1.00000","0.08346","576.89526"
"1.10000","0.09177","651.74817"
"1.20000","0.10016","725.19653"
"1.30000","0.10845","799.42896"
"1.40000","0.11679","872.54523"
"1.50000","0.12514","950.88165"
"1.60000","0.13350","1032.98145"
"1.70000","0.14189","1116.14185"
"1.80000","0.15016","1198.43506"
"1.90000","0.15857","1280.36084"
"2.00000","0.16684","1362.52014"
"2.10000","0.17513","1445.03271"
"2.20000","0.18344","1526.68286"
"2.30000","0.19171","1608.58813"
"2.40000","0.20015","1689.21838"
"2.50000","0.20847","1767.13354"
"2.60000","0.21686","1847.54749"
"2.70000","0.22515","1923.84717"
"2.80000","0.23344","2001.06738"
"2.90000","0.24185","2076.25879"
"3.00000","0.25019","2149.90283"
"3.10000","0.25859","2225.61035"
"3.20000","0.26685","2296.56519"
"3.30000","0.27512","2366.54590"
"3.40000","0.28346","2435.59863"
"3.50000","0.29170","2501.73999"
"3.60000","0.30014","2570.87280"
"3.70000","0.30845","2636.65991"
"3.80000","0.31684","2702.77588"
"3.90000","0.32521","2764.34399"
"4.00000","0.33353","2825.84839"
"4.10000","0.34192","2888.62036"
"4.20000","0.35016","2948.16504"
"4.30000","0.35852","3010.97437"
"4.40000","0.36684","3069.09961"
"4.50000","0.37515","3127.83496"
"4.60000","0.38357","3186.44092"
"4.70000","0.39181","3244.56421"
"4.80000","0.40018","3302.66992"
"4.90000","0.40849","3357.22168"
"5.00000","0.41678","3414.36816"
"5.10000","0.42517","3470.79419"
"5.20000","0.43346","3527.02026"
"5.30000","0.44183","3583.70581"
"5.40000","0.45004","3636.32300"
"5.50000","0.45841","3691.33081"
"5.60000","0.46678","3744.43237"
"5.70000","0.47512","3798.28223"
"5.80000","0.48356","3853.35693"
"5.90000","0.49180","3903.47046"
"6.00000","0.50016","3955.69849"
"6.10000","0.50848","4005.29346"
"6.20000","0.51677","4057.57544"
"6.30000","0.52516","4110.19385"
"6.40000","0.53345","4159.74951"
"6.50000","0.54189","4210.65381"
"6.60000","0.55018","4259.59082"
"6.70000","0.55852","4309.07861"
"6.80000","0.56689","4360.59229"
"6.90000","0.57513","4408.98291"
"7.00000","0.58352","4459.57910"
"7.10000","0.59181","4508.58887"
"7.20000","0.60020","4559.82959"
"7.30000","0.60854","4609.81152"
"7.40000","0.61681","4659.99512"
"7.50000","0.62520","4710.43457"
"7.60000","0.63344","4759.32666"
"7.70000","0.64183","4810.79346"
"7.80000","0.65022","4860.77051"
"7.90000","0.65854","4912.22607"
"8.00000","0.66690","4962.30371"
"8.10000","0.67517","5009.94727"
"8.20000","0.68351","5059.62500"
"8.30000","0.69177","5109.79541"
"8.40000","0.70006","5160.77930"
"8.50000","0.70845","5211.82324"
"8.60000","0.71674","5260.56689"
"8.70000","0.72516","5312.28271"
"8.80000","0.73345","5362.71387"
"8.90000","0.74192","5415.98340"
"9.00000","0.75018","5464.14404"
"9.10000","0.75845","5515.43994"
"9.20000","0.76686","5565.97900"
"9.30000","0.77515","5615.89014"
"9.40000","0.78354","5669.42432"
"9.50000","0.79186","5720.68896"
"9.60000","0.80013","5770.95996"
"9.70000","0.80854","5820.88477"
"9.80000","0.81686","5871.64209"
"9.90000","0.82527","5924.11133"
"10.00000","0.83356","5975.52295"
"10.10000","0.84185","6027.60986"
"10.20000","0.85022","6077.44873"
"10.30000","0.85846","6128.84473"
"10.40000","0.86685","6181.81689"
"10.50000","0.87514","6233.61084"
"10.60000","0.88351","6287.62939"
"10.70000","0.89182","6339.70361"
"10.80000","0.90009","6390.90088"
"10.90000","0.90850","6442.96924"
"11.00000","0.91679","6495.85205"
"11.10000","0.92516","6551.43408"
"11.20000","0.93353","6602.34912"
"11.30000","0.94187","6655.60791"
"11.40000","0.95023","6708.71973"
"11.50000","0.95847","6760.81494"
"11.60000","0.96684","6814.55566"
"11.70000","0.97508","6865.02441"
"11.80000","0.98342","6918.04346"
"11.90000","0.99181","6971.16943"
"12.00000","1.00012","7024.82471"
"12.10000","1.00852","7080.20312"
"12.20000","1.01678","7131.71191"
"12.30000","1.02515","7186.07764"
"12.40000","1.03351","7236.97705"
"12.50000","1.04183","7290.39990"
"12.60000","1.05024","7345.39941"
"12.70000","1.05851","7398.31250"
"12.80000","1.06685","7450.60010"
"12.90000","1.07512","7501.66553"
"13.00000","1.08341","7556.24756"
"13.10000","1.09180","7610.59619"
"13.20000","1.10009","7663.55078"
"13.30000","1.10853","7717.47852"
"13.40000","1.11682","7768.84326"
"13.50000","1.12518","7822.56104"
"13.60000","1.13355","7876.42432"
"13.70000","1.14179","7930.11133"
"13.80000","1.15021","7984.06006"
"13.90000","1.15850","8036.45410"
"14.00000","1.16689","8090.63232"
"14.10000","1.17520","8142.54492"
"14.20000","1.18347","8197.71875"
"14.30000","1.19186","8250.44336"
"14.40000","1.20012","8301.54297"
"14.50000","1.20849","8355.28320"
"14.60000","1.21683","8408.58105"
"14.70000","1.22517","8463.31152"
"14.80000","1.23351","8515.53906"
"14.90000","1.24173","8566.37598"
"15.00000","1.25012","8620.41016"
"15.10000","1.25843","8672.19238"
"15.20000","1.26680","8726.91992"
"15.30000","1.27517","8779.30566"
"15.40000","1.28346","8832.14551"
"15.50000","1.29185","8883.85352"
"15.60000","1.30011","8933.58887"
"15.70000","1.30845","8988.68262"
"15.80000","1.31677","9042.40039"
"15.90000","1.32508","9095.40918"
"16.00000","1.33355","9147.49609"
"16.10000","1.34182","9199.71875"
"16.20000","1.35021","9252.60938"
"16.30000","1.35852","9303.99316"
"16.40000","1.36681","9356.26367"
"16.50000","1.37520","9407.72266"
"16.60000","1.38347","9458.71973"
"16.70000","1.39188","9511.24414"
"16.80000","1.40017","9561.70020"
"16.90000","1.40852","9614.15234"
"17.00000","1.41686","9664.81348"
"17.10000","1.42512","9715.44141"
"17.20000","1.43354","9766.56641"
"17.30000","1.44183","9818.39551"
"17.40000","1.45019","9873.46289"
"17.50000","1.45853","9923.58301"
"17.60000","1.46685","9974.89062"
"17.70000","1.47524","10027.21191"
"17.80000","1.48346","10077.02734"
"17.90000","1.49180","10128.70996"
"18.00000","1.50011","10178.99316"
