General : Start date,"11/19/2025 10:49 AM"
General : End date,"11/19/2025 10:49 AM"
Specimen notes : Specimen note 1,"G8-2"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"17.20000","1.43346","9464.92676"
"17.30000","1.44178","9516.45410"
"17.40000","1.45007","9567.69629"
"17.50000","1.45848","9619.82422"
"17.60000","1.46680","9668.89648"
"17.70000","1.47522","9720.15625"
"17.80000","1.48353","9770.52148"
"17.90000","1.49185","9820.99219"
"18.00000","1.50016","9870.81055"
"18.10000","1.50843","9920.19336"
"18.20000","1.51687","9971.47070"
"18.30000","1.52518","10021.87305"
"18.40000","1.53350","10074.07715"
"18.50000","1.54187","10123.33789"
"18.60000","1.55016","10174.15234"
"18.70000","1.55857","10224.84375"
"18.80000","1.56691","10275.28125"
"18.90000","1.57525","10327.66699"
"19.00000","1.58359","10376.80859"
"19.10000","1.59183","10426.26172"
"19.20000","1.60022","10476.48633"
"19.30000","1.60849","10524.79883"
"19.40000","1.61686","10576.87598"
"19.50000","1.62517","10627.15234"
"19.60000","1.63349","10677.48926"
"19.70000","1.64185","10727.80566"
"19.80000","1.65012","10775.51562"
"19.90000","1.65851","10826.84668"
"20.00000","1.66682","10876.54199"
"20.10000","1.67514","10927.44922"
"20.20000","1.68356","10976.41797"
"20.30000","1.69185","11026.19434"
"20.40000","1.70026","11077.97266"
"20.50000","1.70848","11125.73047"
"20.60000","1.71679","11176.29590"
"20.70000","1.72511","11225.90723"
"20.80000","1.73340","11276.76172"
"20.90000","1.74187","11327.18652"
"21.00000","1.75013","11375.92383"
"21.10000","1.75852","11428.37305"
"21.20000","1.76681","11476.25391"
"21.30000","1.77515","11525.37500"
"21.40000","1.78354","11575.84961"
"21.50000","1.79186","11626.25098"
"21.60000","1.80028","11678.68945"
"21.70000","1.80854","11725.54297"
"21.80000","1.81686","11775.86523"
"21.90000","1.82517","11823.06934"
"22.00000","1.83339","11872.01855"
"22.10000","1.84180","11923.22754"
"22.20000","1.85012","11972.35352"
"22.30000","1.85853","12024.24609"
"22.40000","1.86690","12073.00391"
"22.50000","1.87519","12122.53906"
"22.60000","1.88356","12172.61816"
