General : Start date,"11/24/2025 10:30 AM"
General : End date,"11/24/2025 10:30 AM"
Specimen notes : Specimen note 1,"G4-2"
Test : Rate 1,"10.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"17.20000","2.80902","13510.48633"
"17.30000","2.82570","13546.35254"
"17.40000","2.84238","13581.92969"
"17.50000","2.85904","13614.94043"
"17.60000","2.87569","13648.94922"
"17.70000","2.89232","13681.35352"
"17.80000","2.90890","13712.05273"
"17.90000","2.92554","13743.51367"
"18.00000","2.94229","13771.78906"
"18.10000","2.95905","13798.50684"
"18.20000","2.97571","13826.34766"
"18.30000","2.99236","13852.08789"
"18.40000","3.00904","13877.37793"
"18.50000","3.02572","13901.44336"
"18.60000","3.04233","13924.51855"
"18.70000","3.05899","13949.72949"
"18.80000","3.07567","13969.54102"
"18.90000","3.09232","13990.00098"
"19.00000","3.10903","14008.96289"
"19.10000","3.12574","14025.04785"
"19.20000","3.14234","14041.82422"
"19.30000","3.15895","14052.83789"
"19.40000","3.17560","14066.12402"
"19.50000","3.19229","14078.96875"
"19.60000","3.20897","14088.81543"
"19.70000","3.22565","14095.23047"
"19.80000","3.24230","14093.13379"
"19.89200","3.25765","13657.70996"
"19.89400","3.25798","13208.14453"
"19.89600","3.25833","12631.48828"
"19.89800","3.25868","11970.81055"
"19.90000","3.25906","11246.40625"
"19.90200","3.25941","10473.79297"
"19.90400","3.25979","9673.19434"
"19.90600","3.26017","8864.72461"
"19.90800","3.26055","8062.88477"
