General : Start date,"11/19/2025 10:14 AM"
General : End date,"11/19/2025 10:14 AM"
Specimen notes : Specimen note 1,"T8-2"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00008","0.55502"
"0.10000","0.00680","1.78411"
"0.20000","0.01598","23.77530"
"0.30000","0.02517","84.11964"
"0.40000","0.03419","140.26990"
"0.50000","0.04301","232.29085"
"0.60000","0.05168","315.82101"
"0.70000","0.06010","401.87277"
"0.80000","0.06859","487.02997"
"0.90000","0.07698","569.93030"
"1.00000","0.08517","651.72296"
"1.10000","0.09354","735.91034"
"1.20000","0.10190","818.20514"
"1.30000","0.11032","903.66315"
"1.40000","0.11866","991.90912"
"1.50000","0.12697","1081.64575"
"1.60000","0.13539","1168.84509"
"1.70000","0.14363","1256.09631"
"1.80000","0.15202","1345.81494"
"1.90000","0.16036","1434.01782"
"2.00000","0.16868","1522.48938"
"2.10000","0.17699","1612.46729"
"2.20000","0.18526","1698.40625"
"2.30000","0.19367","1789.11035"
"2.40000","0.20197","1875.26477"
"2.50000","0.21031","1965.46838"
"2.60000","0.21870","2053.11035"
"2.70000","0.22699","2137.82104"
"2.80000","0.23538","2221.47656"
"2.90000","0.24362","2303.50562"
"3.00000","0.25196","2387.35864"
"3.10000","0.26027","2467.44995"
"3.20000","0.26859","2547.20435"
"3.30000","0.27701","2627.67065"
"3.40000","0.28527","2705.06250"
"3.50000","0.29366","2783.67407"
"3.60000","0.30198","2860.19922"
"3.70000","0.31029","2935.65625"
"3.80000","0.31868","3010.10718"
"3.90000","0.32695","3081.58936"
"4.00000","0.33539","3155.53809"
"4.10000","0.34371","3224.61914"
"4.20000","0.35202","3295.01807"
"4.30000","0.36036","3361.87524"
"4.40000","0.36863","3428.50903"
"4.50000","0.37704","3496.86548"
"4.60000","0.38531","3562.47803"
"4.70000","0.39370","3629.07129"
"4.80000","0.40202","3692.89136"
"4.90000","0.41033","3756.02124"
"5.00000","0.41865","3820.09521"
"5.10000","0.42691","3883.55518"
"5.20000","0.43530","3947.16260"
"5.30000","0.44364","4007.34814"
"5.40000","0.45198","4069.31714"
"5.50000","0.46037","4130.64990"
"5.60000","0.46861","4191.11865"
"5.70000","0.47701","4252.58105"
"5.80000","0.48527","4311.71777"
"5.90000","0.49364","4371.54883"
"6.00000","0.50198","4429.85986"
"6.10000","0.51027","4488.60254"
"6.20000","0.51871","4548.58691"
"6.30000","0.52697","4606.21436"
"6.40000","0.53531","4665.24414"
"6.50000","0.54363","4723.46436"
"6.60000","0.55195","4783.63281"
"6.70000","0.56036","4844.57764"
"6.80000","0.56865","4903.00195"
"6.90000","0.57707","4963.22461"
"7.00000","0.58536","5019.44287"
"7.10000","0.59365","5077.66211"
"7.20000","0.60202","5136.49902"
"7.30000","0.61031","5193.11865"
"7.40000","0.61872","5250.84229"
"7.50000","0.62704","5307.00586"
"7.60000","0.63535","5365.25488"
"7.70000","0.64369","5421.34180"
"7.80000","0.65196","5479.76416"
"7.90000","0.66032","5536.77881"
"8.00000","0.66861","5592.78223"
"8.10000","0.67701","5650.84766"
"8.20000","0.68532","5707.58447"
"8.30000","0.69361","5765.27588"
"8.40000","0.70198","5821.76221"
"8.50000","0.71024","5877.88037"
"8.60000","0.71866","5936.57910"
"8.70000","0.72700","5994.19482"
"8.80000","0.73531","6052.51562"
"8.90000","0.74371","6109.20898"
"9.00000","0.75197","6164.52783"
"9.10000","0.76034","6221.57178"
"9.20000","0.76860","6276.43701"
"9.30000","0.77692","6336.28662"
"9.40000","0.78531","6392.68066"
"9.50000","0.79365","6448.80176"
"9.60000","0.80207","6505.76855"
"9.70000","0.81031","6561.12891"
"9.80000","0.81867","6618.75928"
"9.90000","0.82699","6673.89355"
"10.00000","0.83530","6732.10303"
"10.10000","0.84372","6788.26953"
"10.20000","0.85201","6844.03174"
"10.30000","0.86037","6901.30664"
"10.40000","0.86866","6957.38867"
"10.50000","0.87693","7012.60693"
"10.60000","0.88530","7067.16846"
"10.70000","0.89359","7122.08740"
"10.80000","0.90203","7181.17334"
"10.90000","0.91032","7237.54980"
"11.00000","0.91866","7294.45166"
"11.10000","0.92702","7348.62402"
"11.20000","0.93529","7403.88330"
"11.30000","0.94371","7459.52637"
"11.40000","0.95200","7514.75977"
"11.50000","0.96039","7573.27832"
"11.60000","0.96870","7628.32764"
"11.70000","0.97697","7683.64209"
"11.80000","0.98533","7738.68994"
"11.90000","0.99357","7795.72510"
"12.00000","1.00199","7854.41846"
"12.10000","1.01033","7910.76270"
"12.20000","1.01867","7966.54834"
"12.30000","1.02706","8022.83447"
"12.40000","1.03528","8077.63477"
"12.50000","1.04367","8134.22412"
"12.60000","1.05193","8189.27197"
"12.70000","1.06030","8246.60156"
"12.80000","1.06866","8302.14160"
"12.90000","1.07695","8358.56055"
"13.00000","1.08535","8415.46680"
"13.10000","1.09361","8469.45410"
"13.20000","1.10200","8525.26172"
"13.30000","1.11032","8580.19727"
"13.40000","1.11863","8636.90723"
"13.50000","1.12705","8693.69629"
"13.60000","1.13534","8749.51855"
"13.70000","1.14371","8805.29980"
"13.80000","1.15200","8859.48145"
"13.90000","1.16029","8915.16406"
"14.00000","1.16865","8971.09180"
"14.10000","1.17694","9027.83594"
"14.20000","1.18536","9084.42090"
"14.30000","1.19367","9137.58008"
"14.40000","1.20201","9194.74316"
"14.50000","1.21036","9250.80664"
"14.60000","1.21857","9305.62695"
"14.70000","1.22699","9361.45508"
"14.80000","1.23530","9415.74512"
"14.90000","1.24369","9474.87109"
"15.00000","1.25201","9528.59668"
"15.10000","1.26032","9585.01660"
"15.20000","1.26869","9640.70605"
"15.30000","1.27695","9693.91309"
"15.40000","1.28535","9750.56152"
"15.50000","1.29366","9805.73633"
"15.60000","1.30195","9863.87695"
"15.70000","1.31034","9917.70605"
"15.80000","1.31861","9972.78125"
"15.90000","1.32702","10028.32227"
"16.00000","1.33529","10082.75195"
"16.10000","1.34365","10140.92871"
"16.20000","1.35202","10196.29004"
"16.30000","1.36031","10251.53711"
"16.40000","1.36875","10306.20215"
"16.50000","1.37699","10358.50684"
"16.60000","1.38533","10413.88574"
"16.70000","1.39362","10468.03809"
"16.80000","1.40196","10523.66113"
"16.90000","1.41038","10578.28125"
"17.00000","1.41865","10631.64355"
"17.10000","1.42704","10688.14648"
"17.20000","1.43533","10742.35254"
"17.30000","1.44364","10799.53125"
"17.40000","1.45201","10853.99512"
"17.50000","1.46027","10908.54199"
"17.60000","1.46871","10965.00195"
"17.70000","1.47698","11018.97852"
"17.80000","1.48532","11075.73535"
"17.90000","1.49366","11129.29785"
"18.00000","1.50195","11183.62012"
