General : Start date,"11/19/2025 10:25 AM"
General : End date,"11/19/2025 10:26 AM"
Specimen notes : Specimen note 1,"T8-4"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00005","1.11601"
"0.10000","0.00617","3.12532"
"0.20000","0.01565","21.71831"
"0.30000","0.02490","124.59580"
"0.40000","0.03402","252.94966"
"0.50000","0.04296","365.37704"
"0.60000","0.05151","470.24271"
"0.70000","0.06002","567.37115"
"0.80000","0.06849","657.56769"
"0.90000","0.07693","747.11011"
"1.00000","0.08535","830.53290"
"1.10000","0.09361","914.53699"
"1.20000","0.10200","1006.23676"
"1.30000","0.11032","1095.53564"
"1.40000","0.11866","1188.18713"
"1.50000","0.12705","1278.71191"
"1.60000","0.13532","1370.48926"
"1.70000","0.14373","1463.59436"
"1.80000","0.15200","1554.25378"
"1.90000","0.16034","1645.86658"
"2.00000","0.16863","1735.28918"
"2.10000","0.17692","1824.67419"
"2.20000","0.18538","1916.31360"
"2.30000","0.19367","2004.99280"
"2.40000","0.20204","2094.61499"
"2.50000","0.21033","2178.56421"
"2.60000","0.21860","2266.27539"
"2.70000","0.22696","2352.02954"
"2.80000","0.23523","2438.54102"
"2.90000","0.24364","2523.50317"
"3.00000","0.25198","2604.06372"
"3.10000","0.26032","2684.78442"
"3.20000","0.26869","2762.37451"
"3.30000","0.27693","2841.79907"
"3.40000","0.28532","2920.62524"
"3.50000","0.29361","2996.13208"
"3.60000","0.30200","3070.95288"
"3.70000","0.31034","3144.48804"
"3.80000","0.31866","3218.67773"
"3.90000","0.32705","3291.42480"
"4.00000","0.33532","3361.67261"
"4.10000","0.34371","3434.06396"
"4.20000","0.35202","3503.00488"
"4.30000","0.36036","3573.84302"
"4.40000","0.36875","3644.58350"
"4.50000","0.37699","3711.89648"
"4.60000","0.38536","3779.28882"
"4.70000","0.39365","3845.70654"
"4.80000","0.40202","3914.70825"
"4.90000","0.41036","3981.99976"
"5.00000","0.41862","4047.23071"
"5.10000","0.42701","4113.88867"
"5.20000","0.43528","4176.33301"
"5.30000","0.44367","4242.29932"
"5.40000","0.45198","4307.00098"
"5.50000","0.46027","4370.36377"
"5.60000","0.46872","4433.58740"
"5.70000","0.47701","4494.82373"
"5.80000","0.48540","4556.34082"
"5.90000","0.49366","4615.93115"
"6.00000","0.50193","4673.99072"
"6.10000","0.51027","4734.13770"
"6.20000","0.51856","4791.67920"
"6.30000","0.52700","4851.98193"
"6.40000","0.53534","4910.90967"
"6.50000","0.54366","4970.01758"
"6.60000","0.55200","5026.54590"
"6.70000","0.56026","5084.30811"
"6.80000","0.56870","5142.38037"
"6.90000","0.57699","5198.50781"
"7.00000","0.58538","5258.90527"
"7.10000","0.59370","5315.81787"
"7.20000","0.60194","5371.77637"
"7.30000","0.61028","5428.22949"
"7.40000","0.61855","5485.48193"
"7.50000","0.62699","5544.52197"
"7.60000","0.63533","5601.03809"
"7.70000","0.64367","5656.75684"
"7.80000","0.65206","5714.06689"
"7.90000","0.66032","5767.96240"
"8.00000","0.66872","5825.71924"
"8.10000","0.67701","5880.48486"
"8.20000","0.68532","5936.39941"
"8.30000","0.69369","5990.57812"
"8.40000","0.70198","6045.75293"
"8.50000","0.71039","6103.20605"
"8.60000","0.71863","6158.12744"
"8.70000","0.72697","6214.77490"
"8.80000","0.73529","6269.40430"
"8.90000","0.74361","6326.14648"
"9.00000","0.75205","6382.87646"
"9.10000","0.76026","6437.49902"
"9.20000","0.76863","6492.27588"
"9.30000","0.77692","6546.39014"
"9.40000","0.78523","6601.76123"
"9.50000","0.79365","6656.12451"
"9.60000","0.80191","6712.94092"
"9.70000","0.81033","6770.31592"
"9.80000","0.81860","6824.47852"
"9.90000","0.82694","6879.57129"
"10.00000","0.83533","6934.26123"
"10.10000","0.84359","6991.45410"
"10.20000","0.85201","7049.20801"
"10.30000","0.86030","7103.65625"
"10.40000","0.86869","7159.88281"
"10.50000","0.87706","7213.53955"
"10.60000","0.88532","7269.62012"
"10.70000","0.89371","7326.33838"
"10.80000","0.90198","7379.39160"
"10.90000","0.91034","7434.17529"
"11.00000","0.91871","7488.00537"
"11.10000","0.92702","7543.70117"
"11.20000","0.93539","7600.76709"
"11.30000","0.94366","7653.90527"
"11.40000","0.95202","7708.21875"
"11.50000","0.96029","7761.66260"
"11.60000","0.96863","7817.28564"
"11.70000","0.97704","7873.97559"
"11.80000","0.98533","7928.97510"
"11.90000","0.99375","7984.17773"
"12.00000","1.00196","8035.87793"
"12.10000","1.01031","8089.38135"
"12.20000","1.01862","8144.30859"
"12.30000","1.02691","8198.55957"
"12.40000","1.03533","8252.60156"
"12.50000","1.04359","8304.11328"
"12.60000","1.05201","8359.50977"
"12.70000","1.06035","8412.79980"
"12.80000","1.06864","8465.97559"
"12.90000","1.07698","8519.14941"
"13.00000","1.08525","8571.74902"
"13.10000","1.09369","8626.73145"
"13.20000","1.10200","8677.87500"
"13.30000","1.11037","8732.99707"
"13.40000","1.11873","8785.23242"
"13.50000","1.12700","8838.21777"
"13.60000","1.13539","8891.86328"
"13.70000","1.14368","8941.97852"
"13.80000","1.15207","8998.39160"
"13.90000","1.16039","9050.36523"
"14.00000","1.16865","9102.26953"
"14.10000","1.17704","9153.70215"
"14.20000","1.18528","9205.27051"
"14.30000","1.19367","9260.12402"
"14.40000","1.20199","9310.96387"
"14.50000","1.21030","9363.85156"
"14.60000","1.21867","9412.79883"
"14.70000","1.22694","9464.27637"
"14.80000","1.23533","9517.10254"
"14.90000","1.24359","9568.21680"
"15.00000","1.25196","9621.88867"
"15.10000","1.26037","9673.31543"
"15.20000","1.26866","9723.37500"
"15.30000","1.27706","9775.12988"
"15.40000","1.28530","9826.08594"
"15.50000","1.29364","9879.41797"
"15.60000","1.30193","9929.77832"
"15.70000","1.31022","9980.41797"
"15.80000","1.31866","10033.25684"
"15.90000","1.32697","10085.41992"
"16.00000","1.33539","10137.99023"
"16.10000","1.34365","10187.00586"
"16.20000","1.35197","10236.97461"
"16.30000","1.36034","10287.34668"
"16.40000","1.36865","10338.06250"
"16.50000","1.37707","10391.24902"
"16.60000","1.38533","10440.82227"
"16.70000","1.39365","10492.36816"
"16.80000","1.40196","10541.13184"
"16.90000","1.41020","10592.52539"
"17.00000","1.41862","10645.68848"
"17.10000","1.42694","10698.27637"
"17.20000","1.43538","10750.31836"
"17.30000","1.44369","10799.96191"
"17.40000","1.45201","10851.55859"
"17.50000","1.46037","10902.28027"
"17.60000","1.46864","10953.56641"
"17.70000","1.47703","11005.39648"
"17.80000","1.48535","11054.45996"
"17.90000","1.49369","11106.81641"
"18.00000","1.50208","11158.28320"
