General : Start date,"11/19/2025 10:01 AM"
General : End date,"11/19/2025 10:01 AM"
Specimen notes : Specimen note 1,"B32"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00018","-1.08504"
"0.10000","0.00506","0.48011"
"0.20000","0.01429","39.48424"
"0.30000","0.02361","146.28479"
"0.40000","0.03268","264.25366"
"0.50000","0.04140","378.39819"
"0.60000","0.05002","487.61777"
"0.70000","0.05849","583.06354"
"0.80000","0.06685","671.34479"
"0.90000","0.07532","761.86481"
"1.00000","0.08361","853.19403"
"1.10000","0.09202","946.98462"
"1.20000","0.10031","1038.83484"
"1.30000","0.10863","1132.74841"
"1.40000","0.11697","1225.92712"
"1.50000","0.12524","1316.84985"
"1.60000","0.13370","1407.94873"
"1.70000","0.14199","1490.93762"
"1.80000","0.15036","1575.96790"
"1.90000","0.15867","1656.04333"
"2.00000","0.16694","1737.24463"
"2.10000","0.17538","1813.32031"
"2.20000","0.18365","1888.59387"
"2.30000","0.19201","1963.11084"
"2.40000","0.20033","2037.45215"
"2.50000","0.20864","2108.82080"
"2.60000","0.21703","2178.80566"
"2.70000","0.22530","2244.59277"
"2.80000","0.23369","2315.18359"
"2.90000","0.24201","2382.01562"
"3.00000","0.25035","2448.76001"
"3.10000","0.25874","2512.68286"
"3.20000","0.26700","2575.21973"
"3.30000","0.27539","2636.48999"
"3.40000","0.28363","2697.58862"
"3.50000","0.29200","2759.32349"
"3.60000","0.30034","2819.25488"
"3.70000","0.30866","2878.80273"
"3.80000","0.31707","2936.50024"
"3.90000","0.32531","2994.72241"
"4.00000","0.33368","3054.80054"
"4.10000","0.34197","3112.27051"
"4.20000","0.35031","3170.74023"
"4.30000","0.35870","3228.50903"
"4.40000","0.36696","3285.42505"
"4.50000","0.37538","3344.30713"
"4.60000","0.38367","3400.62280"
"4.70000","0.39199","3458.55493"
"4.80000","0.40033","3514.24780"
"4.90000","0.40862","3571.10693"
"5.00000","0.41703","3630.32397"
"5.10000","0.42532","3686.50024"
"5.20000","0.43369","3743.91479"
"5.30000","0.44203","3800.77026"
"5.40000","0.45030","3857.74121"
"5.50000","0.45866","3916.73047"
"5.60000","0.46695","3972.94873"
"5.70000","0.47537","4034.06470"
"5.80000","0.48371","4091.18945"
"5.90000","0.49202","4149.27393"
"6.00000","0.50036","4208.95459"
"6.10000","0.50863","4268.83838"
"6.20000","0.51707","4329.45459"
"6.30000","0.52539","4387.83447"
"6.40000","0.53370","4447.89111"
"6.50000","0.54207","4509.11426"
"6.60000","0.55031","4570.31152"
"6.70000","0.55870","4631.65820"
"6.80000","0.56691","4690.51172"
"6.90000","0.57528","4753.19824"
"7.00000","0.58367","4813.95020"
"7.10000","0.59199","4876.36035"
"7.20000","0.60038","4939.02637"
"7.30000","0.60864","4997.21973"
"7.40000","0.61703","5059.52588"
"7.50000","0.62535","5118.79639"
"7.60000","0.63366","5180.04346"
"7.70000","0.64206","5243.05420"
"7.80000","0.65032","5304.36279"
"7.90000","0.65871","5366.46143"
"8.00000","0.66698","5426.33008"
"8.10000","0.67527","5490.15674"
"8.20000","0.68363","5554.30371"
"8.30000","0.69195","5616.69678"
"8.40000","0.70039","5681.17969"
"8.50000","0.70865","5741.38379"
"8.60000","0.71702","5803.50244"
"8.70000","0.72531","5864.04639"
"8.80000","0.73360","5925.47559"
"8.90000","0.74199","5988.33203"
"9.00000","0.75026","6048.65527"
"9.10000","0.75867","6111.37451"
"9.20000","0.76699","6173.48828"
"9.30000","0.77530","6238.26709"
"9.40000","0.78367","6301.94189"
"9.50000","0.79196","6363.50879"
"9.60000","0.80035","6426.26660"
"9.70000","0.80864","6487.86328"
"9.80000","0.81703","6553.98682"
"9.90000","0.82540","6616.01123"
"10.00000","0.83364","6677.74463"
"10.10000","0.84203","6742.26514"
"10.20000","0.85030","6805.44287"
"10.30000","0.85866","6870.61182"
"10.40000","0.86703","6934.65625"
"10.50000","0.87534","6998.37598"
"10.60000","0.88376","7062.54834"
"10.70000","0.89197","7125.20264"
"10.80000","0.90034","7190.71924"
"10.90000","0.90863","7252.86670"
"11.00000","0.91697","7318.17480"
"11.10000","0.92536","7380.45361"
"11.20000","0.93365","7443.21289"
"11.30000","0.94204","7509.29736"
"11.40000","0.95033","7572.47803"
"11.50000","0.95862","7636.77588"
"11.60000","0.96699","7698.72510"
"11.70000","0.97528","7762.97314"
"11.80000","0.98367","7828.96143"
"11.90000","0.99194","7891.05127"
"12.00000","1.00035","7958.15430"
"12.10000","1.00869","8019.26123"
"12.20000","1.01696","8082.69385"
"12.30000","1.02532","8148.84082"
"12.40000","1.03361","8215.50000"
"12.50000","1.04206","8281.27051"
"12.60000","1.05037","8343.38770"
"12.70000","1.05869","8408.45898"
"12.80000","1.06703","8470.75781"
"12.90000","1.07529","8535.67969"
"13.00000","1.08371","8602.42285"
"13.10000","1.09200","8664.52148"
"13.20000","1.10034","8728.90918"
"13.30000","1.10870","8792.32324"
"13.40000","1.11697","8856.95996"
"13.50000","1.12536","8923.41309"
"13.60000","1.13365","8985.76953"
"13.70000","1.14202","9050.72070"
"13.80000","1.15036","9114.29785"
"13.90000","1.15865","9180.54199"
"14.00000","1.16701","9247.04883"
"14.10000","1.17530","9309.89844"
"14.20000","1.18370","9375.48535"
"14.30000","1.19199","9438.43457"
"14.40000","1.20028","9502.70215"
"14.50000","1.20869","9567.09766"
"14.60000","1.21698","9631.01270"
"14.70000","1.22540","9696.26367"
"14.80000","1.23366","9756.45410"
"14.90000","1.24198","9821.58203"
"15.00000","1.25032","9886.81055"
"15.10000","1.25861","9951.34375"
"15.20000","1.26705","10017.08984"
"15.30000","1.27534","10079.62012"
"15.40000","1.28371","10144.75195"
"15.50000","1.29200","10208.67871"
"15.60000","1.30029","10274.33301"
"15.70000","1.30870","10338.66602"
"15.80000","1.31702","10401.80664"
"15.90000","1.32544","10467.44434"
"16.00000","1.33370","10528.97070"
"16.10000","1.34202","10594.91406"
"16.20000","1.35036","10659.19141"
"16.30000","1.35860","10721.95703"
"16.40000","1.36699","10786.25684"
"16.50000","1.37530","10848.53223"
"16.60000","1.38367","10914.74316"
"16.70000","1.39204","10976.44043"
"16.80000","1.40033","11040.54492"
"16.90000","1.40877","11104.38672"
"17.00000","1.41701","11165.78906"
"17.10000","1.42535","11232.71094"
"17.20000","1.43369","11296.34570"
"17.30000","1.44200","11361.40039"
"17.40000","1.45037","11424.78223"
"17.50000","1.45861","11485.82227"
"17.60000","1.46698","11550.55176"
"17.70000","1.47529","11614.45605"
"17.80000","1.48363","11680.85156"
"17.90000","1.49205","11744.02539"
"18.00000","1.50031","11806.31738"
