General : Start date,"11/13/2025 4:07 PM"
General : End date,"11/13/2025 4:07 PM"
Specimen notes : Specimen note 1,"12 - 0.1 inch extension"
Test : Rate 1,"0.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-2.54695","-0.93502"
"0.10000","-2.54695","-1.23353"
"0.20000","-2.54695","-1.44193"
"0.30000","-2.54695","-1.57277"
"0.40000","-2.54695","-1.25077"
"0.50000","-2.54695","-1.37612"
"0.60000","-2.54695","-1.09172"
"0.70000","-2.54695","-1.53673"
"0.80000","-2.54695","-1.78823"
"0.90000","-2.54695","-1.41529"
"1.00000","-2.54695","-0.65767"
"1.10000","-2.54695","-1.23901"
"1.16400","-2.54695","-1.66679"
