General : Start date,"11/13/2025 4:10 PM"
General : End date,"11/13/2025 4:11 PM"
Specimen notes : Specimen note 1,"16 - 0.5 inch extension"
Test : Rate 1,"0.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-12.71189","0.23078"
"0.10000","-12.71189","-1.29464"
"0.20000","-12.71189","-0.86686"
"0.30000","-12.71189","-0.79556"
"0.40000","-12.71189","-1.00789"
"0.50000","-12.71189","-0.58481"
"0.60000","-12.71189","-0.49941"
"0.70000","-12.71189","-1.56337"
"0.80000","-12.71189","-0.87783"
"0.90000","-12.71189","-0.84414"
"1.00000","-12.71189","-1.42940"
"1.10000","-12.71189","-0.73524"
"1.20000","-12.71189","-0.50568"
"1.22600","-12.71189","-1.01651"
