General : Start date,"11/19/2025 9:51 AM"
General : End date,"11/19/2025 9:52 AM"
Specimen notes : Specimen note 1,"B23"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","-0.08998","-1.11691"
"0.10000","-0.08515","0.13254"
"0.20000","-0.07605","10.05141"
"0.30000","-0.06683","68.86038"
"0.40000","-0.05765","187.86877"
"0.50000","-0.04886","290.31073"
"0.60000","-0.04024","400.69907"
"0.70000","-0.03172","504.46802"
"0.80000","-0.02333","601.84796"
"0.90000","-0.01487","697.51776"
"1.00000","-0.00658","787.96417"
"1.10000","0.00181","882.59998"
"1.20000","0.01015","978.52832"
"1.30000","0.01845","1075.56201"
"1.40000","0.02686","1174.82971"
"1.50000","0.03513","1273.22644"
"1.60000","0.04354","1376.28406"
"1.70000","0.05186","1474.74512"
"1.80000","0.06017","1574.32617"
"1.90000","0.06854","1671.21179"
"2.00000","0.07680","1769.23877"
"2.10000","0.08520","1870.09131"
"2.20000","0.09351","1969.01843"
"2.30000","0.10190","2067.37354"
"2.40000","0.11024","2163.08960"
"2.50000","0.11851","2258.94507"
"2.60000","0.12687","2354.81226"
"2.70000","0.13511","2447.77881"
"2.80000","0.14348","2543.16113"
"2.90000","0.15185","2633.66943"
"3.00000","0.16016","2722.28125"
"3.10000","0.16853","2810.86011"
"3.20000","0.17679","2896.66040"
"3.30000","0.18513","2982.65186"
"3.40000","0.19345","3063.90942"
"3.50000","0.20179","3146.19531"
"3.60000","0.21023","3227.87549"
"3.70000","0.21850","3308.66162"
"3.80000","0.22689","3389.07690"
"3.90000","0.23518","3466.72583"
"4.00000","0.24352","3543.38745"
"4.10000","0.25183","3618.90381"
"4.20000","0.26007","3694.11011"
"4.30000","0.26854","3769.94971"
"4.40000","0.27683","3842.08862"
"4.50000","0.28522","3916.02734"
"4.60000","0.29351","3986.83252"
"4.70000","0.30180","4059.91675"
"4.80000","0.31019","4131.00537"
"4.90000","0.31848","4200.52930"
"5.00000","0.32690","4272.43018"
"5.10000","0.33519","4339.73486"
"5.20000","0.34350","4410.81592"
"5.30000","0.35187","4480.61377"
"5.40000","0.36011","4548.07275"
"5.50000","0.36850","4615.94287"
"5.60000","0.37682","4682.21387"
"5.70000","0.38518","4750.73438"
"5.80000","0.39357","4815.72949"
"5.90000","0.40181","4881.50928"
"6.00000","0.41023","4944.92285"
"6.10000","0.41850","5006.94922"
"6.20000","0.42686","5071.90576"
"6.30000","0.43518","5134.49365"
"6.40000","0.44349","5198.49268"
"6.50000","0.45188","5262.25928"
"6.60000","0.46015","5325.33838"
"6.70000","0.46851","5391.32715"
"6.80000","0.47683","5456.71826"
"6.90000","0.48515","5522.32959"
"7.00000","0.49354","5586.78418"
"7.10000","0.50183","5650.11816"
"7.20000","0.51022","5715.92822"
"7.30000","0.51846","5779.46582"
"7.40000","0.52680","5845.87305"
"7.50000","0.53516","5910.92725"
"7.60000","0.54345","5975.97754"
"7.70000","0.55187","6040.97412"
"7.80000","0.56014","6105.12988"
"7.90000","0.56850","6171.40771"
"8.00000","0.57687","6233.75537"
"8.10000","0.58516","6299.88770"
"8.20000","0.59355","6364.93506"
"8.30000","0.60179","6428.83936"
"8.40000","0.61023","6496.96289"
"8.50000","0.61852","6560.17676"
"8.60000","0.62684","6626.33643"
"8.70000","0.63520","6690.02295"
"8.80000","0.64344","6754.95264"
"8.90000","0.65186","6822.61572"
"9.00000","0.66017","6886.54980"
"9.10000","0.66851","6952.91602"
"9.20000","0.67690","7016.25732"
"9.30000","0.68517","7080.27930"
"9.40000","0.69354","7145.73047"
"9.50000","0.70178","7209.21826"
"9.60000","0.71014","7276.37988"
"9.70000","0.71848","7339.28955"
"9.80000","0.72682","7403.26660"
"9.90000","0.73524","7467.65723"
"10.00000","0.74348","7533.49805"
"10.10000","0.75184","7601.41846"
"10.20000","0.76016","7664.64160"
"10.30000","0.76848","7731.02344"
"10.40000","0.77684","7796.84863"
"10.50000","0.78511","7863.97754"
"10.60000","0.79352","7931.83984"
"10.70000","0.80181","7995.65381"
"10.80000","0.81015","8061.44482"
"10.90000","0.81849","8126.82080"
"11.00000","0.82678","8195.42676"
"11.10000","0.83520","8262.85742"
"11.20000","0.84352","8327.70898"
"11.30000","0.85188","8394.16602"
"11.40000","0.86022","8457.54102"
"11.50000","0.86846","8523.06152"
"11.60000","0.87685","8589.91992"
"11.70000","0.88514","8654.64355"
"11.80000","0.89356","8721.80664"
"11.90000","0.90185","8785.76758"
"12.00000","0.91017","8854.00293"
"12.10000","0.91856","8919.67871"
"12.20000","0.92682","8986.34082"
"12.30000","0.93521","9051.31152"
"12.40000","0.94350","9115.16211"
"12.50000","0.95184","9182.83594"
"12.60000","0.96019","9247.89844"
"12.70000","0.96845","9313.90137"
"12.80000","0.97684","9380.23535"
"12.90000","0.98511","9444.32422"
"13.00000","0.99350","9510.61621"
"13.10000","1.00184","9576.30566"
"13.20000","1.01015","9643.26758"
"13.30000","1.01854","9706.89160"
"13.40000","1.02681","9769.09961"
"13.50000","1.03518","9834.64551"
"13.60000","1.04349","9899.52344"
"13.70000","1.05178","9966.60645"
"13.80000","1.06020","10031.57617"
"13.90000","1.06849","10096.65527"
"14.00000","1.07690","10161.41992"
"14.10000","1.08517","10224.46582"
"14.20000","1.09351","10291.86816"
"14.30000","1.10188","10356.29102"
"14.40000","1.11017","10420.68555"
"14.50000","1.11856","10485.67676"
"14.60000","1.12682","10548.15234"
"14.70000","1.13519","10615.69043"
"14.80000","1.14350","10679.95020"
"14.90000","1.15179","10744.22949"
"15.00000","1.16016","10806.68359"
"15.10000","1.16845","10870.34863"
"15.20000","1.17689","10938.15527"
"15.30000","1.18518","11000.98145"
"15.40000","1.19352","11066.33203"
"15.50000","1.20189","11129.00098"
"15.60000","1.21013","11190.42188"
"15.70000","1.21852","11256.96191"
"15.80000","1.22681","11321.35645"
"15.90000","1.23520","11389.03613"
"16.00000","1.24354","11452.52734"
"16.10000","1.25178","11515.68262"
"16.20000","1.26020","11581.40527"
"16.30000","1.26846","11646.46191"
"16.40000","1.27683","11713.73926"
"16.50000","1.28519","11775.16699"
"16.60000","1.29351","11838.94629"
"16.70000","1.30190","11902.38184"
"16.80000","1.31012","11964.59863"
"16.90000","1.31848","12029.14160"
"17.00000","1.32680","12090.93848"
"17.10000","1.33514","12155.16992"
"17.20000","1.34353","12219.10742"
"17.30000","1.35179","12283.71777"
"17.40000","1.36021","12350.34863"
"17.50000","1.36850","12412.43262"
"17.60000","1.37687","12477.60254"
"17.70000","1.38518","12539.11230"
"17.80000","1.39345","12603.19824"
"17.90000","1.40189","12668.81348"
"18.00000","1.41018","12730.96680"
