General : Start date,"11/19/2025 10:44 AM"
General : End date,"11/19/2025 10:45 AM"
Specimen notes : Specimen note 1,"T6-4"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"15.00000","1.25019","9066.96289"
"15.10000","1.25848","9112.40234"
"15.20000","1.26682","9161.01367"
"15.30000","1.27519","9207.66406"
"15.40000","1.28346","9255.27148"
"15.50000","1.29187","9301.57617"
"15.60000","1.30014","9346.78711"
"15.70000","1.30850","9395.07422"
"15.80000","1.31682","9442.61133"
"15.90000","1.32516","9490.44824"
"16.00000","1.33355","9537.04004"
"16.10000","1.34179","9582.72559"
"16.20000","1.35016","9629.62695"
"16.30000","1.35842","9676.06934"
"16.40000","1.36671","9725.51172"
"16.50000","1.37510","9772.64648"
"16.60000","1.38339","9818.06543"
"16.70000","1.39183","9866.72559"
"16.80000","1.40015","9912.27734"
"16.90000","1.40857","9960.76953"
"17.00000","1.41683","10005.14648"
"17.10000","1.42507","10051.34473"
"17.20000","1.43351","10097.83984"
"17.30000","1.44180","10143.52344"
"17.40000","1.45019","10191.28516"
"17.50000","1.45848","10236.83984"
"17.60000","1.46680","10283.77832"
"17.70000","1.47519","10330.60645"
"17.80000","1.48348","10375.26172"
"17.90000","1.49192","10424.53711"
"18.00000","1.50021","10469.64453"
"18.10000","1.50853","10515.49414"
"18.20000","1.51687","10560.93848"
"18.30000","1.52511","10607.26758"
"18.40000","1.53352","10655.36328"
"18.50000","1.54179","10700.69043"
"18.60000","1.55016","10749.30566"
"18.70000","1.55850","10794.04980"
"18.80000","1.56676","10839.78906"
"18.90000","1.57515","10888.07031"
"19.00000","1.58342","10934.58496"
"19.10000","1.59181","10982.46875"
"19.20000","1.60017","11027.30078"
"19.30000","1.60852","11073.86035"
"19.40000","1.61691","11119.00195"
"19.50000","1.62512","11163.89355"
"19.60000","1.63349","11210.51074"
"19.70000","1.64175","11255.45605"
"19.80000","1.65009","11301.04980"
"19.90000","1.65846","11347.42383"
"20.00000","1.66675","11393.49219"
"20.10000","1.67516","11440.14062"
"20.20000","1.68343","11484.37402"
"20.30000","1.69182","11531.06055"
"20.40000","1.70016","11575.04199"
"20.50000","1.70848","11621.22363"
"20.60000","1.71692","11668.78418"
"20.70000","1.72516","11713.31738"
"20.80000","1.73350","11758.83691"
"20.90000","1.74179","11801.91895"
"21.00000","1.75005","11847.47070"
"21.10000","1.75845","11893.70117"
"21.20000","1.76676","11939.73828"
"21.30000","1.77520","11985.62695"
"21.40000","1.78349","12027.83984"
"21.50000","1.79183","12074.04688"
"21.60000","1.80020","12119.20117"
"21.70000","1.80846","12164.74219"
"21.80000","1.81688","12208.69727"
"21.90000","1.82515","12251.89648"
"22.00000","1.83354","12297.89355"
"22.10000","1.84185","12341.54688"
"22.20000","1.85012","12385.16992"
"22.30000","1.85851","12428.31738"
"22.40000","1.86677","12472.04590"
"22.50000","1.87516","12516.63867"
"22.60000","1.88348","12560.53418"
"22.70000","1.89182","12606.37793"
"22.80000","1.90014","12649.18457"
"22.90000","1.90838","12691.15625"
"23.00000","1.91677","12736.58691"
"23.10000","1.92508","12779.40918"
"23.20000","1.93345","12824.54688"
"23.30000","1.94181","12868.71289"
"23.40000","1.95010","12911.68652"
"23.50000","1.95852","12955.55273"
"23.60000","1.96679","12996.00488"
"23.70000","1.97513","13039.79004"
"23.80000","1.98342","13079.88770"
"23.90000","1.99176","13123.32129"
"24.00000","2.00020","13165.56934"
"24.10000","2.00849","13207.52637"
"24.20000","2.01688","13250.32129"
"24.30000","2.02517","13292.10059"
"24.40000","2.03346","13333.66016"
"24.50000","2.04183","13373.83496"
"24.60000","2.05012","13413.82227"
"24.70000","2.05853","13456.74121"
"24.80000","2.06680","13495.76855"
"24.90000","2.07516","13539.21582"
"25.00000","2.08351","13579.34961"
"25.10000","2.09175","13619.76270"
"25.20000","2.10016","13660.55273"
"25.30000","2.10848","13701.38574"
"25.40000","2.11687","13744.22656"
"25.50000","2.12521","13783.83008"
"25.60000","2.13352","13822.98145"
"25.70000","2.14189","13862.44629"
"25.80000","2.15010","13901.07422"
"25.90000","2.15845","13942.49902"
"26.00000","2.16676","13981.33789"
"26.10000","2.17510","14020.12598"
"26.20000","2.18349","14058.59277"
"26.30000","2.19176","14096.97949"
"26.40000","2.20017","14136.37988"
"26.50000","2.20846","14173.75098"
"26.60000","2.21683","14211.95996"
"26.70000","2.22517","14247.41113"
"26.80000","2.23349","14284.44434"
"26.90000","2.24190","14324.75781"
"27.00000","2.25012","14360.16113"
"27.10000","2.25848","14397.95020"
"27.20000","2.26682","14433.64453"
"27.30000","2.27514","14471.51172"
"27.40000","2.28356","14509.29980"
"27.50000","2.29182","14545.33203"
"27.60000","2.30024","14582.88281"
"27.70000","2.30853","14617.06055"
"27.80000","2.31684","14652.33398"
"27.90000","2.32518","14687.14746"
"28.00000","2.33347","14722.25293"
"28.10000","2.34189","14757.41992"
"28.20000","2.35015","14789.28906"
"28.30000","2.35847","14823.47949"
"28.40000","2.36679","14857.12695"
"28.50000","2.37508","14891.94141"
"28.60000","2.38349","14926.19531"
"28.70000","2.39178","14957.61914"
"28.80000","2.40020","14992.15527"
"28.90000","2.40854","15023.95898"
"29.00000","2.41683","15056.27637"
"29.10000","2.42517","15087.35840"
"29.20000","2.43341","15116.58301"
"29.30000","2.44178","15150.13086"
"29.40000","2.45009","15180.72363"
"29.50000","2.45846","15214.97949"
"29.60000","2.46685","15246.91113"
"29.70000","2.47509","15275.86426"
"29.80000","2.48350","15305.75586"
"29.90000","2.49180","15334.33008"
"30.00000","2.50016","15364.79102"
"30.10000","2.50855","15394.74121"
"30.20000","2.51682","15424.19238"
"30.30000","2.52521","15450.93164"
"30.40000","2.53342","15476.43066"
"30.50000","2.54179","15504.98438"
"30.60000","2.55008","15531.07227"
"30.70000","2.55842","15558.25488"
"30.80000","2.56684","15581.76855"
"30.90000","2.57513","15601.73438"
"31.00000","2.58352","15616.77441"
"31.01600","2.58485","15096.77441"
"31.01800","2.58503","14581.53320"
"31.02000","2.58521","13931.05664"
"31.02200","2.58538","13190.28125"
"31.02400","2.58558","12381.04688"
"31.02600","2.58579","11522.04688"
"31.02800","2.58599","10634.59473"
"31.03000","2.58619","9738.28320"
"31.03200","2.58639","8849.25391"
