General : Start date,"11/19/2025 10:42 AM"
General : End date,"11/19/2025 10:43 AM"
Specimen notes : Specimen note 1,"T6-3"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-3.54458"
"0.10000","0.00479","14.76952"
"0.20000","0.01436","120.72797"
"0.30000","0.02376","195.10460"
"0.40000","0.03263","269.89874"
"0.50000","0.04125","344.60751"
"0.60000","0.04987","422.51315"
"0.70000","0.05826","508.49756"
"0.80000","0.06678","590.53229"
"0.90000","0.07512","670.43866"
"1.00000","0.08343","751.07666"
"1.10000","0.09180","830.75574"
"1.20000","0.10006","910.11377"
"1.30000","0.10843","992.72418"
"1.40000","0.11672","1074.67126"
"1.50000","0.12511","1160.47388"
"1.60000","0.13348","1245.12109"
"1.70000","0.14179","1330.37854"
"1.80000","0.15021","1414.12256"
"1.90000","0.15850","1496.96106"
"2.00000","0.16686","1581.94897"
"2.10000","0.17515","1665.77600"
"2.20000","0.18344","1750.56592"
"2.30000","0.19186","1834.17981"
"2.40000","0.20013","1916.13940"
"2.50000","0.20854","1998.83594"
"2.60000","0.21681","2080.50952"
"2.70000","0.22512","2162.59668"
"2.80000","0.23349","2242.10498"
"2.90000","0.24175","2319.54785"
"3.00000","0.25019","2398.11621"
"3.10000","0.25841","2473.41162"
"3.20000","0.26675","2551.80859"
"3.30000","0.27507","2624.55029"
"3.40000","0.28338","2698.31274"
"3.50000","0.29177","2769.50977"
"3.60000","0.30011","2842.11841"
"3.70000","0.30850","2913.51196"
"3.80000","0.31677","2983.05664"
"3.90000","0.32506","3050.57275"
"4.00000","0.33348","3118.09888"
"4.10000","0.34174","3182.25659"
"4.20000","0.35016","3248.94849"
"4.30000","0.35847","3313.32715"
"4.40000","0.36684","3376.99536"
"4.50000","0.37520","3439.42578"
"4.60000","0.38347","3501.64282"
"4.70000","0.39186","3564.45508"
"4.80000","0.40010","3627.27466"
"4.90000","0.40849","3687.04712"
"5.00000","0.41686","3746.88477"
"5.10000","0.42517","3807.09985"
"5.20000","0.43356","3866.80664"
"5.30000","0.44180","3923.76514"
"5.40000","0.45014","3982.02417"
"5.50000","0.45843","4038.16357"
"5.60000","0.46678","4094.87793"
"5.70000","0.47517","4152.74365"
"5.80000","0.48346","4207.77832"
"5.90000","0.49185","4264.60693"
"6.00000","0.50014","4318.12012"
"6.10000","0.50845","4373.71777"
"6.20000","0.51679","4426.79395"
"6.30000","0.52503","4482.06152"
"6.40000","0.53345","4536.53320"
"6.50000","0.54174","4588.70947"
"6.60000","0.55016","4642.41846"
"6.70000","0.55852","4694.97900"
"6.80000","0.56679","4749.62158"
"6.90000","0.57513","4801.50342"
"7.00000","0.58339","4853.31641"
"7.10000","0.59181","4906.89453"
"7.20000","0.60018","4957.67383"
"7.30000","0.60849","5009.82275"
"7.40000","0.61688","5061.40332"
"7.50000","0.62512","5112.10986"
"7.60000","0.63354","5163.25537"
"7.70000","0.64183","5212.22266"
"7.80000","0.65019","5263.55420"
"7.90000","0.65856","5315.79785"
"8.00000","0.66680","5364.89990"
"8.10000","0.67517","5415.89355"
"8.20000","0.68343","5464.16064"
"8.30000","0.69180","5516.42334"
"8.40000","0.70016","5566.98145"
"8.50000","0.70843","5616.49854"
"8.60000","0.71682","5666.40186"
"8.70000","0.72508","5715.43994"
"8.80000","0.73348","5766.41650"
"8.90000","0.74177","5816.09961"
"9.00000","0.75013","5867.27197"
"9.10000","0.75852","5916.97119"
"9.20000","0.76681","5964.66504"
"9.30000","0.77520","6015.47070"
"9.40000","0.78347","6064.84570"
"9.50000","0.79178","6114.90332"
"9.60000","0.80010","6163.79883"
"9.70000","0.80834","6210.99170"
"9.80000","0.81683","6261.27344"
"9.90000","0.82512","6310.11279"
"10.00000","0.83349","6362.25342"
"10.10000","0.84180","6408.55713"
"10.20000","0.85009","6457.94043"
"10.30000","0.85853","6507.43896"
"10.40000","0.86685","6558.39648"
"10.50000","0.87522","6608.87012"
"10.60000","0.88346","6655.73779"
"10.70000","0.89177","6704.67236"
"10.80000","0.90009","6753.67920"
"10.90000","0.90833","6801.47461"
"11.00000","0.91677","6852.03906"
"11.10000","0.92511","6900.50879"
"11.20000","0.93350","6950.36279"
"11.30000","0.94187","6997.65771"
"11.40000","0.95013","7045.39062"
"11.50000","0.95855","7094.82227"
"11.60000","0.96679","7143.22559"
"11.70000","0.97515","7193.09619"
"11.80000","0.98347","7239.79932"
"11.90000","0.99178","7289.90967"
"12.00000","1.00023","7340.27490"
"12.10000","1.00844","7389.32471"
"12.20000","1.01683","7438.38867"
"12.30000","1.02512","7485.37549"
"12.40000","1.03346","7533.69043"
"12.50000","1.04185","7583.12793"
"12.60000","1.05009","7631.61572"
"12.70000","1.05846","7679.71436"
"12.80000","1.06672","7725.46094"
"12.90000","1.07506","7775.08301"
"13.00000","1.08346","7821.42676"
"13.10000","1.09172","7871.99219"
"13.20000","1.10016","7921.78564"
"13.30000","1.10845","7969.20215"
"13.40000","1.11679","8016.40771"
"13.50000","1.12513","8061.75537"
"13.60000","1.13340","8110.51074"
"13.70000","1.14176","8158.95117"
"13.80000","1.15008","8206.10840"
"13.90000","1.15850","8254.24414"
"14.00000","1.16686","8301.42383"
"14.10000","1.17518","8349.50781"
"14.20000","1.18352","8396.90723"
"14.30000","1.19176","8443.52051"
"14.40000","1.20018","8490.91602"
"14.50000","1.20849","8536.45996"
"14.60000","1.21683","8585.53906"
"14.70000","1.22520","8633.50781"
"14.80000","1.23346","8680.49316"
"14.90000","1.24188","8726.93066"
"15.00000","1.25012","8772.66406"
"15.10000","1.25848","8821.21289"
"15.20000","1.26682","8870.17285"
"15.30000","1.27512","8918.63867"
"15.40000","1.28353","8966.41113"
"15.50000","1.29177","9013.61621"
"15.60000","1.30014","9062.19531"
"15.70000","1.30840","9109.45020"
"15.80000","1.31672","9158.77051"
"15.90000","1.32511","9205.06836"
"16.00000","1.33340","9251.28125"
"16.10000","1.34187","9298.94043"
"16.20000","1.35023","9345.77344"
"16.30000","1.35852","9393.07031"
"16.40000","1.36679","9438.64551"
"16.50000","1.37505","9485.41211"
"16.60000","1.38349","9533.01367"
"16.70000","1.39181","9579.33594"
"16.80000","1.40017","9627.25879"
"16.90000","1.40849","9672.66992"
"17.00000","1.41681","9719.58594"
"17.10000","1.42520","9767.11914"
"17.20000","1.43351","9812.93652"
"17.30000","1.44190","9862.09082"
"17.40000","1.45019","9907.46875"
"17.50000","1.45851","9953.75098"
"17.60000","1.46685","9999.55859"
"17.70000","1.47509","10046.00195"
"17.80000","1.48348","10095.35254"
"17.90000","1.49177","10140.79492"
"18.00000","1.50014","10189.73145"
