General : Start date,"11/19/2025 10:38 AM"
General : End date,"11/19/2025 10:38 AM"
Specimen notes : Specimen note 1,"T6-1"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","3.20473"
"0.10000","0.00418","3.01986"
"0.20000","0.01343","6.90218"
"0.30000","0.02285","108.60387"
"0.40000","0.03210","211.44142"
"0.50000","0.04107","293.12518"
"0.60000","0.04969","377.83429"
"0.70000","0.05818","458.37750"
"0.80000","0.06678","539.22937"
"0.90000","0.07512","623.07281"
"1.00000","0.08348","706.27325"
"1.10000","0.09180","789.67407"
"1.20000","0.10014","870.54401"
"1.30000","0.10853","950.40479"
"1.40000","0.11679","1030.37073"
"1.50000","0.12521","1115.62976"
"1.60000","0.13353","1199.71765"
"1.70000","0.14184","1284.70801"
"1.80000","0.15018","1367.73059"
"1.90000","0.15845","1449.14087"
"2.00000","0.16691","1531.78503"
"2.10000","0.17515","1612.39563"
"2.20000","0.18347","1691.37524"
"2.30000","0.19176","1766.08093"
"2.40000","0.20008","1841.45947"
"2.50000","0.20847","1916.13843"
"2.60000","0.21683","1988.93738"
"2.70000","0.22520","2060.62622"
"2.80000","0.23351","2131.55933"
"2.90000","0.24180","2202.37085"
"3.00000","0.25019","2269.04712"
"3.10000","0.25843","2334.80664"
"3.20000","0.26685","2402.62354"
"3.30000","0.27514","2467.46606"
"3.40000","0.28356","2532.86670"
"3.50000","0.29190","2596.00391"
"3.60000","0.30016","2660.07007"
"3.70000","0.30858","2724.68896"
"3.80000","0.31682","2786.70288"
"3.90000","0.32519","2851.29126"
"4.00000","0.33355","2912.90723"
"4.10000","0.34187","2973.23340"
"4.20000","0.35026","3035.00171"
"4.30000","0.35850","3093.39795"
"4.40000","0.36689","3153.83643"
"4.50000","0.37515","3211.02515"
"4.60000","0.38347","3269.22388"
"4.70000","0.39191","3327.46582"
"4.80000","0.40020","3385.73340"
"4.90000","0.40859","3443.86816"
"5.00000","0.41681","3500.62769"
"5.10000","0.42512","3556.62524"
"5.20000","0.43349","3613.71069"
"5.30000","0.44178","3670.34814"
"5.40000","0.45017","3728.16553"
"5.50000","0.45846","3785.07422"
"5.60000","0.46685","3842.97681"
"5.70000","0.47522","3900.76758"
"5.80000","0.48348","3958.64331"
"5.90000","0.49185","4016.64307"
"6.00000","0.50011","4073.35010"
"6.10000","0.50853","4131.23828"
"6.20000","0.51687","4187.83936"
"6.30000","0.52519","4246.24219"
"6.40000","0.53358","4304.00098"
"6.50000","0.54184","4359.54102"
"6.60000","0.55023","4418.49658"
"6.70000","0.55855","4475.11133"
"6.80000","0.56689","4532.98291"
"6.90000","0.57528","4591.23242"
"7.00000","0.58352","4649.07568"
"7.10000","0.59191","4706.29688"
"7.20000","0.60015","4760.39062"
"7.30000","0.60852","4818.99658"
"7.40000","0.61686","4876.16943"
"7.50000","0.62515","4932.68457"
"7.60000","0.63354","4989.24658"
"7.70000","0.64180","5044.07715"
"7.80000","0.65019","5101.40527"
"7.90000","0.65848","5156.97217"
"8.00000","0.66683","5213.31934"
"8.10000","0.67524","5270.04346"
"8.20000","0.68351","5323.97461"
"8.30000","0.69190","5380.57031"
"8.40000","0.70016","5435.92871"
"8.50000","0.70845","5490.99414"
"8.60000","0.71677","5546.99658"
"8.70000","0.72506","5602.09619"
"8.80000","0.73353","5657.98975"
"8.90000","0.74182","5713.62695"
"9.00000","0.75021","5771.51416"
"9.10000","0.75852","5823.93311"
"9.20000","0.76681","5877.75293"
"9.30000","0.77523","5933.05957"
"9.40000","0.78352","5988.05566"
"9.50000","0.79194","6043.55371"
"9.60000","0.80020","6097.22314"
"9.70000","0.80849","6152.02539"
"9.80000","0.81683","6205.29785"
"9.90000","0.82507","6257.54150"
"10.00000","0.83349","6312.64014"
"10.10000","0.84183","6364.83350"
"10.20000","0.85022","6418.07178"
"10.30000","0.85856","6468.67090"
"10.40000","0.86685","6520.30615"
"10.50000","0.87524","6573.41162"
"10.60000","0.88348","6625.45947"
"10.70000","0.89185","6678.04346"
"10.80000","0.90019","6729.16748"
"10.90000","0.90850","6782.53857"
"11.00000","0.91692","6834.33838"
"11.10000","0.92516","6886.09180"
"11.20000","0.93353","6938.44629"
"11.30000","0.94182","6988.33691"
"11.40000","0.95016","7039.05811"
"11.50000","0.95855","7091.17432"
"11.60000","0.96681","7142.15723"
"11.70000","0.97518","7194.70752"
"11.80000","0.98342","7243.76953"
"11.90000","0.99176","7295.69629"
"12.00000","1.00015","7345.78906"
"12.10000","1.00844","7397.81982"
"12.20000","1.01688","7449.67139"
"12.30000","1.02515","7498.12891"
"12.40000","1.03351","7549.05322"
"12.50000","1.04183","7598.13037"
"12.60000","1.05012","7650.12207"
"12.70000","1.05851","7701.51611"
"12.80000","1.06680","7751.40967"
"12.90000","1.07522","7801.04004"
"13.00000","1.08353","7849.50342"
"13.10000","1.09185","7900.82568"
"13.20000","1.10021","7951.91699"
"13.30000","1.10848","8001.43701"
"13.40000","1.11689","8050.27344"
"13.50000","1.12518","8098.46094"
"13.60000","1.13353","8148.37939"
"13.70000","1.14189","8197.55176"
"13.80000","1.15016","8246.77246"
"13.90000","1.15857","8295.11816"
"14.00000","1.16681","8341.43945"
"14.10000","1.17520","8391.64648"
"14.20000","1.18354","8441.21680"
"14.30000","1.19186","8490.35352"
"14.40000","1.20025","8537.00098"
"14.50000","1.20849","8585.03223"
"14.60000","1.21683","8633.29004"
"14.70000","1.22510","8680.61523"
"14.80000","1.23341","8731.63379"
"14.90000","1.24183","8780.78516"
"15.00000","1.25012","8827.64355"
"15.10000","1.25856","8876.68359"
"15.20000","1.26682","8923.57227"
"15.30000","1.27517","8973.84375"
"15.40000","1.28356","9022.09668"
"15.50000","1.29180","9068.89551"
"15.60000","1.30021","9116.82031"
"15.70000","1.30850","9163.52734"
"15.80000","1.31687","9213.12793"
"15.90000","1.32518","9260.60254"
"16.00000","1.33350","9307.55078"
"16.10000","1.34192","9355.37402"
"16.20000","1.35021","9401.72754"
"16.30000","1.35862","9453.37012"
"16.40000","1.36691","9500.12012"
"16.50000","1.37523","9547.06348"
"16.60000","1.38357","9593.03223"
"16.70000","1.39181","9640.29980"
"16.80000","1.40020","9689.46973"
"16.90000","1.40849","9737.17383"
"17.00000","1.41686","9786.38379"
"17.10000","1.42522","9832.70996"
"17.20000","1.43349","9879.33398"
"17.30000","1.44185","9926.56152"
"17.40000","1.45012","9973.14551"
"17.50000","1.45848","10022.26172"
"17.60000","1.46687","10068.88574"
"17.70000","1.47519","10116.48438"
"17.80000","1.48361","10163.07715"
"17.90000","1.49182","10209.27246"
"18.00000","1.50016","10257.11914"
