General : Start date,"11/19/2025 10:11 AM"
General : End date,"11/19/2025 10:11 AM"
Specimen notes : Specimen note 1,"T8-1"
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","14.78334"
"0.10000","0.00428","16.21610"
"0.20000","0.01356","19.36363"
"0.30000","0.02283","78.79302"
"0.40000","0.03213","173.40454"
"0.50000","0.04100","270.41547"
"0.60000","0.04969","360.99741"
"0.70000","0.05831","450.26956"
"0.80000","0.06665","534.51648"
"0.90000","0.07507","615.31274"
"1.00000","0.08346","690.34106"
"1.10000","0.09175","767.80023"
"1.20000","0.10014","847.30548"
"1.30000","0.10843","929.70056"
"1.40000","0.11682","1016.79413"
"1.50000","0.12508","1102.10254"
"1.60000","0.13340","1191.89954"
"1.70000","0.14184","1280.56848"
"1.80000","0.15013","1370.20801"
"1.90000","0.15852","1459.17627"
"2.00000","0.16676","1548.51978"
"2.10000","0.17508","1642.06592"
"2.20000","0.18344","1733.67957"
"2.30000","0.19179","1824.59741"
"2.40000","0.20020","1915.03125"
"2.50000","0.20847","2003.75134"
"2.60000","0.21683","2095.09766"
"2.70000","0.22515","2184.91675"
"2.80000","0.23344","2272.00488"
"2.90000","0.24183","2358.72632"
"3.00000","0.25012","2442.48682"
"3.10000","0.25856","2526.24731"
"3.20000","0.26685","2606.83130"
"3.30000","0.27517","2686.96387"
"3.40000","0.28351","2764.52344"
"3.50000","0.29177","2841.76318"
"3.60000","0.30019","2919.54175"
"3.70000","0.30848","2996.51221"
"3.80000","0.31684","3073.56079"
"3.90000","0.32521","3146.91675"
"4.00000","0.33345","3219.65845"
"4.10000","0.34182","3292.76514"
"4.20000","0.35008","3363.23047"
"4.30000","0.35845","3435.52417"
"4.40000","0.36681","3505.38794"
"4.50000","0.37513","3574.51855"
"4.60000","0.38354","3642.93311"
"4.70000","0.39176","3710.59619"
"4.80000","0.40015","3777.54419"
"4.90000","0.40844","3841.47949"
"5.00000","0.41678","3906.89380"
"5.10000","0.42517","3970.96899"
"5.20000","0.43344","4036.59204"
"5.30000","0.44185","4102.28320"
"5.40000","0.45017","4163.28906"
"5.50000","0.45849","4227.59229"
"5.60000","0.46680","4289.21143"
"5.70000","0.47509","4352.05371"
"5.80000","0.48353","4416.47314"
"5.90000","0.49182","4478.63916"
"6.00000","0.50021","4542.10547"
"6.10000","0.50853","4601.99512"
"6.20000","0.51682","4664.49707"
"6.30000","0.52519","4726.82031"
"6.40000","0.53345","4785.21729"
"6.50000","0.54187","4846.35547"
"6.60000","0.55021","4905.57129"
"6.70000","0.55850","4965.34863"
"6.80000","0.56686","5023.51953"
"6.90000","0.57510","5081.54346"
"7.00000","0.58349","5141.34326"
"7.10000","0.59178","5198.59082"
"7.20000","0.60015","5256.95020"
"7.30000","0.60849","5315.87598"
"7.40000","0.61676","5374.80176"
"7.50000","0.62515","5433.71973"
"7.60000","0.63341","5492.55908"
"7.70000","0.64183","5552.16943"
"7.80000","0.65017","5611.11035"
"7.90000","0.65846","5670.91846"
"8.00000","0.66685","5730.42529"
"8.10000","0.67512","5786.25977"
"8.20000","0.68348","5845.30469"
"8.30000","0.69177","5903.62744"
"8.40000","0.70006","5962.93066"
"8.50000","0.70848","6021.34521"
"8.60000","0.71679","6078.29248"
"8.70000","0.72521","6137.68164"
"8.80000","0.73348","6195.57031"
"8.90000","0.74182","6256.32715"
"9.00000","0.75016","6315.24561"
"9.10000","0.75847","6374.37109"
"9.20000","0.76686","6431.81055"
"9.30000","0.77515","6489.22412"
"9.40000","0.78354","6548.78760"
"9.50000","0.79181","6606.48486"
"9.60000","0.80005","6665.63574"
"9.70000","0.80844","6723.72217"
"9.80000","0.81673","6781.03027"
"9.90000","0.82517","6841.33008"
"10.00000","0.83349","6899.41357"
"10.10000","0.84180","6957.08105"
"10.20000","0.85017","7013.29932"
"10.30000","0.85846","7069.55859"
"10.40000","0.86690","7128.69922"
"10.50000","0.87517","7185.80420"
"10.60000","0.88351","7244.72314"
"10.70000","0.89187","7301.98828"
"10.80000","0.90011","7357.57031"
"10.90000","0.90848","7413.84863"
"11.00000","0.91674","7470.27979"
"11.10000","0.92511","7531.38818"
"11.20000","0.93348","7589.09229"
"11.30000","0.94179","7646.37207"
"11.40000","0.95021","7704.25488"
"11.50000","0.95842","7760.72900"
"11.60000","0.96679","7820.67236"
"11.70000","0.97508","7876.73877"
"11.80000","0.98344","7934.26562"
"11.90000","0.99183","7990.04639"
"12.00000","1.00010","8046.81201"
"12.10000","1.00849","8103.98291"
"12.20000","1.01678","8160.20166"
"12.30000","1.02515","8218.37012"
"12.40000","1.03349","8273.17773"
"12.50000","1.04178","8330.01465"
"12.60000","1.05019","8388.63965"
"12.70000","1.05848","8445.45117"
"12.80000","1.06688","8504.21680"
"12.90000","1.07514","8559.79688"
"13.00000","1.08346","8617.46191"
"13.10000","1.09182","8674.79492"
"13.20000","1.10011","8731.17285"
"13.30000","1.10853","8790.81152"
"13.40000","1.11684","8845.70801"
"13.50000","1.12516","8902.20898"
"13.60000","1.13350","8958.90332"
"13.70000","1.14174","9014.66797"
"13.80000","1.15016","9071.54395"
"13.90000","1.15845","9126.80371"
"14.00000","1.16684","9184.40039"
"14.10000","1.17520","9240.65820"
"14.20000","1.18347","9297.17871"
"14.30000","1.19183","9352.83301"
"14.40000","1.20010","9407.37793"
"14.50000","1.20849","9465.56152"
"14.60000","1.21683","9521.46973"
"14.70000","1.22512","9579.78906"
"14.80000","1.23351","9637.05957"
"14.90000","1.24178","9690.91602"
"15.00000","1.25017","9747.67285"
"15.10000","1.25846","9802.15625"
"15.20000","1.26677","9860.77148"
"15.30000","1.27519","9916.72754"
"15.40000","1.28348","9971.12500"
"15.50000","1.29190","10026.90430"
"15.60000","1.30016","10080.04297"
"15.70000","1.30848","10137.23047"
"15.80000","1.31679","10191.94824"
"15.90000","1.32511","10247.85254"
"16.00000","1.33353","10303.23828"
"16.10000","1.34182","10356.25000"
"16.20000","1.35021","10412.63379"
"16.30000","1.35852","10466.47754"
"16.40000","1.36681","10522.52441"
"16.50000","1.37518","10576.36914"
"16.60000","1.38344","10629.95020"
"16.70000","1.39186","10686.36035"
"16.80000","1.40012","10739.85352"
"16.90000","1.40841","10797.15723"
"17.00000","1.41681","10851.75977"
"17.10000","1.42510","10905.79883"
"17.20000","1.43349","10961.95312"
"17.30000","1.44175","11016.73730"
"17.40000","1.45017","11074.30859"
"17.50000","1.45856","11128.53613"
"17.60000","1.46682","11182.34277"
"17.70000","1.47519","11235.92969"
"17.80000","1.48343","11289.09766"
"17.90000","1.49180","11345.72363"
"18.00000","1.50011","11399.28125"
